cell_id,Icterus graduacauda,Icterus graduacauda graduacauda/audubonii,Icterus graduacauda dickeyae/nayaritensis
824887fffffffff,18.0,1.0,0.0
82488ffffffffff,9.0,0.0,0.0
824897fffffffff,57.0,6.0,0.0
82489ffffffffff,134.0,0.0,0.0
8248a7fffffffff,7.0,3.0,0.0
8248b7fffffffff,1227.0,26.0,0.0
824987fffffffff,2.0,0.0,0.0
824997fffffffff,52.0,7.0,0.0
82499ffffffffff,20.0,19.0,0.0
8249a7fffffffff,3.0,0.0,0.0
8249affffffffff,1.0,0.0,1.0
8249b7fffffffff,10.0,0.0,4.0
826d17fffffffff,1.0,0.0,1.0
826d37fffffffff,35.0,0.0,3.0
