cell_id,Rhodinocichla rosea,Rhodinocichla rosea schistacea,Rhodinocichla rosea eximia,Rhodinocichla rosea [rosea Group]
8448065ffffffff,2.0,0.0,0.0,0.0
8448329ffffffff,3.0,0.0,0.0,0.0
844832bffffffff,2.0,0.0,0.0,0.0
8448331ffffffff,11.0,0.0,0.0,0.0
844833bffffffff,27.0,0.0,0.0,0.0
8448361ffffffff,442.0,0.0,0.0,0.0
8448363ffffffff,293.0,0.0,0.0,0.0
8448365ffffffff,1.0,0.0,0.0,0.0
8448367ffffffff,4.0,0.0,0.0,0.0
8448369ffffffff,22.0,0.0,0.0,0.0
844836dffffffff,4.0,0.0,0.0,0.0
84498dbffffffff,2.0,0.0,0.0,0.0
8449a81ffffffff,2.0,0.0,0.0,0.0
8449a83ffffffff,3.0,0.0,0.0,0.0
8449a89ffffffff,8.0,0.0,0.0,0.0
8449a8bffffffff,1.0,0.0,0.0,0.0
8449a8dffffffff,14.0,0.0,0.0,0.0
8449a91ffffffff,307.0,0.0,0.0,0.0
8449a93ffffffff,69.0,0.0,0.0,0.0
8449a97ffffffff,35.0,0.0,0.0,0.0
8449a99ffffffff,3.0,0.0,0.0,0.0
8449a9bffffffff,10.0,0.0,0.0,0.0
8449ad7ffffffff,11.0,0.0,0.0,0.0
846605bffffffff,1.0,0.0,0.0,0.0
8466165ffffffff,6.0,0.0,0.0,0.0
8466193ffffffff,130.0,0.0,0.0,0.0
8466197ffffffff,10.0,0.0,0.0,0.0
8466205ffffffff,7.0,0.0,0.0,0.0
8466207ffffffff,10.0,0.0,0.0,0.0
8466211ffffffff,7.0,0.0,0.0,0.0
8466213ffffffff,5.0,0.0,0.0,0.0
8466217ffffffff,57.0,0.0,0.0,0.0
8466219ffffffff,4.0,0.0,0.0,0.0
846622bffffffff,582.0,0.0,0.0,0.0
846623dffffffff,4.0,0.0,0.0,0.0
84662e1ffffffff,1.0,0.0,0.0,0.0
84662e5ffffffff,17.0,0.0,0.0,0.0
84662e9ffffffff,19.0,0.0,0.0,0.0
8466727ffffffff,6.0,0.0,0.0,0.0
8466a01ffffffff,12.0,0.0,0.0,0.0
8466a05ffffffff,16.0,0.0,0.0,0.0
8466a0bffffffff,606.0,0.0,0.0,0.0
8466a1dffffffff,2.0,0.0,0.0,0.0
8466a21ffffffff,3.0,0.0,0.0,0.0
8466a23ffffffff,1.0,0.0,0.0,0.0
8466a29ffffffff,1.0,0.0,0.0,0.0
8466a2bffffffff,2.0,0.0,0.0,0.0
8466a2dffffffff,31.0,0.0,0.0,0.0
8466a33ffffffff,32.0,0.0,0.0,0.0
8466a3bffffffff,5.0,0.0,0.0,0.0
8466a3dffffffff,4.0,0.0,0.0,0.0
8466a51ffffffff,1207.0,0.0,0.0,0.0
8466a55ffffffff,10.0,0.0,0.0,0.0
8466a57ffffffff,138.0,0.0,0.0,0.0
8466a59ffffffff,45.0,0.0,0.0,0.0
8466a5bffffffff,64.0,0.0,0.0,0.0
8466a5dffffffff,3.0,0.0,0.0,0.0
8466b41ffffffff,8.0,0.0,0.0,0.0
8466b43ffffffff,388.0,0.0,0.0,0.0
8466b47ffffffff,6.0,0.0,0.0,0.0
8466b51ffffffff,112.0,0.0,0.0,0.0
8466b53ffffffff,89.0,0.0,0.0,0.0
8466b55ffffffff,97.0,0.0,0.0,0.0
8466b57ffffffff,7.0,0.0,0.0,0.0
8466b5bffffffff,49.0,0.0,0.0,0.0
8466b5dffffffff,5.0,0.0,0.0,0.0
8466e01ffffffff,6.0,0.0,0.0,0.0
8466e09ffffffff,3.0,0.0,0.0,0.0
8466e0dffffffff,164.0,0.0,0.0,0.0
8466e23ffffffff,7.0,0.0,0.0,0.0
8466e29ffffffff,2.0,0.0,0.0,0.0
8466e41ffffffff,370.0,0.0,0.0,0.0
8466e45ffffffff,37.0,0.0,0.0,0.0
8466e47ffffffff,221.0,0.0,0.0,0.0
8466e49ffffffff,4.0,0.0,0.0,0.0
8466e4dffffffff,2.0,0.0,0.0,0.0
8466e61ffffffff,17.0,0.0,0.0,0.0
8466e63ffffffff,6.0,0.0,0.0,0.0
8466e67ffffffff,120.0,0.0,0.0,0.0
8466e69ffffffff,549.0,0.0,0.0,0.0
8466e6bffffffff,11.0,0.0,0.0,0.0
8467413ffffffff,415.0,0.0,0.0,0.0
8467417ffffffff,6.0,0.0,0.0,0.0
8467425ffffffff,81.0,0.0,0.0,0.0
8467433ffffffff,4.0,0.0,0.0,0.0
8467437ffffffff,8.0,0.0,0.0,0.0
846743bffffffff,8.0,0.0,0.0,0.0
84674c5ffffffff,421.0,0.0,0.0,0.0
84674cdffffffff,12.0,0.0,0.0,0.0
84674e5ffffffff,2.0,0.0,0.0,0.0
84674e9ffffffff,1.0,0.0,0.0,0.0
84674ebffffffff,5.0,0.0,0.0,0.0
84674edffffffff,3.0,0.0,0.0,0.0
8467519ffffffff,72.0,0.0,0.0,0.0
8467531ffffffff,2.0,0.0,0.0,0.0
8467553ffffffff,3.0,0.0,0.0,0.0
84675c1ffffffff,3.0,0.0,0.0,0.0
84675c5ffffffff,3.0,0.0,0.0,0.0
84675c7ffffffff,8.0,0.0,0.0,0.0
84675c9ffffffff,6.0,0.0,0.0,0.0
84675cbffffffff,23.0,0.0,0.0,0.0
84675ebffffffff,13.0,0.0,0.0,0.0
