cell_id,Cyornis unicolor,Cyornis unicolor unicolor,Cyornis unicolor diaoluoensis,Cyornis unicolor cyanopolia
833c02fffffffff,21.0,0.0,0.0,0.0
833c0afffffffff,9.0,0.0,0.0,0.0
833c19fffffffff,43.0,0.0,0.0,0.0
833c1dfffffffff,5.0,0.0,0.0,0.0
833c5afffffffff,6.0,0.0,0.0,0.0
833c5bfffffffff,4.0,0.0,0.0,0.0
833ce1fffffffff,2.0,2.0,0.0,0.0
833ce2fffffffff,2.0,0.0,0.0,0.0
833ce3fffffffff,2.0,0.0,0.0,0.0
833ce4fffffffff,12.0,0.0,0.0,0.0
833cecfffffffff,5.0,0.0,0.0,0.0
833cedfffffffff,9.0,0.0,0.0,0.0
834171fffffffff,2.0,0.0,0.0,0.0
836416fffffffff,45.0,5.0,0.0,0.0
836480fffffffff,1.0,0.0,0.0,0.0
836491fffffffff,2.0,0.0,0.0,0.0
836500fffffffff,5.0,0.0,0.0,0.0
836503fffffffff,3.0,0.0,0.0,0.0
836505fffffffff,9.0,0.0,0.0,0.0
836518fffffffff,4.0,0.0,0.0,1.0
83651cfffffffff,10.0,0.0,0.0,7.0
83651dfffffffff,8.0,0.0,0.0,0.0
83658efffffffff,1.0,0.0,0.0,0.0
8365b2fffffffff,1.0,0.0,0.0,0.0
836811fffffffff,2.0,0.0,0.0,2.0
838c96fffffffff,1.0,0.0,0.0,1.0
