cell_id,Chaetura vauxi,Chaetura vauxi vauxi,Chaetura vauxi gaumeri,Chaetura vauxi [richmondi Group],Chaetura vauxi aphanes
8412805ffffffff,3.0,0.0,0.0,0.0,0.0
8412847ffffffff,1.0,0.0,0.0,0.0,0.0
84128bdffffffff,6.0,0.0,0.0,0.0,0.0
84129bdffffffff,1.0,0.0,0.0,0.0,0.0
84129d9ffffffff,1.0,1.0,0.0,0.0,0.0
8412ab3ffffffff,3.0,0.0,0.0,0.0,0.0
8412b01ffffffff,9.0,0.0,0.0,0.0,0.0
8412b03ffffffff,2.0,0.0,0.0,0.0,0.0
8412b51ffffffff,1.0,0.0,0.0,0.0,0.0
8412c11ffffffff,4.0,0.0,0.0,0.0,0.0
8412c21ffffffff,3.0,0.0,0.0,0.0,0.0
8412c23ffffffff,2.0,0.0,0.0,0.0,0.0
8412cabffffffff,7.0,0.0,0.0,0.0,0.0
8412cbdffffffff,4.0,2.0,0.0,0.0,0.0
8412ce3ffffffff,3.0,0.0,0.0,0.0,0.0
8412d37ffffffff,2.0,2.0,0.0,0.0,0.0
8412d39ffffffff,2.0,0.0,0.0,0.0,0.0
8412d3bffffffff,4.0,0.0,0.0,0.0,0.0
8412d5dffffffff,1.0,1.0,0.0,0.0,0.0
8412d95ffffffff,2.0,0.0,0.0,0.0,0.0
8412db7ffffffff,1.0,0.0,0.0,0.0,0.0
8412dc5ffffffff,3.0,0.0,0.0,0.0,0.0
8412ddbffffffff,2.0,0.0,0.0,0.0,0.0
8412de5ffffffff,2.0,0.0,0.0,0.0,0.0
8412f15ffffffff,2.0,0.0,0.0,0.0,0.0
8412f2bffffffff,2.0,0.0,0.0,0.0,0.0
8413917ffffffff,1.0,0.0,0.0,0.0,0.0
841391dffffffff,4.0,0.0,0.0,0.0,0.0
8413933ffffffff,3.0,0.0,0.0,0.0,0.0
84139e1ffffffff,6.0,0.0,0.0,0.0,0.0
8426961ffffffff,1.0,0.0,0.0,0.0,0.0
8426963ffffffff,10.0,0.0,0.0,0.0,0.0
8426969ffffffff,2.0,0.0,0.0,0.0,0.0
