cell_id,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae [sanctithomae Group],Dendrocolaptes sanctithomae punctipectus
8445019ffffffff,27.0,0.0,0.0
844505bffffffff,10.0,0.0,0.0
8445083ffffffff,1.0,0.0,0.0
8445085ffffffff,55.0,1.0,0.0
8445087ffffffff,5.0,0.0,0.0
844508dffffffff,25.0,3.0,0.0
84450a1ffffffff,21.0,1.0,0.0
84450a3ffffffff,31.0,0.0,0.0
84450a5ffffffff,4.0,0.0,0.0
84450abffffffff,12.0,0.0,0.0
84450b5ffffffff,16.0,0.0,0.0
84450c1ffffffff,13.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0
84450c5ffffffff,31.0,1.0,0.0
84450c7ffffffff,9.0,0.0,0.0
84450cdffffffff,5.0,0.0,0.0
84450d3ffffffff,3.0,0.0,0.0
84450e1ffffffff,2.0,0.0,0.0
84450e3ffffffff,179.0,9.0,0.0
84450ebffffffff,89.0,2.0,0.0
8445203ffffffff,23.0,0.0,0.0
8445205ffffffff,21.0,0.0,0.0
8445207ffffffff,3.0,0.0,0.0
844520bffffffff,53.0,0.0,0.0
844520dffffffff,56.0,0.0,0.0
8445211ffffffff,6.0,0.0,0.0
8445213ffffffff,1.0,0.0,0.0
8445215ffffffff,135.0,0.0,0.0
8445217ffffffff,34.0,0.0,0.0
8445219ffffffff,2.0,0.0,0.0
844521bffffffff,2.0,0.0,0.0
844521dffffffff,82.0,0.0,0.0
8445221ffffffff,18.0,0.0,0.0
8445225ffffffff,111.0,0.0,0.0
8445229ffffffff,1.0,0.0,0.0
844522dffffffff,2.0,0.0,0.0
8445233ffffffff,109.0,0.0,0.0
844523bffffffff,3.0,0.0,0.0
8445245ffffffff,1.0,0.0,0.0
8445255ffffffff,8.0,0.0,0.0
8445257ffffffff,26.0,0.0,0.0
8445261ffffffff,4.0,0.0,0.0
8445263ffffffff,350.0,0.0,0.0
8445267ffffffff,2.0,0.0,0.0
8445269ffffffff,4.0,0.0,0.0
844526bffffffff,58.0,0.0,0.0
8445281ffffffff,22.0,0.0,0.0
8445283ffffffff,26.0,0.0,0.0
8445285ffffffff,4.0,0.0,0.0
8445287ffffffff,88.0,0.0,0.0
8445289ffffffff,293.0,0.0,0.0
844528dffffffff,71.0,0.0,0.0
8445291ffffffff,9.0,0.0,0.0
8445297ffffffff,5.0,0.0,0.0
84452a1ffffffff,10.0,0.0,0.0
84452a3ffffffff,1.0,0.0,0.0
84452a5ffffffff,39.0,0.0,0.0
84452a7ffffffff,10.0,0.0,0.0
84452a9ffffffff,154.0,0.0,0.0
84452abffffffff,29.0,0.0,0.0
84452adffffffff,251.0,0.0,0.0
84452b5ffffffff,6.0,0.0,0.0
84452b9ffffffff,42.0,0.0,0.0
84452bdffffffff,31.0,0.0,0.0
84452c3ffffffff,159.0,0.0,0.0
84452c5ffffffff,26.0,0.0,0.0
84452c7ffffffff,119.0,0.0,0.0
84452c9ffffffff,13.0,0.0,0.0
84452d5ffffffff,11.0,0.0,0.0
84452d9ffffffff,66.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0
84452e1ffffffff,826.0,0.0,0.0
84452e3ffffffff,105.0,0.0,0.0
84452e5ffffffff,261.0,0.0,0.0
84452e7ffffffff,12.0,0.0,0.0
84452e9ffffffff,48.0,0.0,0.0
84452ebffffffff,573.0,0.0,0.0
84452edffffffff,75.0,0.0,0.0
