cell_id,Bradornis microrhynchus,Bradornis microrhynchus pumilus,Bradornis microrhynchus [microrhynchus Group]
82529ffffffffff,9.0,0.0,0.0
8252d7fffffffff,3.0,0.0,0.0
8252dffffffffff,2.0,0.0,0.0
826a4ffffffffff,5.0,0.0,0.0
826a5ffffffffff,97.0,0.0,5.0
826a6ffffffffff,2.0,1.0,0.0
826acffffffffff,2.0,0.0,0.0
827a47fffffffff,607.0,0.0,0.0
827a4ffffffffff,307.0,0.0,31.0
827a57fffffffff,6.0,0.0,0.0
827a5ffffffffff,23.0,0.0,3.0
827a67fffffffff,610.0,0.0,29.0
827a6ffffffffff,1437.0,0.0,83.0
827a77fffffffff,20.0,0.0,0.0
827ac7fffffffff,2.0,2.0,0.0
827acffffffffff,153.0,27.0,3.0
827adffffffffff,145.0,22.0,3.0
827aeffffffffff,228.0,63.0,11.0
827b4ffffffffff,30.0,0.0,4.0
827b6ffffffffff,3.0,0.0,0.0
829687fffffffff,1.0,0.0,0.0
829697fffffffff,954.0,0.0,104.0
82969ffffffffff,61.0,0.0,2.0
8296a7fffffffff,10.0,0.0,2.0
8296affffffffff,1.0,0.0,1.0
8296b7fffffffff,194.0,0.0,17.0
