cell_id,Thryothorus ludovicianus,Thryothorus ludovicianus [ludovicianus Group],Thryothorus ludovicianus [berlandieri Group],Thryothorus ludovicianus albinucha/subfulvus
832601fffffffff,35.0,0.0,0.0,0.0
832603fffffffff,30.0,1.0,0.0,0.0
832608fffffffff,453.0,6.0,0.0,0.0
832609fffffffff,65.0,0.0,0.0,0.0
83260afffffffff,403.0,0.0,0.0,0.0
83260bfffffffff,1240.0,0.0,0.0,0.0
83260cfffffffff,2.0,0.0,0.0,0.0
83260dfffffffff,183.0,0.0,0.0,0.0
83260efffffffff,228.0,6.0,0.0,0.0
832618fffffffff,9.0,0.0,0.0,0.0
832619fffffffff,16.0,0.0,0.0,0.0
83261afffffffff,5.0,0.0,0.0,0.0
83261bfffffffff,20.0,0.0,0.0,0.0
83261dfffffffff,1.0,0.0,0.0,0.0
832629fffffffff,18.0,0.0,0.0,0.0
83262bfffffffff,104.0,0.0,0.0,0.0
83262dfffffffff,7.0,0.0,0.0,0.0
832640fffffffff,3078.0,0.0,0.0,0.0
832641fffffffff,3583.0,0.0,0.0,0.0
832642fffffffff,2297.0,0.0,0.0,0.0
832643fffffffff,5007.0,0.0,0.0,0.0
832644fffffffff,453.0,0.0,0.0,0.0
832645fffffffff,447.0,0.0,0.0,0.0
832646fffffffff,9706.0,0.0,0.0,0.0
832648fffffffff,3263.0,0.0,0.0,0.0
832649fffffffff,5468.0,0.0,0.0,0.0
83264afffffffff,6528.0,0.0,0.0,0.0
83264bfffffffff,1496.0,0.0,0.0,0.0
83264cfffffffff,5313.0,0.0,0.0,0.0
83264dfffffffff,10455.0,0.0,0.0,0.0
83264efffffffff,2762.0,0.0,0.0,0.0
832650fffffffff,1880.0,0.0,0.0,0.0
832651fffffffff,2039.0,0.0,0.0,0.0
832652fffffffff,3146.0,0.0,0.0,0.0
832653fffffffff,6010.0,0.0,0.0,0.0
832654fffffffff,1270.0,0.0,0.0,0.0
832655fffffffff,8993.0,0.0,0.0,0.0
832656fffffffff,8499.0,0.0,0.0,0.0
832658fffffffff,794.0,0.0,0.0,0.0
832659fffffffff,6077.0,0.0,0.0,0.0
83265afffffffff,2952.0,0.0,0.0,0.0
83265bfffffffff,5275.0,0.0,0.0,0.0
83265cfffffffff,1285.0,0.0,0.0,0.0
83265dfffffffff,2387.0,0.0,0.0,0.0
83265efffffffff,1338.0,0.0,0.0,0.0
832660fffffffff,492.0,0.0,0.0,0.0
832661fffffffff,7105.0,0.0,0.0,0.0
832662fffffffff,2245.0,0.0,0.0,0.0
832663fffffffff,1461.0,0.0,0.0,0.0
832664fffffffff,2232.0,0.0,0.0,0.0
832665fffffffff,1903.0,0.0,0.0,0.0
832666fffffffff,1398.0,0.0,0.0,0.0
832668fffffffff,7079.0,0.0,0.0,0.0
832669fffffffff,1119.0,0.0,0.0,0.0
83266afffffffff,2556.0,0.0,0.0,0.0
83266bfffffffff,2758.0,0.0,0.0,0.0
83266cfffffffff,5441.0,0.0,0.0,0.0
83266dfffffffff,8764.0,0.0,0.0,0.0
83266efffffffff,2830.0,0.0,0.0,0.0
832670fffffffff,222.0,0.0,0.0,0.0
832671fffffffff,1464.0,0.0,0.0,0.0
832672fffffffff,93.0,0.0,0.0,0.0
832673fffffffff,681.0,0.0,0.0,0.0
832674fffffffff,237.0,0.0,0.0,0.0
832675fffffffff,366.0,0.0,0.0,0.0
832676fffffffff,26.0,0.0,0.0,0.0
83268dfffffffff,2.0,0.0,0.0,0.0
8326c0fffffffff,76.0,0.0,0.0,0.0
8326c1fffffffff,3281.0,0.0,0.0,0.0
8326c2fffffffff,70.0,0.0,0.0,0.0
8326c3fffffffff,705.0,0.0,0.0,0.0
8326c4fffffffff,487.0,0.0,0.0,0.0
8326c5fffffffff,1751.0,0.0,0.0,0.0
8326c6fffffffff,35.0,0.0,0.0,0.0
8326c8fffffffff,9875.0,0.0,0.0,0.0
8326c9fffffffff,2441.0,0.0,0.0,0.0
8326cafffffffff,2502.0,0.0,0.0,0.0
8326cbfffffffff,7112.0,0.0,0.0,0.0
8326ccfffffffff,330.0,0.0,0.0,0.0
8326cdfffffffff,1009.0,0.0,0.0,0.0
8326cefffffffff,210.0,0.0,0.0,0.0
8326d0fffffffff,9.0,0.0,0.0,0.0
8326d1fffffffff,51.0,0.0,0.0,0.0
8326d5fffffffff,6.0,0.0,0.0,0.0
8326d8fffffffff,37.0,0.0,0.0,0.0
8326d9fffffffff,460.0,0.0,0.0,0.0
8326dafffffffff,6.0,0.0,0.0,0.0
8326dbfffffffff,373.0,0.0,0.0,0.0
8326dcfffffffff,38.0,0.0,0.0,0.0
8326ddfffffffff,135.0,0.0,0.0,0.0
8326defffffffff,103.0,0.0,0.0,0.0
8326e0fffffffff,1683.0,0.0,0.0,0.0
8326e1fffffffff,549.0,0.0,0.0,0.0
8326e2fffffffff,748.0,0.0,0.0,0.0
8326e3fffffffff,1403.0,0.0,0.0,0.0
8326e4fffffffff,2059.0,0.0,0.0,0.0
8326e5fffffffff,6616.0,0.0,0.0,0.0
8326e6fffffffff,453.0,0.0,0.0,0.0
