cell_id,Pampa curvipennis,Pampa curvipennis curvipennis,Pampa curvipennis pampa,Pampa curvipennis excellens
824507fffffffff,15.0,0.0,0.0,0.0
82450ffffffffff,2760.0,0.0,209.0,0.0
82451ffffffffff,1.0,0.0,1.0,0.0
824527fffffffff,76.0,0.0,0.0,0.0
82452ffffffffff,6380.0,0.0,293.0,0.0
824537fffffffff,125.0,0.0,0.0,0.0
824577fffffffff,12.0,0.0,0.0,0.0
824997fffffffff,3675.0,1189.0,0.0,0.0
82499ffffffffff,632.0,59.0,0.0,0.0
826d27fffffffff,445.0,0.0,32.0,310.0
826d2ffffffffff,153.0,0.0,18.0,0.0
826d37fffffffff,762.0,21.0,0.0,604.0
