cell_id,Phacellodomus rufifrons,Phacellodomus rufifrons [rufifrons Group],Phacellodomus rufifrons specularis
828017fffffffff,3.0,0.0,0.0
828027fffffffff,1.0,0.0,0.0
82802ffffffffff,2.0,0.0,0.0
828037fffffffff,106.0,9.0,2.0
828107fffffffff,63.0,0.0,0.0
82810ffffffffff,3.0,0.0,0.0
828117fffffffff,27.0,0.0,0.0
82811ffffffffff,11.0,0.0,0.0
828127fffffffff,160.0,5.0,0.0
82812ffffffffff,12.0,3.0,0.0
828137fffffffff,418.0,0.0,0.0
828147fffffffff,1.0,0.0,0.0
828157fffffffff,1.0,0.0,0.0
82815ffffffffff,2.0,0.0,0.0
828167fffffffff,3.0,0.0,0.0
828187fffffffff,375.0,0.0,11.0
82818ffffffffff,52.0,3.0,0.0
8281affffffffff,26.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0
828b17fffffffff,1.0,0.0,0.0
828b1ffffffffff,4.0,0.0,0.0
828b27fffffffff,283.0,0.0,0.0
828b2ffffffffff,16.0,0.0,0.0
828b37fffffffff,34.0,0.0,0.0
828b77fffffffff,39.0,0.0,0.0
828ba7fffffffff,5.0,2.0,0.0
828bb7fffffffff,4.0,0.0,0.0
828f47fffffffff,885.0,121.0,0.0
828f57fffffffff,474.0,63.0,0.0
828f77fffffffff,301.0,40.0,0.0
82a817fffffffff,7.0,0.0,0.0
82a81ffffffffff,77.0,0.0,0.0
82a847fffffffff,174.0,3.0,0.0
82a84ffffffffff,9.0,0.0,0.0
82a857fffffffff,16.0,2.0,0.0
82a85ffffffffff,531.0,23.0,0.0
82a867fffffffff,87.0,0.0,0.0
82a86ffffffffff,35.0,0.0,0.0
82a877fffffffff,5.0,0.0,0.0
82a887fffffffff,795.0,13.0,0.0
82a88ffffffffff,443.0,21.0,0.0
82a897fffffffff,36.0,2.0,0.0
82a89ffffffffff,17.0,0.0,0.0
82a8a7fffffffff,612.0,20.0,0.0
82a8affffffffff,505.0,19.0,0.0
82a8b7fffffffff,20.0,0.0,0.0
82a8c7fffffffff,7.0,0.0,0.0
82a8d7fffffffff,423.0,7.0,0.0
82a8dffffffffff,37.0,2.0,0.0
82a8e7fffffffff,2.0,0.0,0.0
82a8effffffffff,1.0,0.0,0.0
82a8f7fffffffff,39.0,0.0,0.0
82a94ffffffffff,59.0,0.0,0.0
82a95ffffffffff,11.0,0.0,0.0
82b267fffffffff,31.0,0.0,0.0
82b277fffffffff,66.0,0.0,0.0
82b347fffffffff,499.0,0.0,0.0
82b357fffffffff,126.0,0.0,0.0
82b35ffffffffff,937.0,0.0,0.0
82b367fffffffff,74.0,0.0,0.0
82b36ffffffffff,7.0,0.0,0.0
