cell_id,Antrostomus rufus,Antrostomus rufus [rufus Group],Antrostomus rufus otiosus,Antrostomus rufus minimus
845e469ffffffff,20.0,0.0,15.0,0.0
845f089ffffffff,4.0,0.0,0.0,0.0
845f08bffffffff,4.0,0.0,0.0,0.0
845f095ffffffff,2.0,0.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0,0.0
845f29dffffffff,3.0,0.0,0.0,0.0
845f2bbffffffff,6.0,0.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0,0.0
845f581ffffffff,3.0,0.0,0.0,0.0
845f583ffffffff,29.0,0.0,0.0,0.0
8466107ffffffff,65.0,0.0,0.0,3.0
8466131ffffffff,4.0,0.0,0.0,0.0
8466139ffffffff,7.0,0.0,0.0,0.0
846613dffffffff,2.0,0.0,0.0,0.0
8466163ffffffff,6.0,0.0,0.0,0.0
8466165ffffffff,2.0,0.0,0.0,0.0
8466167ffffffff,9.0,0.0,0.0,3.0
8466201ffffffff,2.0,0.0,0.0,0.0
8466203ffffffff,3.0,0.0,0.0,0.0
8466205ffffffff,3.0,0.0,0.0,0.0
8466207ffffffff,2.0,0.0,0.0,0.0
8466217ffffffff,1.0,0.0,0.0,0.0
8466227ffffffff,7.0,0.0,0.0,0.0
846622bffffffff,50.0,0.0,0.0,0.0
8466291ffffffff,1.0,0.0,0.0,0.0
84662cdffffffff,2.0,0.0,0.0,0.0
84662d3ffffffff,10.0,0.0,0.0,0.0
84662e1ffffffff,6.0,0.0,0.0,0.0
84662e5ffffffff,6.0,0.0,0.0,0.0
84662e9ffffffff,5.0,0.0,0.0,0.0
8466313ffffffff,22.0,0.0,0.0,0.0
846640dffffffff,1.0,0.0,0.0,0.0
846645dffffffff,2.0,0.0,0.0,0.0
8466521ffffffff,2.0,0.0,0.0,0.0
8466529ffffffff,10.0,0.0,0.0,0.0
846652dffffffff,40.0,0.0,0.0,0.0
8466545ffffffff,2.0,0.0,0.0,0.0
8466639ffffffff,2.0,0.0,0.0,0.0
84666e3ffffffff,10.0,0.0,0.0,0.0
84666ebffffffff,4.0,0.0,0.0,0.0
8466735ffffffff,2.0,0.0,0.0,0.0
8466763ffffffff,4.0,0.0,0.0,0.0
8466841ffffffff,2.0,0.0,0.0,0.0
8466849ffffffff,19.0,0.0,0.0,1.0
8466a03ffffffff,3.0,0.0,0.0,0.0
8466a0bffffffff,5.0,0.0,0.0,0.0
8466a1dffffffff,7.0,0.0,0.0,1.0
8466a25ffffffff,1.0,0.0,0.0,0.0
8466a2bffffffff,3.0,0.0,0.0,0.0
8466a31ffffffff,5.0,0.0,0.0,0.0
8466a33ffffffff,4.0,0.0,0.0,0.0
8466a51ffffffff,113.0,0.0,0.0,10.0
8466a57ffffffff,11.0,0.0,0.0,0.0
8466a5bffffffff,11.0,0.0,0.0,0.0
8466b01ffffffff,6.0,0.0,0.0,0.0
8466b09ffffffff,1.0,0.0,0.0,0.0
8466b0bffffffff,14.0,0.0,0.0,0.0
8466b43ffffffff,27.0,0.0,0.0,0.0
8466b51ffffffff,15.0,0.0,0.0,0.0
8466b53ffffffff,13.0,0.0,0.0,1.0
8466b55ffffffff,4.0,0.0,0.0,0.0
