cell_id,Rhynchocyclus olivaceus,Rhynchocyclus olivaceus guianensis/sordidus,Rhynchocyclus olivaceus olivaceus
845f00dffffffff,1.0,0.0,0.0
845f035ffffffff,1.0,0.0,0.0
845f03dffffffff,4.0,0.0,0.0
845f09bffffffff,1.0,0.0,0.0
845f0d7ffffffff,4.0,0.0,0.0
845f0e7ffffffff,1.0,0.0,0.0
845f105ffffffff,3.0,0.0,0.0
845f107ffffffff,1.0,0.0,0.0
845f10dffffffff,1.0,0.0,0.0
845f119ffffffff,1.0,0.0,0.0
845f139ffffffff,7.0,0.0,0.0
845f13dffffffff,1.0,0.0,0.0
845f143ffffffff,3.0,0.0,0.0
845f153ffffffff,1.0,0.0,0.0
845f155ffffffff,1.0,1.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f1cbffffffff,2.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0
845f295ffffffff,2.0,0.0,0.0
845f2b1ffffffff,4.0,0.0,0.0
845f2b3ffffffff,27.0,0.0,0.0
845f2bbffffffff,31.0,0.0,0.0
845f2d1ffffffff,2.0,0.0,0.0
845f415ffffffff,1.0,0.0,0.0
845f42bffffffff,3.0,0.0,0.0
845f549ffffffff,2.0,0.0,0.0
845f623ffffffff,1.0,0.0,0.0
845f683ffffffff,4.0,0.0,0.0
845f689ffffffff,3.0,0.0,0.0
845f711ffffffff,2.0,0.0,0.0
845f713ffffffff,2.0,0.0,0.0
8480445ffffffff,6.0,0.0,0.0
848044dffffffff,3.0,0.0,0.0
8480469ffffffff,44.0,0.0,0.0
8480619ffffffff,1.0,0.0,0.0
8480643ffffffff,4.0,0.0,0.0
8480655ffffffff,12.0,0.0,0.0
8480665ffffffff,3.0,0.0,0.0
848068bffffffff,1.0,0.0,0.0
848069dffffffff,2.0,0.0,0.0
848070dffffffff,1.0,0.0,0.0
8480745ffffffff,4.0,0.0,0.0
8480759ffffffff,4.0,0.0,0.0
848075bffffffff,2.0,0.0,0.0
848076dffffffff,1.0,0.0,0.0
8481149ffffffff,1.0,0.0,0.0
8481163ffffffff,3.0,0.0,0.0
8481321ffffffff,3.0,0.0,0.0
8481323ffffffff,9.0,0.0,0.0
8481327ffffffff,5.0,0.0,0.0
8481363ffffffff,14.0,0.0,0.0
8481367ffffffff,1.0,0.0,0.0
8481423ffffffff,2.0,0.0,0.0
8481431ffffffff,1.0,0.0,0.0
84814a1ffffffff,7.0,0.0,0.0
84814a9ffffffff,2.0,0.0,0.0
84814adffffffff,10.0,0.0,0.0
84814e3ffffffff,1.0,0.0,0.0
84814e7ffffffff,5.0,0.0,0.0
8481583ffffffff,6.0,0.0,0.0
8481599ffffffff,1.0,0.0,0.0
84815d3ffffffff,5.0,0.0,0.0
84815d9ffffffff,1.0,0.0,0.0
8481851ffffffff,14.0,0.0,0.0
8481857ffffffff,2.0,0.0,0.0
848a069ffffffff,13.0,0.0,0.0
848a109ffffffff,3.0,0.0,0.0
848a155ffffffff,3.0,0.0,0.0
848a249ffffffff,1.0,0.0,0.0
848a317ffffffff,2.0,0.0,0.0
848a337ffffffff,1.0,0.0,0.0
848a33bffffffff,1.0,0.0,0.0
848a809ffffffff,4.0,0.0,0.0
848a81bffffffff,6.0,0.0,0.0
848a827ffffffff,4.0,0.0,0.0
848a833ffffffff,1.0,0.0,0.0
848a9cdffffffff,9.0,0.0,0.0
848a9d3ffffffff,1.0,0.0,0.0
848aaa3ffffffff,5.0,0.0,0.0
848aaa5ffffffff,12.0,0.0,0.0
848aaadffffffff,5.0,0.0,0.0
848af29ffffffff,10.0,0.0,0.0
848af2bffffffff,1.0,0.0,0.0
848af61ffffffff,7.0,0.0,0.0
848af63ffffffff,59.0,0.0,0.0
848af67ffffffff,77.0,0.0,0.0
848b513ffffffff,1.0,0.0,0.0
848b5cdffffffff,2.0,0.0,0.0
848b98bffffffff,1.0,0.0,0.0
848b999ffffffff,3.0,0.0,0.0
848b9b5ffffffff,1.0,0.0,0.0
848b9d5ffffffff,23.0,0.0,0.0
848baadffffffff,1.0,0.0,0.0
84a592dffffffff,1.0,0.0,0.0
84a5969ffffffff,34.0,0.0,0.0
84a8591ffffffff,1.0,0.0,0.0
84a8831ffffffff,2.0,0.0,0.0
84a8839ffffffff,1.0,0.0,0.0
84a883bffffffff,5.0,0.0,0.0
84a8867ffffffff,8.0,0.0,0.0
84a8917ffffffff,42.0,0.0,0.0
84a89e5ffffffff,1.0,0.0,0.0
