cell_id,Spermestes bicolor,Spermestes bicolor bicolor/poensis,Spermestes bicolor nigriceps/woltersi
8354e2fffffffff,6.0,0.0,0.0
8354e8fffffffff,2.0,0.0,0.0
8354e9fffffffff,1.0,0.0,0.0
8354f1fffffffff,2.0,0.0,0.0
835883fffffffff,4.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0
835890fffffffff,13.0,0.0,0.0
835894fffffffff,14.0,0.0,0.0
835895fffffffff,3.0,0.0,0.0
835896fffffffff,4.0,1.0,0.0
83589cfffffffff,4.0,0.0,0.0
8358d1fffffffff,3.0,0.0,0.0
8358d3fffffffff,29.0,20.0,0.0
8358dbfffffffff,3.0,0.0,0.0
8358defffffffff,3.0,0.0,0.0
8358f4fffffffff,2.0,0.0,0.0
836a9efffffffff,3.0,3.0,0.0
836ac0fffffffff,75.0,11.0,0.0
836ac1fffffffff,303.0,58.0,0.0
836ac3fffffffff,56.0,10.0,0.0
836ac8fffffffff,131.0,24.0,0.0
836acafffffffff,1.0,1.0,0.0
836accfffffffff,50.0,6.0,0.0
836acdfffffffff,31.0,5.0,0.0
836acefffffffff,9.0,0.0,0.0
836ad8fffffffff,45.0,3.0,0.0
836adcfffffffff,364.0,33.0,0.0
836addfffffffff,4.0,0.0,0.0
836adefffffffff,9.0,0.0,0.0
836ae8fffffffff,3.0,0.0,0.0
836aeafffffffff,113.0,2.0,0.0
836aebfffffffff,17.0,0.0,0.0
836aeefffffffff,6.0,0.0,0.0
836af5fffffffff,2.0,0.0,0.0
837508fffffffff,33.0,5.0,0.0
837509fffffffff,3.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,353.0,101.0,0.0
837519fffffffff,5.0,0.0,0.0
837520fffffffff,2.0,2.0,0.0
837529fffffffff,176.0,45.0,0.0
83752afffffffff,46.0,6.0,0.0
83752bfffffffff,9.0,2.0,0.0
83752dfffffffff,9.0,0.0,0.0
83752efffffffff,4.0,2.0,0.0
837576fffffffff,1.0,0.0,0.0
837586fffffffff,4.0,0.0,0.0
8375a5fffffffff,2.0,0.0,0.0
8375a6fffffffff,2.0,0.0,0.0
8375b0fffffffff,2.0,0.0,0.0
837a40fffffffff,4.0,0.0,3.0
837a41fffffffff,1.0,0.0,0.0
837a45fffffffff,290.0,0.0,148.0
837a48fffffffff,29.0,12.0,0.0
837a4bfffffffff,1.0,0.0,0.0
837a4cfffffffff,71.0,5.0,0.0
837a4dfffffffff,87.0,8.0,0.0
837a61fffffffff,15.0,0.0,11.0
837a64fffffffff,14.0,0.0,11.0
837a65fffffffff,135.0,0.0,95.0
837a66fffffffff,2.0,0.0,0.0
837a68fffffffff,13.0,0.0,0.0
837a69fffffffff,1.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6bfffffffff,9.0,2.0,0.0
837a6dfffffffff,3.0,0.0,1.0
837a6efffffffff,164.0,0.0,21.0
837ac8fffffffff,6.0,0.0,0.0
837accfffffffff,24.0,8.0,0.0
837acdfffffffff,28.0,4.0,0.0
837ae8fffffffff,1.0,0.0,0.0
837aeafffffffff,1.0,0.0,0.0
837b48fffffffff,99.0,0.0,52.0
837b4afffffffff,28.0,0.0,0.0
837b4bfffffffff,76.0,0.0,37.0
837b4cfffffffff,1.0,0.0,1.0
837b4dfffffffff,5.0,0.0,0.0
837b59fffffffff,46.0,0.0,0.0
837b6afffffffff,8.0,0.0,8.0
837b6bfffffffff,4.0,0.0,0.0
838212fffffffff,1.0,0.0,0.0
838285fffffffff,5.0,2.0,0.0
83828afffffffff,1.0,0.0,0.0
83828bfffffffff,75.0,6.0,0.0
83828dfffffffff,68.0,17.0,0.0
838291fffffffff,1.0,1.0,0.0
8382a3fffffffff,5.0,0.0,0.0
8382a8fffffffff,3.0,0.0,0.0
8382a9fffffffff,6.0,0.0,0.0
8382aafffffffff,12.0,7.0,0.0
8382abfffffffff,5.0,5.0,0.0
8382b3fffffffff,1.0,0.0,0.0
8382d0fffffffff,89.0,38.0,0.0
8382d1fffffffff,2.0,2.0,0.0
8382d2fffffffff,25.0,14.0,0.0
8382d3fffffffff,14.0,9.0,0.0
8382d4fffffffff,4.0,0.0,0.0
8382d6fffffffff,4.0,0.0,0.0
8382dbfffffffff,2.0,0.0,0.0
8382f0fffffffff,10.0,5.0,0.0
8382f2fffffffff,9.0,7.0,0.0
8382f4fffffffff,2.0,0.0,0.0
8382f6fffffffff,6.0,0.0,0.0
838312fffffffff,3.0,0.0,0.0
838315fffffffff,12.0,3.0,0.0
83838efffffffff,2.0,0.0,0.0
838395fffffffff,2.0,0.0,0.0
838398fffffffff,13.0,9.0,0.0
8383a8fffffffff,2.0,1.0,0.0
8383acfffffffff,4.0,0.0,0.0
839600fffffffff,9.0,0.0,7.0
839601fffffffff,5.0,0.0,2.0
839602fffffffff,5.0,0.0,3.0
839603fffffffff,1.0,0.0,1.0
839608fffffffff,2.0,0.0,2.0
839609fffffffff,14.0,0.0,9.0
83960bfffffffff,2.0,0.0,2.0
839610fffffffff,1.0,0.0,0.0
839623fffffffff,45.0,0.0,45.0
83962bfffffffff,2.0,0.0,2.0
83962cfffffffff,6.0,0.0,6.0
83962efffffffff,2.0,0.0,0.0
839636fffffffff,8.0,0.0,0.0
839672fffffffff,2.0,0.0,2.0
83968dfffffffff,2.0,0.0,2.0
839690fffffffff,6.0,0.0,4.0
839692fffffffff,350.0,0.0,178.0
839693fffffffff,19.0,0.0,13.0
8396a0fffffffff,4.0,0.0,2.0
8396a1fffffffff,4.0,0.0,0.0
8396a2fffffffff,2.0,0.0,0.0
8396a3fffffffff,2.0,0.0,0.0
8396b0fffffffff,4.0,0.0,4.0
8396b1fffffffff,4.0,0.0,0.0
8396b4fffffffff,37.0,1.0,15.0
8396b5fffffffff,3.0,0.0,0.0
8396b6fffffffff,35.0,0.0,6.0
8396edfffffffff,1.0,0.0,0.0
839700fffffffff,2.0,0.0,2.0
839702fffffffff,28.0,0.0,19.0
839703fffffffff,13.0,0.0,13.0
839710fffffffff,26.0,0.0,16.0
839711fffffffff,35.0,0.0,35.0
839713fffffffff,15.0,0.0,11.0
839715fffffffff,16.0,0.0,6.0
839719fffffffff,32.0,0.0,22.0
83971cfffffffff,47.0,0.0,29.0
839724fffffffff,4.0,0.0,1.0
83972dfffffffff,53.0,0.0,34.0
83972efffffffff,7.0,0.0,7.0
839735fffffffff,3.0,0.0,1.0
839788fffffffff,2.0,0.0,0.0
839789fffffffff,5.0,0.0,0.0
83978afffffffff,2.0,0.0,0.0
83978bfffffffff,2.0,0.0,2.0
83978dfffffffff,4.0,0.0,2.0
83978efffffffff,2.0,0.0,2.0
839799fffffffff,3.0,0.0,0.0
8397a8fffffffff,22.0,0.0,17.0
8397aafffffffff,4.0,0.0,4.0
8397abfffffffff,1.0,0.0,1.0
8397acfffffffff,5.0,0.0,3.0
83bc19fffffffff,3.0,0.0,1.0
83bc1bfffffffff,18.0,0.0,6.0
83bc89fffffffff,11.0,0.0,6.0
83bc8bfffffffff,3.0,0.0,3.0
83bc99fffffffff,8.0,0.0,6.0
83bcd0fffffffff,26.0,0.0,15.0
83bcd2fffffffff,13.0,0.0,7.0
83bcd3fffffffff,4.0,0.0,2.0
83bcd4fffffffff,14.0,0.0,11.0
83bcd6fffffffff,18.0,0.0,12.0
83bcdefffffffff,2.0,0.0,0.0
83bce6fffffffff,6.0,0.0,6.0
83bcf0fffffffff,91.0,0.0,70.0
83bcf2fffffffff,35.0,0.0,25.0
83bcf4fffffffff,8.0,0.0,6.0
83bcf5fffffffff,426.0,0.0,351.0
83bcf6fffffffff,78.0,0.0,48.0
