cell_id,Scytalopus rodriguezi,Scytalopus rodriguezi yariguiorum,Scytalopus rodriguezi rodriguezi
82660ffffffffff,447.0,59.0,0.0
8266c7fffffffff,296.0,0.0,0.0
8266e7fffffffff,34.0,0.0,0.0
