cell_id,Limosa limosa,Limosa limosa islandica,Limosa limosa limosa,Limosa limosa melanuroides,Limosa limosa bohaii
820137fffffffff,12.0,3.0,0.0,0.0,0.0
820747fffffffff,1402.0,334.0,0.0,0.0,0.0
82074ffffffffff,7.0,6.0,0.0,0.0,0.0
820757fffffffff,228.0,71.0,0.0,0.0,0.0
82075ffffffffff,1167.0,290.0,0.0,0.0,0.0
820767fffffffff,224.0,103.0,0.0,0.0,0.0
820777fffffffff,855.0,400.0,0.0,0.0,0.0
820807fffffffff,2.0,0.0,0.0,0.0,0.0
820817fffffffff,13.0,0.0,0.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0,0.0,0.0
820837fffffffff,2.0,0.0,0.0,0.0,0.0
820887fffffffff,13.0,0.0,0.0,0.0,0.0
82088ffffffffff,1.0,0.0,0.0,0.0,0.0
820897fffffffff,8.0,0.0,0.0,0.0,0.0
82089ffffffffff,178.0,0.0,9.0,0.0,0.0
8208b7fffffffff,10.0,0.0,0.0,0.0,0.0
8208d7fffffffff,129.0,0.0,8.0,0.0,0.0
8208effffffffff,2.0,0.0,0.0,0.0,0.0
820937fffffffff,2.0,0.0,0.0,0.0,0.0
820987fffffffff,18.0,0.0,2.0,0.0,0.0
820997fffffffff,16.0,0.0,0.0,0.0,0.0
82099ffffffffff,5.0,2.0,1.0,0.0,0.0
8209a7fffffffff,39.0,0.0,0.0,0.0,0.0
820bb7fffffffff,1.0,0.0,0.0,0.0,0.0
821007fffffffff,2.0,0.0,0.0,0.0,0.0
821017fffffffff,2.0,0.0,0.0,0.0,0.0
821027fffffffff,3.0,0.0,0.0,0.0,0.0
8210c7fffffffff,19.0,0.0,2.0,0.0,0.0
8210d7fffffffff,1.0,0.0,0.0,0.0,0.0
8210dffffffffff,6.0,0.0,0.0,0.0,0.0
8210f7fffffffff,1.0,0.0,0.0,0.0,0.0
821107fffffffff,46.0,0.0,0.0,0.0,0.0
82110ffffffffff,5.0,0.0,0.0,0.0,0.0
821117fffffffff,35.0,0.0,0.0,0.0,0.0
82111ffffffffff,2.0,0.0,0.0,0.0,0.0
821127fffffffff,7.0,0.0,0.0,0.0,0.0
82112ffffffffff,8.0,0.0,2.0,0.0,0.0
821137fffffffff,5.0,0.0,0.0,0.0,0.0
821187fffffffff,7.0,0.0,2.0,0.0,0.0
82118ffffffffff,57.0,0.0,16.0,0.0,0.0
8211affffffffff,222.0,0.0,99.0,0.0,0.0
82149ffffffffff,2.0,0.0,0.0,0.0,0.0
8214cffffffffff,2.0,0.0,0.0,0.0,0.0
821597fffffffff,50.0,0.0,0.0,11.0,0.0
82159ffffffffff,9.0,0.0,0.0,8.0,0.0
8215b7fffffffff,25.0,0.0,0.0,1.0,0.0
821637fffffffff,2.0,0.0,0.0,2.0,0.0
82171ffffffffff,45.0,0.0,0.0,0.0,0.0
82176ffffffffff,1.0,0.0,0.0,0.0,0.0
82178ffffffffff,54.0,0.0,0.0,0.0,0.0
821807fffffffff,71.0,38.0,0.0,0.0,0.0
82180ffffffffff,2.0,0.0,0.0,0.0,0.0
821827fffffffff,60.0,28.0,0.0,0.0,0.0
82182ffffffffff,1127.0,573.0,0.0,0.0,0.0
821847fffffffff,120.0,2.0,0.0,0.0,0.0
82184ffffffffff,2385.0,6.0,0.0,0.0,0.0
82185ffffffffff,69.0,0.0,0.0,0.0,0.0
821867fffffffff,51.0,0.0,2.0,0.0,0.0
82186ffffffffff,141.0,0.0,2.0,0.0,0.0
821877fffffffff,138.0,12.0,0.0,0.0,0.0
821907fffffffff,3.0,3.0,0.0,0.0,0.0
82190ffffffffff,55.0,1.0,0.0,0.0,0.0
821927fffffffff,3.0,0.0,0.0,0.0,0.0
82192ffffffffff,69.0,22.0,0.0,0.0,0.0
821947fffffffff,3966.0,336.0,38.0,0.0,0.0
82194ffffffffff,3367.0,545.0,25.0,0.0,0.0
821957fffffffff,898.0,114.0,0.0,0.0,0.0
82195ffffffffff,2035.0,29.0,13.0,0.0,0.0
82196ffffffffff,1471.0,32.0,95.0,0.0,0.0
821977fffffffff,880.0,23.0,0.0,0.0,0.0
821e07fffffffff,331.0,0.0,29.0,0.0,0.0
821e0ffffffffff,468.0,0.0,6.0,0.0,0.0
821e17fffffffff,54.0,0.0,2.0,0.0,0.0
