cell_id,Poephila personata,Poephila personata personata,Poephila personata leucotis
829457fffffffff,521.0,73.0,0.0
82945ffffffffff,318.0,42.0,0.0
82948ffffffffff,3.0,0.0,0.0
8294affffffffff,6.0,0.0,0.0
8294c7fffffffff,13.0,0.0,0.0
8294cffffffffff,5.0,0.0,0.0
8294e7fffffffff,228.0,26.0,0.0
8294effffffffff,903.0,165.0,0.0
8294f7fffffffff,33.0,2.0,0.0
829c07fffffffff,57.0,0.0,29.0
829c0ffffffffff,80.0,0.0,38.0
829c2ffffffffff,86.0,0.0,0.0
829c47fffffffff,18.0,0.0,0.0
829c4ffffffffff,55.0,6.0,0.0
829c5ffffffffff,4.0,0.0,0.0
829c67fffffffff,5.0,0.0,0.0
829c6ffffffffff,4.0,0.0,0.0
