cell_id,Icterus spurius,Icterus spurius spurius,Icterus spurius fuertesi
822607fffffffff,1047.0,108.0,0.0
82260ffffffffff,2514.0,46.0,0.0
822617fffffffff,1038.0,18.0,0.0
82261ffffffffff,929.0,15.0,0.0
822627fffffffff,1331.0,0.0,0.0
82262ffffffffff,920.0,0.0,0.0
822637fffffffff,1605.0,0.0,0.0
822647fffffffff,4130.0,0.0,0.0
82264ffffffffff,4520.0,0.0,0.0
822657fffffffff,5896.0,0.0,0.0
82265ffffffffff,2329.0,0.0,0.0
822667fffffffff,6861.0,0.0,0.0
82266ffffffffff,3422.0,0.0,0.0
822677fffffffff,1221.0,2.0,0.0
822687fffffffff,215.0,0.0,0.0
82268ffffffffff,1769.0,0.0,0.0
8226a7fffffffff,360.0,0.0,0.0
8226affffffffff,3901.0,38.0,0.0
8226c7fffffffff,691.0,0.0,0.0
8226cffffffffff,1667.0,0.0,0.0
8226d7fffffffff,808.0,0.0,0.0
8226dffffffffff,437.0,0.0,0.0
8226e7fffffffff,3694.0,0.0,0.0
8226effffffffff,1339.0,0.0,0.0
8226f7fffffffff,1830.0,0.0,0.0
822707fffffffff,273.0,0.0,0.0
822717fffffffff,273.0,0.0,0.0
82271ffffffffff,608.0,0.0,0.0
822747fffffffff,344.0,0.0,0.0
82274ffffffffff,3771.0,0.0,0.0
822757fffffffff,719.0,2.0,0.0
82275ffffffffff,6268.0,0.0,0.0
82276ffffffffff,2339.0,0.0,0.0
822787fffffffff,365.0,0.0,0.0
82278ffffffffff,651.0,0.0,0.0
822797fffffffff,50.0,0.0,0.0
82279ffffffffff,72.0,0.0,0.0
8227a7fffffffff,44.0,0.0,0.0
8227affffffffff,1205.0,0.0,0.0
8227b7fffffffff,9.0,0.0,0.0
822a07fffffffff,13.0,0.0,0.0
822a17fffffffff,14151.0,8.0,0.0
822a37fffffffff,8159.0,8.0,0.0
822a87fffffffff,4723.0,46.0,0.0
822a8ffffffffff,9627.0,3.0,0.0
822a97fffffffff,6282.0,0.0,0.0
822a9ffffffffff,1915.0,18.0,0.0
822aa7fffffffff,3243.0,0.0,0.0
822aaffffffffff,38074.0,451.0,0.0
