cell_id,Dryoscopus cubla,Dryoscopus cubla affinis,Dryoscopus cubla [cubla Group]
826adffffffffff,29.0,0.0,0.0
827a47fffffffff,242.0,0.0,0.0
827a67fffffffff,502.0,0.0,0.0
827a6ffffffffff,1249.0,0.0,0.0
827a77fffffffff,3.0,0.0,0.0
827b4ffffffffff,250.0,0.0,0.0
827b5ffffffffff,272.0,0.0,0.0
827b6ffffffffff,67.0,0.0,0.0
828317fffffffff,20.0,0.0,0.0
82831ffffffffff,20.0,0.0,0.0
828327fffffffff,16.0,0.0,0.0
828337fffffffff,12.0,0.0,0.0
828387fffffffff,2.0,0.0,0.0
8283a7fffffffff,10.0,0.0,0.0
8283affffffffff,4.0,0.0,0.0
829607fffffffff,117.0,0.0,0.0
82960ffffffffff,56.0,0.0,0.0
829617fffffffff,46.0,0.0,0.0
829627fffffffff,433.0,0.0,0.0
82962ffffffffff,268.0,0.0,0.0
829637fffffffff,129.0,0.0,0.0
829647fffffffff,2.0,0.0,0.0
829657fffffffff,16.0,0.0,0.0
829667fffffffff,3.0,0.0,0.0
82966ffffffffff,1.0,0.0,0.0
829677fffffffff,27.0,0.0,0.0
829687fffffffff,7.0,0.0,0.0
82968ffffffffff,4.0,0.0,0.0
829697fffffffff,942.0,0.0,0.0
82969ffffffffff,25.0,0.0,0.0
8296a7fffffffff,51.0,0.0,0.0
8296affffffffff,23.0,0.0,0.0
8296b7fffffffff,378.0,0.0,0.0
829707fffffffff,282.0,0.0,0.0
82970ffffffffff,56.0,0.0,0.0
829717fffffffff,662.0,0.0,0.0
82971ffffffffff,254.0,0.0,0.0
829727fffffffff,46.0,0.0,0.0
82972ffffffffff,986.0,0.0,3.0
829737fffffffff,51.0,0.0,0.0
829747fffffffff,187.0,0.0,0.0
82974ffffffffff,511.0,0.0,0.0
829757fffffffff,868.0,0.0,0.0
82975ffffffffff,504.0,0.0,1.0
829777fffffffff,49.0,0.0,0.0
82978ffffffffff,105.0,0.0,0.0
829797fffffffff,5.0,0.0,0.0
82979ffffffffff,14.0,0.0,0.0
8297affffffffff,145.0,0.0,0.0
8297b7fffffffff,4.0,0.0,0.0
82ac87fffffffff,175.0,0.0,0.0
82ac8ffffffffff,82.0,0.0,0.0
82ac97fffffffff,60.0,0.0,0.0
82ac9ffffffffff,2.0,0.0,0.0
82aca7fffffffff,76.0,0.0,0.0
82acaffffffffff,9.0,0.0,0.0
82acb7fffffffff,84.0,0.0,0.0
82ad37fffffffff,3.0,0.0,0.0
82bc0ffffffffff,19.0,0.0,0.0
82bc1ffffffffff,50.0,0.0,0.0
82bc47fffffffff,132.0,0.0,0.0
82bc57fffffffff,9.0,0.0,0.0
82bc77fffffffff,30.0,0.0,0.0
82bc8ffffffffff,312.0,0.0,0.0
82bc9ffffffffff,46.0,0.0,0.0
82bcc7fffffffff,86.0,0.0,1.0
82bccffffffffff,23.0,0.0,0.0
82bcd7fffffffff,2495.0,0.0,4.0
82bcdffffffffff,388.0,0.0,0.0
82bce7fffffffff,318.0,0.0,1.0
82bcf7fffffffff,2181.0,0.0,15.0
