cell_id,Lichenostomus melanops,Lichenostomus melanops melanops/meltoni,Lichenostomus melanops cassidix
829d27fffffffff,2.0,0.0,0.0
829d2ffffffffff,23.0,3.0,0.0
82be0ffffffffff,1286.0,171.0,0.0
82be1ffffffffff,37.0,3.0,0.0
82be2ffffffffff,5.0,0.0,0.0
82be47fffffffff,1850.0,423.0,0.0
82be57fffffffff,37.0,6.0,0.0
82be67fffffffff,300.0,46.0,15.0
82be6ffffffffff,129.0,4.0,0.0
82be77fffffffff,1068.0,110.0,0.0
82be8ffffffffff,133.0,0.0,0.0
82bed7fffffffff,9.0,1.0,0.0
82bedffffffffff,12.0,0.0,0.0
82bee7fffffffff,143.0,15.0,0.0
82bef7fffffffff,970.0,118.0,0.0
