cell_id,Spilornis cheela,Spilornis cheela [cheela Group],Spilornis cheela davisoni,Spilornis cheela minimus,Spilornis cheela perplexus,Spilornis cheela natunensis,Spilornis cheela abbotti,Spilornis cheela asturinus,Spilornis cheela sipora,Spilornis cheela baweanus
823c07fffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c0ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c17fffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c57fffffffff,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c8ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c97fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823caffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cb7fffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ce7fffffffff,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cf7fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d17fffffffff,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d37fffffffff,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d87fffffffff,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823da7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823daffffffffff,72.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82404ffffffffff,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
