cell_id,Thectocercus acuticaudatus,Thectocercus acuticaudatus [haemorrhous Group],Thectocercus acuticaudatus acuticaudatus/neumanni
8229a7fffffffff,85.0,0.0,0.0
823917fffffffff,1.0,0.0,0.0
823937fffffffff,282.0,0.0,0.0
823947fffffffff,19.0,0.0,0.0
82441ffffffffff,382.0,5.0,0.0
8244a7fffffffff,889.0,9.0,0.0
8244affffffffff,110.0,0.0,0.0
825f47fffffffff,1.0,0.0,0.0
825f4ffffffffff,7.0,0.0,0.0
825f77fffffffff,1.0,0.0,0.0
82660ffffffffff,5.0,0.0,0.0
826627fffffffff,457.0,32.0,0.0
826647fffffffff,7.0,0.0,0.0
826657fffffffff,365.0,0.0,0.0
826667fffffffff,40.0,0.0,0.0
826677fffffffff,140.0,3.0,0.0
8266e7fffffffff,72.0,0.0,0.0
8266effffffffff,18.0,0.0,0.0
826747fffffffff,703.0,0.0,0.0
82674ffffffffff,18.0,0.0,0.0
826757fffffffff,691.0,2.0,0.0
82675ffffffffff,13.0,0.0,0.0
82676ffffffffff,2.0,0.0,0.0
82810ffffffffff,4.0,0.0,0.0
82811ffffffffff,13.0,1.0,0.0
828127fffffffff,3.0,0.0,0.0
828137fffffffff,1.0,0.0,0.0
828157fffffffff,1.0,0.0,0.0
828177fffffffff,14.0,2.0,0.0
8281affffffffff,232.0,6.0,0.0
828b07fffffffff,6.0,0.0,0.0
828b27fffffffff,809.0,0.0,2.0
828b37fffffffff,26.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0
828b9ffffffffff,1.0,0.0,0.0
828ba7fffffffff,15.0,0.0,0.0
828bb7fffffffff,7.0,0.0,0.0
82a847fffffffff,242.0,0.0,1.0
82a84ffffffffff,5.0,0.0,0.0
82a857fffffffff,2.0,0.0,0.0
82a85ffffffffff,622.0,0.0,24.0
82a867fffffffff,13.0,0.0,0.0
82a86ffffffffff,22.0,0.0,0.0
82a877fffffffff,7.0,0.0,0.0
82a8affffffffff,2.0,0.0,0.0
82a8d7fffffffff,109.0,0.0,0.0
82a947fffffffff,429.0,0.0,0.0
82a94ffffffffff,588.0,0.0,0.0
82a95ffffffffff,56.0,0.0,0.0
82a967fffffffff,274.0,0.0,0.0
82a96ffffffffff,687.0,0.0,0.0
82a977fffffffff,8.0,0.0,0.0
82b20ffffffffff,44.0,0.0,0.0
82b22ffffffffff,2.0,0.0,0.0
82b247fffffffff,530.0,0.0,0.0
82b24ffffffffff,2.0,0.0,0.0
82b257fffffffff,73.0,0.0,0.0
82b25ffffffffff,456.0,0.0,0.0
82b267fffffffff,536.0,0.0,0.0
82b26ffffffffff,56.0,0.0,0.0
82b277fffffffff,321.0,0.0,0.0
82b2effffffffff,7.0,0.0,0.0
82b32ffffffffff,6.0,0.0,4.0
82b347fffffffff,301.0,0.0,0.0
82b34ffffffffff,362.0,0.0,0.0
82b35ffffffffff,634.0,0.0,0.0
82b367fffffffff,218.0,0.0,0.0
82b36ffffffffff,185.0,0.0,0.0
82c2cffffffffff,59.0,0.0,0.0
82c2e7fffffffff,10.0,0.0,0.0
82c2effffffffff,1.0,0.0,0.0
82c347fffffffff,467.0,0.0,0.0
82c34ffffffffff,42.0,0.0,0.0
82c357fffffffff,45.0,0.0,0.0
82c35ffffffffff,2.0,0.0,0.0
82c367fffffffff,2.0,0.0,0.0
82c36ffffffffff,20.0,0.0,0.0
82c377fffffffff,110.0,0.0,0.0
