cell_id,Buteo platypterus,Buteo platypterus platypterus,Buteo platypterus [antillarum Group]
822b0ffffffffff,43.0,0.0,0.0
822b17fffffffff,29.0,0.0,0.0
822b1ffffffffff,100.0,3.0,0.0
822b2ffffffffff,16.0,0.0,0.0
822b37fffffffff,41.0,0.0,0.0
822b87fffffffff,731.0,16.0,0.0
822b8ffffffffff,488.0,136.0,0.0
822b97fffffffff,32.0,28.0,0.0
822b9ffffffffff,497.0,243.0,0.0
822baffffffffff,107.0,8.0,0.0
822bb7fffffffff,2.0,0.0,0.0
824417fffffffff,396.0,0.0,0.0
82441ffffffffff,159.0,3.0,0.0
824447fffffffff,118.0,0.0,0.0
82444ffffffffff,18.0,0.0,0.0
824457fffffffff,14.0,0.0,0.0
82445ffffffffff,4.0,0.0,0.0
824467fffffffff,133.0,0.0,0.0
82446ffffffffff,216.0,0.0,0.0
824477fffffffff,339.0,3.0,0.0
8244a7fffffffff,47.0,2.0,0.0
8244affffffffff,126.0,9.0,0.0
8244c7fffffffff,50.0,0.0,0.0
8244cffffffffff,83.0,3.0,0.0
8244d7fffffffff,112.0,0.0,0.0
8244dffffffffff,81.0,1.0,0.0
8244e7fffffffff,20.0,0.0,0.0
8244effffffffff,13.0,0.0,0.0
8244f7fffffffff,104.0,0.0,0.0
824507fffffffff,4.0,0.0,0.0
82450ffffffffff,6.0,0.0,0.0
824527fffffffff,338.0,9.0,0.0
82452ffffffffff,173.0,0.0,0.0
824807fffffffff,5.0,0.0,0.0
82480ffffffffff,4.0,0.0,0.0
824817fffffffff,1.0,0.0,0.0
824827fffffffff,10.0,0.0,0.0
82482ffffffffff,29.0,0.0,0.0
824837fffffffff,9.0,7.0,0.0
824847fffffffff,7.0,0.0,0.0
82484ffffffffff,5.0,0.0,0.0
82485ffffffffff,8.0,0.0,0.0
824877fffffffff,7.0,0.0,0.0
824887fffffffff,7.0,0.0,0.0
82488ffffffffff,34.0,0.0,0.0
824897fffffffff,119.0,1.0,0.0
82489ffffffffff,37.0,0.0,0.0
