cell_id,Horornis fortipes,Horornis fortipes [fortipes Group],Horornis fortipes robustipes
83209afffffffff,88.0,0.0,0.0
83209efffffffff,24.0,0.0,0.0
83308efffffffff,2.0,0.0,0.0
833091fffffffff,37.0,0.0,0.0
833092fffffffff,1.0,0.0,0.0
833096fffffffff,5.0,0.0,0.0
833098fffffffff,34.0,0.0,0.0
83309afffffffff,364.0,2.0,0.0
83309bfffffffff,62.0,1.0,0.0
83309dfffffffff,13.0,0.0,0.0
83309efffffffff,26.0,0.0,0.0
833c0afffffffff,253.0,0.0,0.0
833c0bfffffffff,136.0,0.0,0.0
833c19fffffffff,8.0,0.0,0.0
833c1dfffffffff,128.0,0.0,0.0
833c31fffffffff,2.0,0.0,0.0
833c52fffffffff,965.0,0.0,0.0
833c53fffffffff,21.0,0.0,0.0
833c56fffffffff,3.0,0.0,0.0
833c58fffffffff,153.0,0.0,0.0
833c59fffffffff,126.0,0.0,0.0
833c5bfffffffff,11.0,0.0,0.0
833c5cfffffffff,127.0,0.0,0.0
833c5dfffffffff,4.0,0.0,0.0
833c5efffffffff,27.0,0.0,0.0
833cd8fffffffff,63.0,2.0,0.0
833ce3fffffffff,50.0,0.0,0.0
833ce4fffffffff,29.0,0.0,0.0
833ce5fffffffff,135.0,0.0,0.0
833ce8fffffffff,169.0,0.0,0.0
833ce9fffffffff,75.0,0.0,0.0
833ceafffffffff,21.0,0.0,0.0
833cebfffffffff,17.0,0.0,0.0
833d10fffffffff,169.0,0.0,0.0
833d11fffffffff,74.0,0.0,0.0
833d13fffffffff,18.0,0.0,0.0
833d14fffffffff,1.0,0.0,0.0
833d15fffffffff,301.0,0.0,0.0
833d1afffffffff,9.0,0.0,0.0
833d1efffffffff,128.0,0.0,0.0
833d30fffffffff,72.0,0.0,0.0
833d31fffffffff,27.0,0.0,0.0
833d33fffffffff,107.0,0.0,0.0
833d34fffffffff,66.0,0.0,0.0
833d35fffffffff,42.0,0.0,0.0
833d36fffffffff,20.0,0.0,0.0
833dadfffffffff,68.0,0.0,0.0
834002fffffffff,2.0,0.0,0.0
834003fffffffff,2.0,0.0,0.0
