cell_id,Catharus fuscater,Catharus fuscater hellmayri,Catharus fuscater [fuscater Group]
836608fffffffff,38.0,0.0,0.0
83660bfffffffff,54.0,0.0,0.0
83660cfffffffff,32.0,0.0,0.0
83660dfffffffff,34.0,0.0,0.0
836611fffffffff,1.0,0.0,0.0
836612fffffffff,60.0,0.0,0.0
836613fffffffff,118.0,0.0,16.0
836618fffffffff,5.0,0.0,0.0
836619fffffffff,30.0,0.0,0.0
83661bfffffffff,5.0,0.0,2.0
836620fffffffff,1708.0,0.0,183.0
836621fffffffff,325.0,0.0,0.0
836622fffffffff,2.0,0.0,0.0
836623fffffffff,48.0,0.0,17.0
836629fffffffff,173.0,0.0,0.0
83662bfffffffff,22.0,0.0,0.0
83662efffffffff,1.0,0.0,0.0
8366a0fffffffff,3.0,0.0,0.0
8366a2fffffffff,13.0,0.0,0.0
8366b4fffffffff,1837.0,0.0,0.0
8366b5fffffffff,423.0,17.0,0.0
8366c0fffffffff,3.0,0.0,0.0
8366c2fffffffff,11.0,0.0,0.0
8366c4fffffffff,2.0,0.0,0.0
8366c6fffffffff,6.0,0.0,0.0
8366d0fffffffff,2.0,0.0,0.0
8366d1fffffffff,2.0,0.0,0.0
8366d3fffffffff,975.0,0.0,118.0
8366dafffffffff,3.0,0.0,0.0
8366defffffffff,161.0,0.0,22.0
8366e0fffffffff,18.0,0.0,0.0
8366e4fffffffff,3.0,0.0,0.0
8366e5fffffffff,35.0,0.0,0.0
8366e6fffffffff,203.0,0.0,13.0
8366f1fffffffff,19.0,0.0,0.0
8366f5fffffffff,112.0,0.0,0.0
83675afffffffff,106.0,0.0,1.0
83675efffffffff,56.0,0.0,3.0
83679afffffffff,60.0,0.0,0.0
836d68fffffffff,50.0,0.0,0.0
836d69fffffffff,6461.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0
838b21fffffffff,9.0,0.0,0.0
838b22fffffffff,2.0,0.0,0.0
838b2cfffffffff,3.0,0.0,0.0
838b61fffffffff,55.0,0.0,0.0
838b6cfffffffff,3.0,0.0,0.0
838b75fffffffff,5.0,0.0,0.0
838e64fffffffff,36.0,0.0,0.0
838e65fffffffff,3.0,0.0,0.0
838e6cfffffffff,7.0,0.0,0.0
838f0dfffffffff,81.0,0.0,9.0
838f29fffffffff,9.0,0.0,0.0
838f2bfffffffff,10.0,0.0,0.0
838f2dfffffffff,2.0,0.0,0.0
838f42fffffffff,54.0,0.0,0.0
838f46fffffffff,62.0,0.0,0.0
838f4afffffffff,9.0,0.0,0.0
838f50fffffffff,10.0,0.0,0.0
838f51fffffffff,13.0,0.0,0.0
838f54fffffffff,64.0,0.0,0.0
838f55fffffffff,42.0,0.0,0.0
838f59fffffffff,6.0,0.0,0.0
838f5cfffffffff,12.0,0.0,0.0
838f5efffffffff,2.0,0.0,0.0
838f70fffffffff,2.0,0.0,0.0
838f72fffffffff,114.0,0.0,15.0
838f73fffffffff,79.0,0.0,0.0
838f74fffffffff,3.0,0.0,0.0
838f76fffffffff,73.0,0.0,0.0
83b321fffffffff,1.0,0.0,0.0
83b325fffffffff,24.0,0.0,0.0
