cell_id,Tachybaptus ruficollis,Tachybaptus ruficollis [ruficollis Group],Tachybaptus ruficollis [tricolor Group]
84075d1ffffffff,5.0,2.0,0.0
84075d9ffffffff,2.0,0.0,0.0
8407733ffffffff,1.0,0.0,0.0
840773bffffffff,3.0,0.0,0.0
8408997ffffffff,4.0,0.0,0.0
8408b41ffffffff,1.0,1.0,0.0
84118cdffffffff,3.0,0.0,0.0
8415927ffffffff,3.0,0.0,0.0
84180c9ffffffff,2.0,2.0,0.0
8418233ffffffff,2.0,2.0,0.0
841828bffffffff,2.0,0.0,0.0
84182e5ffffffff,3.0,0.0,0.0
8418443ffffffff,2.0,0.0,0.0
8418495ffffffff,74.0,5.0,0.0
84184b1ffffffff,9.0,0.0,0.0
84184b3ffffffff,4.0,0.0,0.0
84184b5ffffffff,2.0,0.0,0.0
84184b7ffffffff,9.0,7.0,0.0
84184b9ffffffff,4.0,0.0,0.0
84184bbffffffff,4.0,4.0,0.0
8418597ffffffff,5.0,0.0,0.0
84185b3ffffffff,5.0,2.0,0.0
84185b5ffffffff,1.0,1.0,0.0
84185bbffffffff,16.0,0.0,0.0
84186c1ffffffff,2.0,0.0,0.0
84186c5ffffffff,2.0,0.0,0.0
84186c9ffffffff,2.0,0.0,0.0
84186cbffffffff,2.0,0.0,0.0
84186edffffffff,2.0,0.0,0.0
8418747ffffffff,8.0,0.0,0.0
84190cbffffffff,5.0,2.0,0.0
84190ddffffffff,3.0,3.0,0.0
8419229ffffffff,1.0,1.0,0.0
841928dffffffff,1.0,0.0,0.0
8419401ffffffff,11.0,0.0,0.0
8419405ffffffff,2.0,0.0,0.0
8419435ffffffff,2.0,0.0,0.0
8419437ffffffff,2.0,2.0,0.0
8419501ffffffff,2.0,0.0,0.0
8419513ffffffff,2.0,0.0,0.0
8419591ffffffff,2.0,0.0,0.0
84196b1ffffffff,2.0,0.0,0.0
841973bffffffff,3.0,0.0,0.0
841e023ffffffff,4.0,0.0,0.0
841e029ffffffff,1.0,0.0,0.0
841e05bffffffff,8.0,4.0,0.0
841e061ffffffff,8.0,3.0,0.0
841e085ffffffff,15.0,0.0,0.0
841e0a9ffffffff,13.0,0.0,0.0
841e10bffffffff,4.0,0.0,0.0
841e1c1ffffffff,1.0,1.0,0.0
841e287ffffffff,1.0,0.0,0.0
841e299ffffffff,2.0,0.0,0.0
841e2b7ffffffff,3.0,0.0,0.0
841e335ffffffff,2.0,0.0,0.0
841e355ffffffff,2.0,0.0,0.0
841e427ffffffff,2.0,0.0,0.0
841e465ffffffff,6.0,0.0,0.0
841e497ffffffff,4.0,0.0,0.0
841e5c9ffffffff,3.0,0.0,0.0
841e5d5ffffffff,1.0,0.0,0.0
841e63bffffffff,1.0,0.0,0.0
841e6b3ffffffff,2.0,0.0,0.0
841e733ffffffff,2.0,0.0,0.0
841ea0bffffffff,2.0,0.0,0.0
841ea45ffffffff,2.0,2.0,0.0
841ea53ffffffff,1.0,0.0,0.0
841ea55ffffffff,1.0,0.0,0.0
841ea57ffffffff,2.0,0.0,0.0
841ea5bffffffff,1.0,0.0,0.0
841ea93ffffffff,1.0,0.0,0.0
841ec03ffffffff,2.0,0.0,0.0
841ec09ffffffff,1.0,0.0,0.0
841ec1dffffffff,14.0,0.0,0.0
841ec47ffffffff,2.0,0.0,0.0
841ec55ffffffff,1.0,0.0,0.0
841ecc9ffffffff,2.0,0.0,0.0
841eccbffffffff,7.0,0.0,0.0
841eda3ffffffff,2.0,0.0,0.0
841ede1ffffffff,2.0,0.0,0.0
841ee91ffffffff,2.0,0.0,0.0
841ee97ffffffff,2.0,0.0,0.0
841eeb7ffffffff,3.0,0.0,0.0
841ef27ffffffff,3.0,0.0,0.0
841f00dffffffff,3.0,0.0,0.0
841f045ffffffff,2.0,0.0,0.0
841f063ffffffff,2.0,0.0,0.0
841f125ffffffff,2.0,0.0,0.0
841f1a5ffffffff,22.0,22.0,0.0
841f219ffffffff,1.0,1.0,0.0
841f29dffffffff,1.0,1.0,0.0
841f2a9ffffffff,1.0,0.0,0.0
841f421ffffffff,2.0,0.0,0.0
841f4adffffffff,2.0,0.0,0.0
841f5c1ffffffff,3.0,0.0,0.0
841f607ffffffff,2.0,0.0,0.0
841f83bffffffff,4.0,0.0,0.0
841f897ffffffff,1.0,0.0,0.0
841f8e5ffffffff,2.0,0.0,0.0
841f8e9ffffffff,8.0,0.0,0.0
841f8ebffffffff,2.0,0.0,0.0
841f8edffffffff,2.0,0.0,0.0
841f91bffffffff,4.0,2.0,0.0
841f9c9ffffffff,4.0,2.0,0.0
841faadffffffff,2.0,0.0,0.0
841fac7ffffffff,4.0,0.0,0.0
841fadbffffffff,3.0,3.0,0.0
841fb05ffffffff,2.0,0.0,0.0
84201b1ffffffff,4.0,0.0,0.0
8420b13ffffffff,4.0,0.0,0.0
8420b1bffffffff,2.0,0.0,0.0
8420e61ffffffff,2.0,0.0,0.0
842460dffffffff,2.0,0.0,0.0
8424757ffffffff,2.0,0.0,0.0
84255b7ffffffff,1.0,1.0,0.0
842c005ffffffff,2.0,2.0,0.0
842c05bffffffff,2.0,2.0,0.0
842c0c9ffffffff,2.0,2.0,0.0
842c193ffffffff,7.0,0.0,0.0
842c1e5ffffffff,2.0,2.0,0.0
842c1edffffffff,12.0,12.0,0.0
842c203ffffffff,18.0,18.0,0.0
842c219ffffffff,9.0,9.0,0.0
842c283ffffffff,2.0,2.0,0.0
