cell_id,Coccyzus merlini,Coccyzus merlini bahamensis,Coccyzus merlini [merlini Group]
8444b2bffffffff,3.0,3.0,0.0
8444b5bffffffff,10.0,3.0,0.0
8444b5dffffffff,2.0,0.0,0.0
84458d5ffffffff,4.0,0.0,4.0
