cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
824507fffffffff,76.0,0.0,0.0,0.0
82450ffffffffff,430.0,4.0,0.0,0.0
82451ffffffffff,1.0,0.0,0.0,0.0
824527fffffffff,1086.0,20.0,0.0,0.0
82452ffffffffff,3013.0,124.0,0.0,0.0
824537fffffffff,329.0,0.0,0.0,0.0
824577fffffffff,8.0,0.0,0.0,0.0
824807fffffffff,30.0,0.0,0.0,0.0
82480ffffffffff,86.0,0.0,0.0,0.0
824817fffffffff,21.0,0.0,0.0,0.0
82481ffffffffff,3.0,0.0,0.0,0.0
824837fffffffff,800.0,0.0,0.0,0.0
8248a7fffffffff,25.0,0.0,0.0,0.0
8248b7fffffffff,5.0,0.0,0.0,0.0
8248e7fffffffff,4.0,0.0,0.0,0.0
824987fffffffff,62.0,0.0,0.0,0.0
824997fffffffff,370.0,39.0,0.0,0.0
82499ffffffffff,184.0,0.0,0.0,0.0
8249a7fffffffff,6.0,0.0,0.0,0.0
8249affffffffff,520.0,31.0,0.0,0.0
8249b7fffffffff,135.0,6.0,0.0,0.0
825f07fffffffff,8.0,0.0,0.0,0.0
825f17fffffffff,2.0,0.0,0.0,0.0
825f2ffffffffff,18.0,0.0,0.0,0.0
825f4ffffffffff,3.0,0.0,0.0,0.0
825f5ffffffffff,6.0,0.0,0.0,0.0
825f77fffffffff,1.0,0.0,0.0,0.0
826607fffffffff,1.0,0.0,0.0,0.0
82660ffffffffff,237.0,0.0,0.0,0.0
826617fffffffff,514.0,29.0,0.0,0.0
82661ffffffffff,488.0,7.0,0.0,0.0
826627fffffffff,347.0,34.0,0.0,0.0
82662ffffffffff,34.0,0.0,0.0,0.0
8266a7fffffffff,989.0,71.0,0.0,0.0
8266b7fffffffff,1485.0,10.0,0.0,0.0
8266c7fffffffff,116.0,0.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0,0.0
8266d7fffffffff,530.0,25.0,0.0,0.0
8266dffffffffff,92.0,1.0,0.0,0.0
8266e7fffffffff,468.0,14.0,0.0,0.0
8266f7fffffffff,396.0,9.0,0.0,0.0
826747fffffffff,98.0,0.0,0.0,0.0
82674ffffffffff,44.0,1.0,0.0,0.0
826757fffffffff,24.0,0.0,0.0,0.0
82675ffffffffff,57.0,0.0,0.0,0.0
826797fffffffff,41.0,0.0,0.0,0.0
82679ffffffffff,304.0,0.0,0.0,0.0
826d07fffffffff,107.0,19.0,0.0,0.0
826d17fffffffff,259.0,29.0,0.0,0.0
826d27fffffffff,258.0,34.0,0.0,0.0
826d2ffffffffff,2501.0,695.0,0.0,0.0
826d37fffffffff,408.0,31.0,0.0,0.0
826d67fffffffff,704.0,0.0,0.0,0.0
826d6ffffffffff,3349.0,0.0,0.0,0.0
826d77fffffffff,200.0,0.0,0.0,0.0
828107fffffffff,2.0,0.0,0.0,0.0
828137fffffffff,27.0,0.0,0.0,0.0
82814ffffffffff,10.0,0.0,0.0,0.0
828187fffffffff,18.0,0.0,0.0,0.0
8281affffffffff,2.0,0.0,0.0,0.0
828a17fffffffff,1.0,0.0,1.0,0.0
828a47fffffffff,4.0,0.0,0.0,0.0
828a6ffffffffff,33.0,0.0,0.0,0.0
828adffffffffff,2.0,0.0,0.0,0.0
828af7fffffffff,9.0,0.0,2.0,0.0
828b07fffffffff,2.0,0.0,0.0,0.0
828b0ffffffffff,3.0,0.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0,0.0
828b47fffffffff,89.0,0.0,0.0,0.0
828b4ffffffffff,1.0,0.0,0.0,0.0
828b67fffffffff,44.0,0.0,0.0,0.0
828b6ffffffffff,12.0,0.0,0.0,0.0
828b77fffffffff,11.0,0.0,0.0,0.0
828b9ffffffffff,34.0,0.0,0.0,0.0
828ba7fffffffff,4.0,0.0,0.0,0.0
828bb7fffffffff,11.0,0.0,0.0,0.0
828f0ffffffffff,14.0,0.0,0.0,0.0
828f2ffffffffff,59.0,0.0,0.0,0.0
828f47fffffffff,7.0,0.0,3.0,0.0
828f4ffffffffff,16.0,0.0,0.0,0.0
828f5ffffffffff,5.0,0.0,0.0,0.0
828f67fffffffff,2.0,0.0,0.0,0.0
828f6ffffffffff,6.0,0.0,0.0,0.0
828f77fffffffff,5.0,0.0,0.0,0.0
82a597fffffffff,31.0,0.0,0.0,0.0
82a807fffffffff,67.0,0.0,0.0,9.0
82a80ffffffffff,5.0,0.0,0.0,0.0
82a817fffffffff,288.0,0.0,0.0,19.0
82a81ffffffffff,56.0,0.0,0.0,0.0
82a827fffffffff,3.0,0.0,0.0,0.0
82a82ffffffffff,3.0,0.0,0.0,0.0
82a837fffffffff,65.0,0.0,0.0,11.0
82a85ffffffffff,39.0,0.0,0.0,0.0
82a877fffffffff,2.0,0.0,0.0,0.0
82a887fffffffff,34.0,0.0,0.0,8.0
82a897fffffffff,19.0,0.0,0.0,0.0
82a8a7fffffffff,102.0,0.0,0.0,4.0
82a8affffffffff,17.0,0.0,0.0,0.0
82a8b7fffffffff,1.0,0.0,0.0,0.0
82a90ffffffffff,6.0,0.0,0.0,0.0
82a91ffffffffff,17.0,0.0,0.0,0.0
82a947fffffffff,45.0,0.0,0.0,1.0
82a957fffffffff,216.0,0.0,0.0,5.0
82a95ffffffffff,7.0,0.0,0.0,0.0
