cell_id,Automolus ochrolaemus,Automolus ochrolaemus pallidigularis,Automolus ochrolaemus turdinus,Automolus ochrolaemus ochrolaemus,Automolus ochrolaemus auricularis
835f01fffffffff,3.0,0.0,0.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0,0.0,0.0
835f03fffffffff,13.0,0.0,0.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0,0.0,0.0
835f11fffffffff,3.0,0.0,0.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0,0.0,0.0
835f14fffffffff,1.0,0.0,0.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0,0.0,0.0
835f2bfffffffff,23.0,0.0,0.0,0.0,0.0
835f2cfffffffff,1.0,0.0,0.0,0.0,0.0
835f33fffffffff,1.0,0.0,0.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0,0.0,0.0
835f50fffffffff,10.0,0.0,0.0,0.0,0.0
835f68fffffffff,2.0,0.0,0.0,0.0,0.0
835f71fffffffff,16.0,0.0,0.0,0.0,0.0
835f75fffffffff,12.0,0.0,0.0,0.0,0.0
835f76fffffffff,1.0,0.0,0.0,0.0,0.0
836602fffffffff,1.0,0.0,0.0,0.0,0.0
836608fffffffff,22.0,0.0,0.0,0.0,0.0
83660afffffffff,49.0,0.0,0.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0,0.0,0.0
83660cfffffffff,4.0,0.0,0.0,0.0,0.0
83660efffffffff,5.0,0.0,0.0,0.0,0.0
836610fffffffff,6.0,0.0,0.0,0.0,0.0
836611fffffffff,7.0,0.0,0.0,0.0,0.0
836612fffffffff,6.0,1.0,0.0,0.0,0.0
836613fffffffff,91.0,18.0,0.0,0.0,0.0
836616fffffffff,125.0,11.0,0.0,0.0,0.0
836619fffffffff,77.0,0.0,0.0,0.0,0.0
83661afffffffff,6.0,0.0,0.0,0.0,0.0
83661cfffffffff,4.0,0.0,0.0,0.0,0.0
83661dfffffffff,39.0,0.0,0.0,0.0,0.0
83661efffffffff,18.0,0.0,0.0,0.0,0.0
836641fffffffff,10.0,0.0,0.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0,0.0,0.0
83665afffffffff,35.0,0.0,0.0,0.0,0.0
83665bfffffffff,27.0,0.0,0.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0,0.0,0.0
83666cfffffffff,5.0,0.0,0.0,0.0,0.0
83666efffffffff,17.0,0.0,0.0,0.0,0.0
8366a0fffffffff,1.0,0.0,0.0,0.0,0.0
8366a5fffffffff,90.0,4.0,0.0,0.0,0.0
8366c0fffffffff,7.0,0.0,0.0,0.0,0.0
8366c1fffffffff,3.0,0.0,0.0,0.0,0.0
8366c2fffffffff,54.0,0.0,0.0,0.0,0.0
8366c4fffffffff,59.0,0.0,0.0,0.0,0.0
8366c5fffffffff,11.0,0.0,0.0,0.0,0.0
8366c9fffffffff,2.0,0.0,0.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0,0.0,0.0
8366cefffffffff,23.0,0.0,0.0,0.0,0.0
8366d1fffffffff,30.0,0.0,0.0,0.0,0.0
8366d3fffffffff,26.0,0.0,0.0,0.0,0.0
8366d4fffffffff,1.0,0.0,0.0,0.0,0.0
8366d8fffffffff,7.0,0.0,0.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0,0.0,0.0
8366dbfffffffff,4.0,0.0,0.0,0.0,0.0
8366dcfffffffff,37.0,0.0,1.0,0.0,0.0
8366ddfffffffff,7.0,0.0,4.0,0.0,0.0
8366defffffffff,29.0,0.0,0.0,0.0,0.0
8366e0fffffffff,49.0,0.0,0.0,0.0,0.0
8366e1fffffffff,3.0,0.0,0.0,0.0,0.0
8366e2fffffffff,13.0,0.0,0.0,0.0,0.0
8366e3fffffffff,27.0,0.0,0.0,0.0,0.0
8366e5fffffffff,141.0,0.0,0.0,0.0,0.0
8366e6fffffffff,72.0,0.0,0.0,0.0,0.0
8366e8fffffffff,4.0,0.0,0.0,0.0,0.0
8366e9fffffffff,5.0,0.0,0.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0,0.0,0.0
8366ecfffffffff,64.0,0.0,0.0,0.0,0.0
8366eefffffffff,53.0,0.0,0.0,0.0,0.0
8366f0fffffffff,48.0,0.0,0.0,0.0,0.0
838049fffffffff,1.0,0.0,0.0,0.0,0.0
83806bfffffffff,15.0,0.0,0.0,0.0,0.0
83814dfffffffff,10.0,0.0,0.0,0.0,0.0
838a00fffffffff,17.0,0.0,0.0,0.0,0.0
838a01fffffffff,19.0,0.0,0.0,0.0,0.0
838a05fffffffff,33.0,0.0,0.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0,0.0,0.0
838a10fffffffff,27.0,0.0,0.0,0.0,0.0
838a13fffffffff,2.0,0.0,0.0,0.0,0.0
838a14fffffffff,2.0,0.0,0.0,0.0,0.0
838a15fffffffff,5.0,0.0,0.0,0.0,0.0
838a21fffffffff,3.0,0.0,0.0,0.0,0.0
838a23fffffffff,3.0,0.0,0.0,0.0,0.0
838a24fffffffff,2.0,0.0,0.0,0.0,0.0
838a31fffffffff,22.0,0.0,0.0,0.0,0.0
838a33fffffffff,13.0,0.0,0.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0,0.0,0.0
838a63fffffffff,14.0,0.0,0.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0,0.0,0.0
838a69fffffffff,3.0,0.0,0.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0,0.0,0.0
838a6dfffffffff,15.0,0.0,0.0,0.0,0.0
838a70fffffffff,5.0,0.0,0.0,0.0,0.0
838a80fffffffff,30.0,0.0,0.0,0.0,0.0
838a81fffffffff,8.0,0.0,0.0,0.0,0.0
838aa8fffffffff,9.0,0.0,0.0,0.0,0.0
838aaafffffffff,29.0,0.0,0.0,0.0,0.0
838aacfffffffff,5.0,0.0,0.0,0.0,0.0
838aadfffffffff,3.0,0.0,0.0,0.0,0.0
838ad1fffffffff,4.0,0.0,0.0,0.0,0.0
838adcfffffffff,14.0,0.0,0.0,0.0,0.0
838af2fffffffff,68.0,0.0,0.0,0.0,0.0
838af4fffffffff,2.0,0.0,0.0,0.0,0.0
838af6fffffffff,233.0,0.0,0.0,0.0,0.0
838b1afffffffff,1.0,0.0,0.0,0.0,0.0
838b21fffffffff,12.0,0.0,0.0,0.0,0.0
838b22fffffffff,6.0,0.0,0.0,0.0,0.0
838b29fffffffff,1.0,0.0,0.0,0.0,0.0
838b2cfffffffff,8.0,0.0,0.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0,0.0,0.0
838b40fffffffff,87.0,0.0,0.0,3.0,0.0
838b42fffffffff,2.0,0.0,0.0,0.0,0.0
838b44fffffffff,208.0,0.0,0.0,14.0,0.0
838b46fffffffff,5.0,0.0,0.0,0.0,0.0
838b4afffffffff,1.0,0.0,0.0,0.0,0.0
838b4efffffffff,22.0,0.0,0.0,0.0,0.0
838b51fffffffff,25.0,0.0,0.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0,0.0,0.0
838b5cfffffffff,14.0,0.0,0.0,0.0,0.0
838b5dfffffffff,4.0,0.0,0.0,0.0,0.0
838b61fffffffff,274.0,0.0,0.0,5.0,0.0
838b62fffffffff,9.0,0.0,0.0,0.0,0.0
838b63fffffffff,117.0,0.0,0.0,6.0,0.0
838b68fffffffff,8.0,0.0,0.0,0.0,0.0
838b69fffffffff,29.0,0.0,0.0,0.0,0.0
838b6cfffffffff,14.0,0.0,0.0,0.0,0.0
838b6dfffffffff,2.0,0.0,0.0,0.0,0.0
838b6efffffffff,70.0,0.0,0.0,2.0,0.0
838b70fffffffff,2.0,0.0,0.0,0.0,0.0
838b71fffffffff,118.0,0.0,0.0,2.0,0.0
838b74fffffffff,66.0,0.0,0.0,0.0,0.0
838b75fffffffff,6.0,0.0,0.0,0.0,0.0
838b83fffffffff,1.0,0.0,0.0,0.0,0.0
838b88fffffffff,6.0,0.0,0.0,0.0,0.0
838b99fffffffff,12.0,0.0,0.0,0.0,0.0
838b9dfffffffff,119.0,0.0,0.0,0.0,0.0
838e64fffffffff,55.0,0.0,0.0,0.0,0.0
838e65fffffffff,11.0,0.0,0.0,0.0,0.0
838f28fffffffff,4.0,4.0,0.0,0.0,0.0
838f2afffffffff,115.0,14.0,0.0,0.0,0.0
838f2bfffffffff,5.0,0.0,0.0,0.0,0.0
838f2cfffffffff,129.0,2.0,0.0,0.0,0.0
838f40fffffffff,216.0,0.0,0.0,0.0,0.0
838f42fffffffff,11.0,0.0,0.0,0.0,0.0
838f43fffffffff,21.0,0.0,0.0,2.0,0.0
838f46fffffffff,141.0,0.0,0.0,4.0,0.0
838f48fffffffff,2.0,0.0,0.0,0.0,0.0
838f4afffffffff,32.0,0.0,0.0,0.0,0.0
838f4bfffffffff,8.0,0.0,0.0,0.0,0.0
838f4cfffffffff,1.0,0.0,0.0,0.0,0.0
838f5dfffffffff,46.0,0.0,0.0,0.0,0.0
838f61fffffffff,2.0,0.0,0.0,0.0,0.0
838f65fffffffff,168.0,0.0,0.0,0.0,0.0
838f6bfffffffff,5.0,0.0,0.0,0.0,0.0
838f6efffffffff,4.0,0.0,0.0,0.0,0.0
838f70fffffffff,2.0,0.0,0.0,0.0,0.0
838f71fffffffff,4.0,0.0,0.0,0.0,0.0
838f72fffffffff,28.0,0.0,0.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0,0.0,0.0
838f76fffffffff,3.0,0.0,0.0,0.0,0.0
83a8c9fffffffff,1.0,0.0,0.0,0.0,0.0
83b324fffffffff,8.0,0.0,0.0,0.0,0.0
83b325fffffffff,6.0,0.0,0.0,0.0,0.0
