cell_id,Clibanornis rubiginosus,Clibanornis rubiginosus [rubiginosus Group],Clibanornis rubiginosus [nigricauda Group],Clibanornis rubiginosus cinnamomeigula,Clibanornis rubiginosus [obscurus Group],Clibanornis rubiginosus watkinsi
844520dffffffff,54.0,5.0,0.0,0.0,0.0,0.0
8445241ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8445243ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8445247ffffffff,64.0,0.0,0.0,0.0,0.0,0.0
844524bffffffff,32.0,0.0,0.0,0.0,0.0,0.0
8445251ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8445253ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
844525bffffffff,36.0,13.0,0.0,0.0,0.0,0.0
844525dffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8445269ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
844526bffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8445343ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8445351ffffffff,92.0,0.0,0.0,0.0,0.0,0.0
8445363ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8445365ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8449945ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8449963ffffffff,34.0,7.0,0.0,0.0,0.0,0.0
8449969ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
844996bffffffff,18.0,4.0,0.0,0.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8449b19ffffffff,47.0,0.0,0.0,0.0,0.0,0.0
8449b1dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8449b53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8449b57ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
845f00bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
845f759ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8466089ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846608dffffffff,48.0,0.0,0.0,0.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84660a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466129ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466131ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8466139ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466191ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8466193ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466199ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846619dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84661adffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,384.0,0.0,0.0,0.0,0.0,0.0
84661b3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84661b7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84661b9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84661bbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84661bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84661c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84661cdffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84661d1ffffffff,47.0,0.0,0.0,0.0,0.0,0.0
84661ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846656dffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84666a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466b43ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466b51ffffffff,101.0,0.0,0.0,0.0,0.0,0.0
8466b53ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466b55ffffffff,548.0,0.0,0.0,0.0,0.0,0.0
8466b57ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466b5bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466b5dffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8466d03ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466d07ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8466d0bffffffff,102.0,0.0,0.0,0.0,0.0,0.0
8466d23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466d31ffffffff,151.0,0.0,14.0,0.0,0.0,0.0
