cell_id,Tyto furcata,Tyto furcata [tuidara Group],Tyto furcata furcata,Tyto furcata bargei,Tyto furcata nigrescens/insularis,Tyto furcata punctatissima
8212dffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,19.0,2.0,0.0,0.0,0.0,0.0
822617fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,15.0,4.0,0.0,0.0,0.0,0.0
822647fffffffff,192.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,258.0,1.0,0.0,0.0,0.0,0.0
822657fffffffff,114.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,95.0,5.0,0.0,0.0,0.0,0.0
82266ffffffffff,54.0,2.0,0.0,0.0,0.0,0.0
822687fffffffff,95.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,577.0,1.0,0.0,0.0,0.0,0.0
822697fffffffff,1531.0,427.0,0.0,0.0,0.0,0.0
82269ffffffffff,62.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,738.0,8.0,0.0,0.0,0.0,0.0
8226b7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,56.0,4.0,0.0,0.0,0.0,0.0
8226cffffffffff,323.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,387.0,7.0,0.0,0.0,0.0,0.0
8226dffffffffff,203.0,33.0,0.0,0.0,0.0,0.0
8226e7fffffffff,451.0,3.0,0.0,0.0,0.0,0.0
8226effffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,384.0,6.0,0.0,0.0,0.0,0.0
82279ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,701.0,64.0,0.0,0.0,0.0,0.0
822817fffffffff,687.0,15.0,0.0,0.0,0.0,0.0
82281ffffffffff,715.0,41.0,0.0,0.0,0.0,0.0
822837fffffffff,9455.0,389.0,0.0,0.0,0.0,0.0
822887fffffffff,510.0,75.0,0.0,0.0,0.0,0.0
82288ffffffffff,1251.0,116.0,0.0,0.0,0.0,0.0
822897fffffffff,34.0,1.0,0.0,0.0,0.0,0.0
82289ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8228a7fffffffff,16.0,2.0,0.0,0.0,0.0,0.0
8228affffffffff,268.0,7.0,0.0,0.0,0.0,0.0
8228b7fffffffff,568.0,70.0,0.0,0.0,0.0,0.0
8228c7fffffffff,92.0,2.0,0.0,0.0,0.0,0.0
8228d7fffffffff,1837.0,83.0,0.0,0.0,0.0,0.0
8228dffffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,984.0,38.0,0.0,0.0,0.0,0.0
822917fffffffff,734.0,24.0,0.0,0.0,0.0,0.0
82291ffffffffff,258.0,106.0,0.0,0.0,0.0,0.0
822987fffffffff,167.0,4.0,0.0,0.0,0.0,0.0
82298ffffffffff,544.0,20.0,0.0,0.0,0.0,0.0
822997fffffffff,102.0,4.0,0.0,0.0,0.0,0.0
82299ffffffffff,7.0,1.0,0.0,0.0,0.0,0.0
8229a7fffffffff,5566.0,215.0,0.0,0.0,0.0,0.0
8229affffffffff,2800.0,352.0,0.0,0.0,0.0,0.0
8229b7fffffffff,316.0,66.0,0.0,0.0,0.0,0.0
822a07fffffffff,192.0,0.0,0.0,0.0,0.0,0.0
