cell_id,Phibalura flavirostris,Phibalura flavirostris boliviana,Phibalura flavirostris flavirostris
838b74fffffffff,47.0,37.0,0.0
83a805fffffffff,2.0,0.0,0.0
83a806fffffffff,151.0,0.0,32.0
83a810fffffffff,6.0,0.0,0.0
83a812fffffffff,95.0,0.0,4.0
83a813fffffffff,3.0,0.0,1.0
83a815fffffffff,3.0,0.0,0.0
83a822fffffffff,2.0,0.0,0.0
83a824fffffffff,2.0,0.0,0.0
83a826fffffffff,2.0,0.0,0.0
83a880fffffffff,1.0,0.0,0.0
83a881fffffffff,80.0,0.0,2.0
83a882fffffffff,50.0,0.0,2.0
83a884fffffffff,17.0,0.0,0.0
83a886fffffffff,1.0,0.0,0.0
83a895fffffffff,1.0,0.0,0.0
83a8a1fffffffff,153.0,0.0,9.0
83a8a2fffffffff,165.0,0.0,15.0
83a8a3fffffffff,17.0,0.0,0.0
83a8aafffffffff,1.0,0.0,0.0
83a8acfffffffff,41.0,0.0,10.0
83a8aefffffffff,3.0,0.0,0.0
83a90efffffffff,12.0,0.0,2.0
83a91dfffffffff,12.0,0.0,0.0
