cell_id,Geospizopsis unicolor,Geospizopsis unicolor nivaria/geospizopsis,Geospizopsis unicolor inca,Geospizopsis unicolor [unicolor Group]
836608fffffffff,40.0,0.0,0.0,0.0
836609fffffffff,45.0,0.0,0.0,0.0
83660bfffffffff,82.0,0.0,0.0,0.0
83660cfffffffff,58.0,0.0,0.0,0.0
83660dfffffffff,12.0,0.0,0.0,0.0
836623fffffffff,107.0,0.0,0.0,0.0
836629fffffffff,151.0,0.0,0.0,0.0
83662bfffffffff,10.0,0.0,0.0,0.0
8366c6fffffffff,25.0,0.0,0.0,0.0
8366d1fffffffff,30.0,0.0,0.0,0.0
8366d3fffffffff,268.0,0.0,0.0,0.0
8366dafffffffff,7.0,0.0,0.0,0.0
8366defffffffff,3624.0,0.0,0.0,0.0
8366e0fffffffff,817.0,0.0,0.0,0.0
8366e2fffffffff,3.0,0.0,0.0,0.0
8366e4fffffffff,426.0,0.0,0.0,0.0
8366e5fffffffff,185.0,0.0,0.0,0.0
8366e6fffffffff,2557.0,0.0,0.0,0.0
8366f1fffffffff,11.0,0.0,0.0,0.0
8366f5fffffffff,4.0,0.0,0.0,0.0
83675afffffffff,10.0,0.0,0.0,0.0
838b21fffffffff,16.0,0.0,0.0,0.0
838b25fffffffff,13.0,0.0,0.0,0.0
838b2cfffffffff,131.0,0.0,0.0,0.0
838b60fffffffff,39.0,0.0,0.0,0.0
838b61fffffffff,903.0,0.0,0.0,0.0
838b64fffffffff,2.0,0.0,0.0,0.0
838b66fffffffff,4.0,0.0,0.0,0.0
838b6cfffffffff,153.0,0.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0,0.0
838e60fffffffff,113.0,0.0,0.0,0.0
838e61fffffffff,31.0,0.0,0.0,0.0
838e62fffffffff,9.0,0.0,0.0,0.0
838e63fffffffff,3.0,0.0,0.0,0.0
838e64fffffffff,47.0,0.0,0.0,0.0
838e65fffffffff,63.0,0.0,0.0,0.0
838e66fffffffff,369.0,0.0,0.0,0.0
838e68fffffffff,7.0,0.0,0.0,0.0
838e69fffffffff,8.0,0.0,0.0,0.0
838e6afffffffff,4.0,0.0,0.0,0.0
838e6cfffffffff,25.0,0.0,0.0,0.0
838e6dfffffffff,147.0,0.0,0.0,0.0
838e6efffffffff,23.0,0.0,0.0,0.0
838f09fffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,2.0,0.0,0.0,0.0
838f29fffffffff,43.0,0.0,0.0,0.0
838f2dfffffffff,249.0,0.0,0.0,0.0
838f42fffffffff,21.0,0.0,0.0,0.0
838f4afffffffff,6.0,0.0,0.0,0.0
838f51fffffffff,102.0,0.0,0.0,0.0
838f54fffffffff,11.0,0.0,0.0,0.0
838f55fffffffff,62.0,0.0,0.0,0.0
838f58fffffffff,160.0,0.0,0.0,0.0
838f59fffffffff,124.0,0.0,0.0,0.0
838f5bfffffffff,12.0,0.0,0.0,0.0
838f5cfffffffff,34.0,0.0,0.0,0.0
838f5dfffffffff,6.0,0.0,0.0,0.0
838f5efffffffff,22.0,0.0,0.0,0.0
838f72fffffffff,14.0,0.0,0.0,0.0
838f76fffffffff,733.0,0.0,0.0,0.0
83b201fffffffff,6.0,0.0,0.0,0.0
83b205fffffffff,4.0,0.0,0.0,0.0
83b208fffffffff,3.0,0.0,0.0,0.0
83b209fffffffff,6.0,0.0,0.0,0.0
83b20afffffffff,42.0,0.0,0.0,0.0
83b20cfffffffff,4.0,0.0,0.0,0.0
83b20dfffffffff,4.0,0.0,0.0,0.0
83b21dfffffffff,11.0,0.0,0.0,0.0
83b221fffffffff,13.0,0.0,0.0,0.0
83b225fffffffff,2.0,0.0,0.0,0.0
83b228fffffffff,10.0,0.0,0.0,0.0
83b229fffffffff,2.0,0.0,0.0,0.0
83b22afffffffff,11.0,0.0,0.0,0.0
83b22bfffffffff,2.0,0.0,0.0,0.0
83b22cfffffffff,1.0,0.0,0.0,0.0
83b22dfffffffff,1.0,0.0,0.0,0.0
83b22efffffffff,1.0,0.0,0.0,0.0
83b242fffffffff,2.0,0.0,0.0,0.0
83b243fffffffff,2.0,0.0,0.0,0.0
83b258fffffffff,74.0,0.0,0.0,0.0
83b25cfffffffff,326.0,0.0,0.0,0.0
83b270fffffffff,4.0,0.0,0.0,0.0
83b272fffffffff,5.0,0.0,0.0,0.0
83b274fffffffff,28.0,0.0,0.0,0.0
83b2c0fffffffff,2.0,0.0,0.0,0.0
83b2c1fffffffff,21.0,0.0,0.0,0.0
83b2c4fffffffff,8.0,0.0,0.0,0.0
83b2c5fffffffff,1096.0,0.0,0.0,0.0
83b2c8fffffffff,1.0,0.0,0.0,0.0
83b2cafffffffff,73.0,0.0,0.0,0.0
