cell_id,Thectocercus acuticaudatus,Thectocercus acuticaudatus [haemorrhous Group],Thectocercus acuticaudatus acuticaudatus/neumanni
832664fffffffff,2.0,0.0,0.0
832759fffffffff,2.0,0.0,0.0
8329a1fffffffff,31.0,0.0,0.0
8329a4fffffffff,6.0,0.0,0.0
833904fffffffff,1.0,0.0,0.0
83391cfffffffff,1.0,0.0,0.0
833933fffffffff,19.0,0.0,0.0
833944fffffffff,8.0,0.0,0.0
833956fffffffff,2.0,2.0,0.0
83441afffffffff,18.0,0.0,0.0
83441efffffffff,23.0,4.0,0.0
8344a1fffffffff,89.0,3.0,0.0
8344a8fffffffff,23.0,0.0,0.0
8344abfffffffff,1.0,0.0,0.0
8344adfffffffff,3.0,0.0,0.0
8344aefffffffff,12.0,0.0,0.0
834648fffffffff,20.0,0.0,0.0
834cc5fffffffff,2.0,0.0,0.0
834ceefffffffff,2.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0
836620fffffffff,4.0,0.0,0.0
836652fffffffff,4.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0
836662fffffffff,3.0,0.0,0.0
836672fffffffff,2.0,0.0,0.0
8366ecfffffffff,6.0,0.0,0.0
836741fffffffff,3.0,0.0,0.0
836746fffffffff,17.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0
836752fffffffff,28.0,0.0,0.0
836753fffffffff,5.0,0.0,0.0
836755fffffffff,9.0,0.0,0.0
838109fffffffff,2.0,0.0,0.0
83812dfffffffff,4.0,0.0,0.0
838173fffffffff,5.0,0.0,0.0
838b20fffffffff,39.0,3.0,36.0
838b22fffffffff,6.0,0.0,5.0
838b25fffffffff,1.0,0.0,1.0
83a961fffffffff,29.0,0.0,0.0
83a96cfffffffff,23.0,0.0,0.0
83b249fffffffff,3.0,0.0,0.0
83b252fffffffff,2.0,0.0,0.0
83b25cfffffffff,8.0,0.0,0.0
83b268fffffffff,19.0,0.0,0.0
83b269fffffffff,13.0,0.0,0.0
83b26bfffffffff,19.0,0.0,0.0
83b26dfffffffff,46.0,0.0,0.0
83b32dfffffffff,2.0,0.0,2.0
83b335fffffffff,3.0,0.0,0.0
83b343fffffffff,4.0,0.0,0.0
83b34bfffffffff,1.0,0.0,1.0
83b351fffffffff,1.0,0.0,0.0
83b35efffffffff,16.0,0.0,0.0
83c2cbfffffffff,38.0,0.0,0.0
83c2e3fffffffff,2.0,0.0,0.0
83c34cfffffffff,2.0,0.0,0.0
83c36cfffffffff,2.0,0.0,0.0
83c373fffffffff,2.0,0.0,0.0
