cell_id,Apus horus,Apus horus (White-rumped),Apus horus (Brown-rumped)
84529b9ffffffff,1.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0
846ac0bffffffff,1.0,0.0,0.0
846ac15ffffffff,9.0,0.0,0.0
846ac39ffffffff,4.0,0.0,0.0
846ac3dffffffff,13.0,0.0,0.0
846ace5ffffffff,6.0,0.0,0.0
846ad81ffffffff,1.0,0.0,0.0
846ad8bffffffff,2.0,0.0,0.0
846ada9ffffffff,1.0,0.0,0.0
846adc1ffffffff,26.0,0.0,0.0
846adc9ffffffff,2.0,0.0,0.0
846adddffffffff,2.0,0.0,0.0
846ae85ffffffff,15.0,0.0,0.0
846aea1ffffffff,4.0,0.0,0.0
847a401ffffffff,5.0,0.0,0.0
847a40bffffffff,5.0,0.0,0.0
847a413ffffffff,10.0,0.0,0.0
847a41bffffffff,3.0,0.0,0.0
847a453ffffffff,2.0,0.0,0.0
847a457ffffffff,2.0,0.0,0.0
847a45bffffffff,7.0,0.0,0.0
847a489ffffffff,1.0,0.0,0.0
847a611ffffffff,2.0,0.0,0.0
847a61dffffffff,17.0,0.0,0.0
847a653ffffffff,5.0,0.0,0.0
847a681ffffffff,41.0,0.0,0.0
847a683ffffffff,33.0,0.0,0.0
847a689ffffffff,2.0,0.0,0.0
847a68bffffffff,8.0,0.0,0.0
847a69dffffffff,2.0,0.0,0.0
847a6a1ffffffff,45.0,0.0,0.0
847a6a5ffffffff,7.0,0.0,0.0
847a6adffffffff,9.0,0.0,0.0
847a6d1ffffffff,32.0,0.0,0.0
847a6d3ffffffff,1.0,0.0,0.0
847a6d5ffffffff,3.0,0.0,0.0
847a6d9ffffffff,12.0,0.0,0.0
847a6dbffffffff,4.0,0.0,0.0
847a6e1ffffffff,4.0,0.0,0.0
847a6e5ffffffff,3.0,0.0,0.0
847a6e7ffffffff,11.0,0.0,0.0
847ac81ffffffff,1.0,0.0,0.0
847ac83ffffffff,6.0,4.0,0.0
847ac87ffffffff,4.0,2.0,0.0
847ac8bffffffff,29.0,10.0,0.0
847aca3ffffffff,18.0,3.0,0.0
