cell_id,Psilopogon franklinii,Psilopogon franklinii franklinii,Psilopogon franklinii ramsayi
843c067ffffffff,3.0,0.0,0.0
843c0a5ffffffff,1.0,0.0,0.0
843c0adffffffff,2.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0
843c521ffffffff,1.0,1.0,0.0
843c525ffffffff,4.0,0.0,0.0
843c527ffffffff,2.0,2.0,0.0
843c535ffffffff,2.0,0.0,0.0
843c581ffffffff,6.0,6.0,0.0
843ce4dffffffff,19.0,0.0,0.0
843ce55ffffffff,5.0,0.0,0.0
843ce83ffffffff,2.0,2.0,0.0
843cec9ffffffff,2.0,0.0,0.0
8465005ffffffff,1.0,0.0,0.0
8465039ffffffff,16.0,0.0,0.0
8465055ffffffff,5.0,0.0,0.0
84651c1ffffffff,4.0,0.0,4.0
