cell_id,Menelikornis leucotis,Menelikornis leucotis leucotis,Menelikornis leucotis donaldsoni
845280dffffffff,1.0,0.0,0.0
8452825ffffffff,1.0,0.0,0.0
8452863ffffffff,3.0,0.0,0.0
8452867ffffffff,7.0,0.0,0.0
845291bffffffff,8.0,0.0,0.0
84529b5ffffffff,26.0,0.0,0.0
84529b9ffffffff,70.0,0.0,0.0
846a49bffffffff,3.0,0.0,0.0
846a49dffffffff,2.0,0.0,0.0
846a4bbffffffff,1.0,0.0,0.0
846a4c3ffffffff,1.0,0.0,0.0
846a613ffffffff,1.0,0.0,0.0
846a619ffffffff,4.0,0.0,0.0
846a697ffffffff,5.0,0.0,0.0
846a69bffffffff,2.0,0.0,0.0
847ac15ffffffff,4.0,0.0,0.0
847ac81ffffffff,145.0,0.0,0.0
847ac8bffffffff,2.0,0.0,0.0
847ac93ffffffff,2.0,0.0,0.0
847ac97ffffffff,2.0,0.0,0.0
847aca3ffffffff,2.0,0.0,0.0
847acabffffffff,1.0,0.0,0.0
847acb3ffffffff,4.0,0.0,0.0
847acc5ffffffff,41.0,0.0,0.0
847accbffffffff,5.0,0.0,0.0
847accdffffffff,76.0,0.0,0.0
847acd1ffffffff,7.0,0.0,0.0
847acd5ffffffff,93.0,0.0,0.0
847acd7ffffffff,3.0,0.0,0.0
847acd9ffffffff,4.0,0.0,0.0
847ace9ffffffff,2.0,0.0,0.0
847ad93ffffffff,5.0,0.0,0.0
847ad9dffffffff,1.0,0.0,0.0
847ae85ffffffff,2.0,0.0,0.0
847ae87ffffffff,3.0,0.0,0.0
847ae97ffffffff,4.0,0.0,0.0
847ae9bffffffff,5.0,0.0,0.0
847aea7ffffffff,1.0,0.0,0.0
847aeabffffffff,2.0,0.0,0.0
847aeb1ffffffff,1.0,0.0,0.0
847aeb3ffffffff,1.0,0.0,0.0
847aebdffffffff,3.0,0.0,0.0
