cell_id,Sitta europaea,Sitta europaea [europaea Group],Sitta europaea [asiatica Group],Sitta europaea [roseilia Group],Sitta europaea sinensis/formosana
820807fffffffff,9.0,0.0,0.0,0.0,0.0
820817fffffffff,66.0,2.0,0.0,0.0,0.0
82081ffffffffff,6.0,0.0,0.0,0.0,0.0
820837fffffffff,27.0,4.0,0.0,0.0,0.0
820887fffffffff,1066.0,0.0,1.0,0.0,0.0
82088ffffffffff,1.0,0.0,0.0,0.0,0.0
820897fffffffff,107.0,0.0,0.0,0.0,0.0
82089ffffffffff,191.0,17.0,0.0,0.0,0.0
8208a7fffffffff,127.0,17.0,0.0,0.0,0.0
8208affffffffff,5.0,0.0,0.0,0.0,0.0
8208b7fffffffff,296.0,0.0,0.0,0.0,0.0
8208effffffffff,2.0,0.0,0.0,0.0,0.0
8208f7fffffffff,26.0,0.0,0.0,0.0,0.0
82095ffffffffff,2.0,0.0,0.0,0.0,0.0
820987fffffffff,84.0,9.0,0.0,0.0,0.0
82098ffffffffff,43.0,12.0,0.0,0.0,0.0
820997fffffffff,79.0,8.0,0.0,0.0,0.0
82099ffffffffff,368.0,42.0,0.0,0.0,0.0
8209affffffffff,4.0,0.0,0.0,0.0,0.0
820b97fffffffff,2.0,0.0,0.0,0.0,0.0
820b9ffffffffff,4.0,0.0,0.0,0.0,0.0
820bb7fffffffff,7.0,0.0,1.0,0.0,0.0
821017fffffffff,2.0,0.0,0.0,0.0,0.0
821087fffffffff,1.0,1.0,0.0,0.0,0.0
8210a7fffffffff,3.0,0.0,0.0,0.0,0.0
8210affffffffff,5.0,3.0,0.0,0.0,0.0
8210b7fffffffff,6.0,0.0,0.0,0.0,0.0
8210c7fffffffff,145.0,0.0,0.0,0.0,0.0
8210dffffffffff,14.0,0.0,0.0,0.0,0.0
8210effffffffff,22.0,0.0,5.0,0.0,0.0
8210f7fffffffff,10.0,0.0,2.0,0.0,0.0
821107fffffffff,305.0,1.0,0.0,0.0,0.0
821117fffffffff,16.0,0.0,0.0,0.0,0.0
821127fffffffff,13.0,0.0,0.0,0.0,0.0
821137fffffffff,186.0,1.0,0.0,0.0,0.0
821187fffffffff,193.0,20.0,0.0,0.0,0.0
82118ffffffffff,171.0,10.0,0.0,0.0,0.0
82119ffffffffff,17.0,0.0,0.0,0.0,0.0
8211a7fffffffff,12.0,0.0,0.0,0.0,0.0
8211affffffffff,1097.0,59.0,0.0,0.0,0.0
8211b7fffffffff,14.0,0.0,0.0,0.0,0.0
821487fffffffff,1.0,0.0,0.0,0.0,0.0
82148ffffffffff,19.0,0.0,0.0,0.0,0.0
821497fffffffff,3.0,0.0,0.0,0.0,0.0
82149ffffffffff,33.0,0.0,0.0,0.0,0.0
8214affffffffff,65.0,0.0,0.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0,0.0,0.0
82158ffffffffff,7.0,0.0,0.0,0.0,0.0
82159ffffffffff,25.0,0.0,1.0,1.0,0.0
821617fffffffff,44.0,0.0,0.0,0.0,0.0
821637fffffffff,4.0,0.0,0.0,0.0,0.0
821717fffffffff,2.0,0.0,0.0,0.0,0.0
82171ffffffffff,10.0,0.0,0.0,0.0,0.0
82178ffffffffff,2.0,0.0,0.0,0.0,0.0
82182ffffffffff,18.0,2.0,0.0,0.0,0.0
821847fffffffff,94.0,8.0,0.0,0.0,0.0
82184ffffffffff,2209.0,13.0,0.0,0.0,0.0
82185ffffffffff,93.0,0.0,0.0,0.0,0.0
821867fffffffff,85.0,5.0,0.0,0.0,0.0
82186ffffffffff,303.0,22.0,0.0,0.0,0.0
821877fffffffff,82.0,7.0,0.0,0.0,0.0
82190ffffffffff,108.0,1.0,0.0,0.0,0.0
821947fffffffff,3140.0,690.0,0.0,0.0,0.0
82194ffffffffff,1731.0,129.0,0.0,0.0,0.0
821957fffffffff,918.0,181.0,0.0,0.0,0.0
82195ffffffffff,3342.0,237.0,0.0,0.0,0.0
82196ffffffffff,932.0,9.0,0.0,0.0,0.0
821977fffffffff,305.0,18.0,0.0,0.0,0.0
821e07fffffffff,3427.0,147.0,0.0,0.0,0.0
821e0ffffffffff,634.0,16.0,0.0,0.0,0.0
821e17fffffffff,1184.0,30.0,0.0,0.0,0.0
821e1ffffffffff,427.0,10.0,0.0,0.0,0.0
821e27fffffffff,1028.0,13.0,0.0,0.0,0.0
821e2ffffffffff,278.0,0.0,0.0,0.0,0.0
821e37fffffffff,5068.0,26.0,0.0,0.0,0.0
821e47fffffffff,78.0,0.0,0.0,0.0,0.0
821e57fffffffff,181.0,0.0,0.0,0.0,0.0
821e5ffffffffff,21.0,0.0,0.0,0.0,0.0
821e67fffffffff,183.0,0.0,0.0,0.0,0.0
821e6ffffffffff,106.0,0.0,0.0,0.0,0.0
821e77fffffffff,64.0,0.0,0.0,0.0,0.0
821e87fffffffff,96.0,0.0,0.0,0.0,0.0
821e8ffffffffff,12.0,0.0,0.0,0.0,0.0
821e9ffffffffff,9.0,0.0,0.0,0.0,0.0
821ea7fffffffff,110.0,0.0,0.0,0.0,0.0
821eaffffffffff,177.0,6.0,0.0,0.0,0.0
821eb7fffffffff,14.0,0.0,0.0,0.0,0.0
821ec7fffffffff,1145.0,58.0,0.0,0.0,0.0
821ecffffffffff,635.0,22.0,0.0,0.0,0.0
821ed7fffffffff,139.0,0.0,0.0,0.0,0.0
821edffffffffff,102.0,2.0,0.0,0.0,0.0
821ee7fffffffff,75.0,0.0,0.0,0.0,0.0
821eeffffffffff,182.0,29.0,0.0,0.0,0.0
821ef7fffffffff,247.0,0.0,0.0,0.0,0.0
821f07fffffffff,634.0,88.0,0.0,0.0,0.0
821f0ffffffffff,122.0,0.0,0.0,0.0,0.0
821f17fffffffff,1102.0,20.0,0.0,0.0,0.0
821f1ffffffffff,2507.0,67.0,0.0,0.0,0.0
821f27fffffffff,290.0,45.0,0.0,0.0,0.0
821f2ffffffffff,551.0,5.0,0.0,0.0,0.0
821f37fffffffff,66.0,23.0,0.0,0.0,0.0
821f47fffffffff,108.0,0.0,0.0,0.0,0.0
821f4ffffffffff,93.0,0.0,0.0,0.0,0.0
821f57fffffffff,254.0,0.0,0.0,0.0,0.0
821f5ffffffffff,297.0,26.0,0.0,0.0,0.0
821f67fffffffff,149.0,4.0,0.0,0.0,0.0
821f6ffffffffff,36.0,0.0,0.0,0.0,0.0
821f77fffffffff,157.0,4.0,0.0,0.0,0.0
821f87fffffffff,2062.0,148.0,0.0,0.0,0.0
821f8ffffffffff,2437.0,666.0,0.0,0.0,0.0
821f97fffffffff,380.0,101.0,0.0,0.0,0.0
821f9ffffffffff,556.0,61.0,0.0,0.0,0.0
821fa7fffffffff,1403.0,59.0,0.0,0.0,0.0
821faffffffffff,2702.0,18.0,0.0,0.0,0.0
821fb7fffffffff,549.0,34.0,0.0,0.0,0.0
822047fffffffff,3.0,0.0,0.0,0.0,0.0
82204ffffffffff,15.0,0.0,6.0,0.0,0.0
82206ffffffffff,16.0,0.0,9.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0,0.0,0.0
822127fffffffff,3.0,0.0,0.0,0.0,0.0
822407fffffffff,7.0,0.0,0.0,0.0,0.0
822427fffffffff,31.0,0.0,0.0,0.0,0.0
82242ffffffffff,11.0,0.0,0.0,0.0,0.0
822467fffffffff,12.0,0.0,0.0,0.0,0.0
822507fffffffff,2.0,0.0,0.0,0.0,0.0
82250ffffffffff,3.0,0.0,0.0,0.0,0.0
822517fffffffff,8.0,0.0,0.0,0.0,0.0
82251ffffffffff,1.0,0.0,0.0,0.0,0.0
822537fffffffff,1.0,0.0,0.0,0.0,0.0
822547fffffffff,44.0,0.0,26.0,0.0,0.0
822557fffffffff,2.0,0.0,0.0,0.0,0.0
82255ffffffffff,233.0,0.0,0.0,0.0,0.0
822577fffffffff,35.0,0.0,2.0,0.0,0.0
8225affffffffff,2.0,0.0,0.0,0.0,0.0
8225b7fffffffff,21.0,0.0,0.0,0.0,0.0
822c07fffffffff,47.0,0.0,0.0,0.0,0.0
822c0ffffffffff,28.0,0.0,0.0,0.0,0.0
822c17fffffffff,30.0,0.0,0.0,0.0,0.0
822c1ffffffffff,47.0,2.0,0.0,0.0,0.0
822c27fffffffff,41.0,9.0,0.0,0.0,0.0
822c2ffffffffff,172.0,0.0,0.0,0.0,0.0
822c37fffffffff,1.0,0.0,0.0,0.0,0.0
822c87fffffffff,2.0,0.0,0.0,0.0,0.0
822c8ffffffffff,3.0,0.0,0.0,0.0,0.0
822caffffffffff,83.0,5.0,0.0,0.0,0.0
822cc7fffffffff,159.0,4.0,0.0,0.0,0.0
822ccffffffffff,42.0,3.0,0.0,0.0,0.0
822cd7fffffffff,2.0,2.0,0.0,0.0,0.0
822cf7fffffffff,35.0,0.0,0.0,0.0,0.0
822d07fffffffff,45.0,0.0,0.0,0.0,0.0
822d17fffffffff,15.0,2.0,0.0,0.0,0.0
822d1ffffffffff,41.0,0.0,0.0,0.0,0.0
822d27fffffffff,8.0,0.0,0.0,0.0,0.0
822d37fffffffff,197.0,2.0,0.0,0.0,0.0
822d57fffffffff,12.0,0.0,0.0,0.0,0.0
822d67fffffffff,48.0,0.0,0.0,0.0,0.0
822d77fffffffff,11.0,0.0,0.0,0.0,0.0
822da7fffffffff,2.0,0.0,0.0,0.0,0.0
822daffffffffff,16.0,0.0,0.0,0.0,0.0
822e0ffffffffff,4.0,0.0,0.0,1.0,0.0
822e17fffffffff,198.0,0.0,62.0,0.0,0.0
822e1ffffffffff,115.0,0.0,10.0,0.0,0.0
822e67fffffffff,14.0,0.0,0.0,0.0,0.0
822e6ffffffffff,19.0,0.0,0.0,0.0,0.0
822e77fffffffff,402.0,0.0,0.0,88.0,0.0
822e8ffffffffff,18.0,0.0,0.0,0.0,0.0
822eaffffffffff,379.0,0.0,115.0,0.0,0.0
822ec7fffffffff,13.0,0.0,13.0,0.0,0.0
822ecffffffffff,25.0,0.0,2.0,0.0,0.0
822ed7fffffffff,5.0,0.0,5.0,0.0,0.0
822edffffffffff,6.0,0.0,3.0,0.0,0.0
822eeffffffffff,1.0,0.0,0.0,0.0,0.0
822ef7fffffffff,4.0,0.0,0.0,0.0,0.0
822f5ffffffffff,32.0,0.0,0.0,10.0,0.0
823027fffffffff,10.0,0.0,0.0,0.0,0.0
82302ffffffffff,4.0,0.0,0.0,0.0,0.0
823037fffffffff,1.0,0.0,0.0,0.0,0.0
8230c7fffffffff,55.0,0.0,0.0,11.0,0.0
8230dffffffffff,1.0,0.0,0.0,0.0,0.0
8230e7fffffffff,414.0,0.0,0.0,20.0,0.0
8230effffffffff,26.0,0.0,0.0,0.0,0.0
823127fffffffff,3.0,0.0,0.0,0.0,0.0
823147fffffffff,6.0,0.0,0.0,0.0,0.0
823157fffffffff,8.0,0.0,0.0,0.0,0.0
82315ffffffffff,3.0,0.0,0.0,0.0,0.0
82316ffffffffff,141.0,0.0,6.0,0.0,0.0
823177fffffffff,7.0,0.0,0.0,0.0,0.0
823187fffffffff,206.0,0.0,0.0,6.0,0.0
823197fffffffff,15.0,0.0,0.0,0.0,0.0
8231a7fffffffff,1.0,0.0,0.0,0.0,0.0
8231affffffffff,103.0,0.0,0.0,0.0,0.0
823817fffffffff,1.0,0.0,0.0,0.0,0.0
823827fffffffff,75.0,0.0,0.0,0.0,0.0
823837fffffffff,226.0,34.0,0.0,0.0,0.0
823907fffffffff,6199.0,30.0,0.0,0.0,0.0
82390ffffffffff,1866.0,9.0,0.0,0.0,0.0
823917fffffffff,2217.0,13.0,0.0,0.0,0.0
82391ffffffffff,1562.0,10.0,0.0,0.0,0.0
823927fffffffff,1728.0,10.0,0.0,0.0,0.0
82392ffffffffff,5021.0,45.0,0.0,0.0,0.0
823937fffffffff,556.0,2.0,0.0,0.0,0.0
823947fffffffff,409.0,0.0,0.0,0.0,0.0
823957fffffffff,7.0,0.0,0.0,0.0,0.0
823967fffffffff,808.0,15.0,0.0,0.0,0.0
82396ffffffffff,197.0,18.0,0.0,0.0,0.0
823977fffffffff,1418.0,13.0,0.0,0.0,0.0
823987fffffffff,7.0,0.0,0.0,0.0,0.0
82398ffffffffff,6.0,0.0,0.0,0.0,0.0
8239affffffffff,2.0,2.0,0.0,0.0,0.0
823f27fffffffff,6.0,0.0,0.0,0.0,0.0
823f2ffffffffff,25.0,0.0,0.0,0.0,0.0
823f37fffffffff,5.0,0.0,0.0,0.0,0.0
823f47fffffffff,3.0,0.0,0.0,0.0,0.0
823f67fffffffff,71.0,0.0,0.0,0.0,0.0
823f6ffffffffff,69.0,4.0,0.0,0.0,0.0
82405ffffffffff,1.0,0.0,0.0,0.0,1.0
82408ffffffffff,25.0,0.0,0.0,0.0,3.0
8240affffffffff,16.0,0.0,0.0,0.0,1.0
8240c7fffffffff,69.0,0.0,0.0,0.0,28.0
8240e7fffffffff,25.0,0.0,0.0,0.0,12.0
8240effffffffff,61.0,0.0,0.0,0.0,24.0
824187fffffffff,7.0,0.0,0.0,0.0,0.0
824307fffffffff,2.0,0.0,0.0,0.0,0.0
82431ffffffffff,5.0,0.0,0.0,0.0,0.0
824327fffffffff,18.0,0.0,0.0,0.0,0.0
824b67fffffffff,10.0,0.0,0.0,3.0,0.0
824b77fffffffff,74.0,0.0,0.0,35.0,0.0
824b87fffffffff,4.0,0.0,0.0,0.0,0.0
824ba7fffffffff,4044.0,0.0,0.0,0.0,409.0
824bb7fffffffff,33.0,0.0,0.0,0.0,4.0
