cell_id,Terpsiphone mutata,Terpsiphone mutata [mutata Group],Terpsiphone mutata vulpina/voeltzkowiana,Terpsiphone mutata comorensis
84a231bffffffff,1.0,1.0,0.0,0.0
84a319dffffffff,1.0,1.0,0.0,0.0
