cell_id,Ficedula superciliaris,Ficedula superciliaris superciliaris,Ficedula superciliaris aestigma
82209ffffffffff,11.0,0.0,0.0
823c07fffffffff,105.0,0.0,0.0
823c0ffffffffff,264.0,0.0,0.0
823c17fffffffff,1.0,0.0,0.0
823c1ffffffffff,82.0,0.0,0.0
823c37fffffffff,22.0,0.0,0.0
823c57fffffffff,165.0,0.0,0.0
823c87fffffffff,6.0,0.0,0.0
823c8ffffffffff,5.0,0.0,0.0
823c97fffffffff,120.0,0.0,0.0
823c9ffffffffff,1.0,0.0,0.0
823ca7fffffffff,23.0,0.0,0.0
823cb7fffffffff,346.0,0.0,0.0
823ccffffffffff,1.0,0.0,0.0
823cdffffffffff,3.0,0.0,0.0
823ce7fffffffff,109.0,0.0,0.0
823d17fffffffff,1239.0,0.0,0.0
823d1ffffffffff,582.0,0.0,0.0
823d37fffffffff,264.0,0.0,0.0
823d87fffffffff,17.0,0.0,0.0
823d97fffffffff,38.0,0.0,0.0
823d9ffffffffff,312.0,0.0,0.0
823da7fffffffff,2.0,0.0,0.0
823daffffffffff,1523.0,0.0,0.0
823db7fffffffff,12.0,0.0,0.0
824047fffffffff,11.0,0.0,0.0
82404ffffffffff,2.0,0.0,0.0
82405ffffffffff,2.0,0.0,0.0
8240effffffffff,9.0,0.0,0.0
82426ffffffffff,5.0,0.0,0.0
8242c7fffffffff,11.0,0.0,0.0
8242cffffffffff,50.0,0.0,0.0
8242dffffffffff,13.0,0.0,0.0
8242effffffffff,17.0,0.0,0.0
826017fffffffff,183.0,0.0,0.0
82608ffffffffff,259.0,0.0,0.0
826097fffffffff,313.0,0.0,0.0
82609ffffffffff,32.0,0.0,0.0
8260a7fffffffff,45.0,0.0,0.0
8260b7fffffffff,33.0,0.0,0.0
826487fffffffff,39.0,0.0,0.0
826497fffffffff,357.0,0.0,0.0
82649ffffffffff,2.0,0.0,0.0
