cell_id,Pyrrhula nipalensis,Pyrrhula nipalensis [nipalensis Group],Pyrrhula nipalensis waterstradti
843c029ffffffff,24.0,0.0,0.0
843c02dffffffff,35.0,0.0,0.0
843c063ffffffff,3.0,0.0,0.0
843c067ffffffff,4.0,0.0,0.0
843c0a3ffffffff,3.0,0.0,0.0
843c0a5ffffffff,123.0,1.0,0.0
843c0adffffffff,14.0,0.0,0.0
843c0b5ffffffff,26.0,0.0,0.0
843c0b7ffffffff,3.0,0.0,0.0
843c1d1ffffffff,5.0,0.0,0.0
843c1d3ffffffff,27.0,2.0,0.0
843c1dbffffffff,4.0,1.0,0.0
843c423ffffffff,1.0,0.0,0.0
843c521ffffffff,33.0,0.0,0.0
843c525ffffffff,10.0,0.0,0.0
843c527ffffffff,142.0,0.0,0.0
843c52dffffffff,5.0,0.0,0.0
843c533ffffffff,2.0,0.0,0.0
843c581ffffffff,23.0,0.0,0.0
843c595ffffffff,10.0,0.0,0.0
843c5c7ffffffff,1.0,0.0,0.0
843cd8bffffffff,7.0,1.0,0.0
843ce59ffffffff,11.0,0.0,0.0
843ce5bffffffff,4.0,0.0,0.0
843ce5dffffffff,1.0,0.0,0.0
843ce95ffffffff,6.0,0.0,0.0
843d103ffffffff,9.0,0.0,0.0
843d115ffffffff,1.0,0.0,0.0
843d11dffffffff,1.0,0.0,0.0
843d133ffffffff,2.0,0.0,0.0
843d139ffffffff,7.0,0.0,0.0
843d1a9ffffffff,15.0,0.0,0.0
843d1e7ffffffff,5.0,0.0,0.0
843d1e9ffffffff,1.0,0.0,0.0
843d1edffffffff,4.0,0.0,0.0
843dad1ffffffff,92.0,0.0,0.0
8440439ffffffff,2.0,0.0,0.0
8440447ffffffff,5.0,0.0,0.0
84404c5ffffffff,23.0,0.0,0.0
84405ddffffffff,2.0,0.0,0.0
8440ac5ffffffff,8.0,0.0,0.0
8440c19ffffffff,2.0,0.0,0.0
8440c4bffffffff,1.0,0.0,0.0
8440e11ffffffff,3.0,0.0,0.0
8440e13ffffffff,37.0,0.0,0.0
8440e5bffffffff,3.0,0.0,0.0
8440eebffffffff,4.0,0.0,0.0
8440eedffffffff,2.0,0.0,0.0
844180dffffffff,1.0,0.0,0.0
8441863ffffffff,2.0,0.0,0.0
8441b31ffffffff,7.0,1.0,0.0
8441b35ffffffff,2.0,0.0,0.0
8441b37ffffffff,4.0,0.0,0.0
844ba01ffffffff,73.0,5.0,0.0
844ba03ffffffff,156.0,0.0,0.0
844ba05ffffffff,218.0,30.0,0.0
844ba07ffffffff,259.0,2.0,0.0
844ba21ffffffff,247.0,53.0,0.0
844ba23ffffffff,4.0,0.0,0.0
844ba25ffffffff,13.0,0.0,0.0
844ba27ffffffff,463.0,23.0,0.0
844ba2bffffffff,802.0,13.0,0.0
844ba39ffffffff,3.0,0.0,0.0
844ba3dffffffff,33.0,1.0,0.0
844bb13ffffffff,2.0,0.0,0.0
844bb1bffffffff,26.0,0.0,0.0
8465b67ffffffff,2.0,0.0,0.0
