cell_id,Corvus macrorhynchos,Corvus macrorhynchos [macrorhynchos Group],Corvus macrorhynchos culminatus,Corvus macrorhynchos levaillantii
82208ffffffffff,1.0,0.0,0.0,0.0
82209ffffffffff,87.0,3.0,0.0,0.0
8224c7fffffffff,2.0,2.0,0.0,0.0
822e6ffffffffff,2.0,0.0,0.0,0.0
82309ffffffffff,7.0,2.0,0.0,0.0
823117fffffffff,2.0,2.0,0.0,0.0
823c07fffffffff,6.0,0.0,0.0,0.0
823c0ffffffffff,4.0,2.0,0.0,0.0
823c17fffffffff,3.0,0.0,3.0,0.0
823c1ffffffffff,124.0,11.0,18.0,20.0
823c37fffffffff,4.0,0.0,2.0,0.0
823c57fffffffff,41.0,10.0,6.0,25.0
823c5ffffffffff,183.0,32.0,4.0,144.0
823c87fffffffff,100.0,0.0,100.0,0.0
823c8ffffffffff,121.0,0.0,119.0,2.0
823c97fffffffff,90.0,0.0,90.0,0.0
823c9ffffffffff,45.0,0.0,45.0,0.0
823caffffffffff,8.0,0.0,6.0,0.0
823cb7fffffffff,41.0,2.0,39.0,0.0
823cc7fffffffff,62.0,0.0,0.0,62.0
823ccffffffffff,18.0,1.0,0.0,17.0
823ce7fffffffff,114.0,5.0,3.0,101.0
823ceffffffffff,99.0,0.0,6.0,93.0
823cf7fffffffff,90.0,3.0,36.0,0.0
823d17fffffffff,2765.0,293.0,2472.0,0.0
823d1ffffffffff,86.0,86.0,0.0,0.0
823d27fffffffff,4.0,0.0,0.0,0.0
823d37fffffffff,77.0,69.0,2.0,0.0
823d87fffffffff,319.0,0.0,303.0,0.0
823d97fffffffff,4.0,0.0,2.0,0.0
823d9ffffffffff,35.0,0.0,20.0,0.0
823da7fffffffff,76.0,0.0,67.0,0.0
823daffffffffff,901.0,373.0,528.0,0.0
823db7fffffffff,34.0,0.0,29.0,0.0
82404ffffffffff,12.0,0.0,4.0,6.0
82408ffffffffff,3.0,3.0,0.0,0.0
8240dffffffffff,2.0,2.0,0.0,0.0
824107fffffffff,2.0,0.0,0.0,0.0
824147fffffffff,3.0,3.0,0.0,0.0
82414ffffffffff,5.0,0.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0,0.0
824197fffffffff,4.0,2.0,0.0,0.0
8241a7fffffffff,85.0,24.0,0.0,0.0
8241b7fffffffff,11.0,2.0,0.0,0.0
8242c7fffffffff,31.0,0.0,14.0,0.0
8242cffffffffff,41.0,0.0,0.0,0.0
8242dffffffffff,10.0,0.0,4.0,0.0
8242effffffffff,23.0,0.0,20.0,0.0
824b77fffffffff,1.0,1.0,0.0,0.0
824ba7fffffffff,107.0,3.0,0.0,0.0
826007fffffffff,85.0,0.0,8.0,0.0
826017fffffffff,1268.0,0.0,1244.0,0.0
82601ffffffffff,120.0,0.0,118.0,0.0
826027fffffffff,98.0,0.0,18.0,0.0
826037fffffffff,158.0,2.0,33.0,0.0
826087fffffffff,89.0,0.0,89.0,0.0
82608ffffffffff,2670.0,0.0,2610.0,0.0
826097fffffffff,51.0,0.0,50.0,0.0
82609ffffffffff,29.0,0.0,29.0,0.0
8260a7fffffffff,12.0,0.0,8.0,0.0
8260affffffffff,304.0,1.0,205.0,0.0
8260b7fffffffff,9.0,0.0,3.0,0.0
8260f7fffffffff,5.0,0.0,5.0,0.0
826107fffffffff,3.0,0.0,1.0,0.0
82618ffffffffff,118.0,0.0,83.0,0.0
82619ffffffffff,23.0,0.0,18.0,0.0
82640ffffffffff,65.0,0.0,11.0,54.0
8264a7fffffffff,5.0,0.0,0.0,0.0
8264b7fffffffff,2.0,0.0,0.0,0.0
8264e7fffffffff,20.0,0.0,0.0,18.0
826507fffffffff,359.0,54.0,0.0,0.0
82650ffffffffff,6.0,0.0,0.0,0.0
82651ffffffffff,337.0,19.0,0.0,0.0
826527fffffffff,69.0,16.0,0.0,0.0
82658ffffffffff,4.0,0.0,0.0,4.0
826597fffffffff,1.0,0.0,0.0,1.0
82659ffffffffff,2.0,1.0,0.0,1.0
82955ffffffffff,3.0,0.0,0.0,0.0
8295affffffffff,1.0,0.0,0.0,0.0
