cell_id,Cisticola brunnescens,Cisticola brunnescens lynesi/mbangensis,Cisticola brunnescens [brunnescens Group]
835283fffffffff,2.0,0.0,0.0
835291fffffffff,1.0,0.0,0.0
835298fffffffff,1.0,0.0,0.0
83529bfffffffff,39.0,0.0,6.0
8358d1fffffffff,1.0,0.0,0.0
8358dcfffffffff,1.0,0.0,0.0
836a4bfffffffff,2.0,0.0,0.0
837a40fffffffff,38.0,0.0,0.0
837a41fffffffff,10.0,0.0,0.0
837a43fffffffff,1.0,0.0,0.0
837a45fffffffff,11.0,0.0,0.0
837a61fffffffff,8.0,0.0,0.0
837a63fffffffff,1.0,0.0,0.0
837a68fffffffff,382.0,0.0,0.0
837a6afffffffff,121.0,0.0,0.0
837a6dfffffffff,151.0,0.0,0.0
837a6efffffffff,260.0,0.0,0.0
837ac8fffffffff,2.0,0.0,0.0
837accfffffffff,3.0,0.0,0.0
837acdfffffffff,3.0,0.0,0.0
837ad9fffffffff,5.0,0.0,1.0
837ae8fffffffff,66.0,0.0,8.0
837ae9fffffffff,1.0,0.0,0.0
837aeafffffffff,1.0,0.0,0.0
837b4bfffffffff,1.0,0.0,0.0
838218fffffffff,1.0,0.0,0.0
8382a0fffffffff,4.0,0.0,0.0
8382a5fffffffff,4.0,0.0,0.0
8382a8fffffffff,9.0,0.0,0.0
8382f0fffffffff,3.0,0.0,0.0
8382f4fffffffff,1.0,0.0,0.0
839690fffffffff,17.0,0.0,0.0
839692fffffffff,24.0,0.0,0.0
839693fffffffff,159.0,0.0,18.0
83969afffffffff,3.0,0.0,0.0
8396b1fffffffff,2.0,0.0,0.0
8396b6fffffffff,1.0,0.0,0.0
