cell_id,Pipilo erythrophthalmus,Pipilo erythrophthalmus erythrophthalmus/canaster,Pipilo erythrophthalmus alleni/rileyi
822607fffffffff,719.0,20.0,0.0
82260ffffffffff,2034.0,131.0,0.0
822617fffffffff,1.0,0.0,0.0
82261ffffffffff,11.0,0.0,0.0
822627fffffffff,1007.0,0.0,0.0
82262ffffffffff,2376.0,1.0,0.0
822637fffffffff,5.0,0.0,0.0
822647fffffffff,11324.0,0.0,0.0
82264ffffffffff,17257.0,0.0,0.0
822657fffffffff,9511.0,0.0,0.0
82265ffffffffff,6897.0,0.0,0.0
822667fffffffff,22432.0,0.0,0.0
82266ffffffffff,18606.0,10.0,0.0
822677fffffffff,3019.0,5.0,0.0
8226c7fffffffff,5.0,0.0,0.0
8226cffffffffff,1074.0,0.0,0.0
8226dffffffffff,13.0,0.0,0.0
8226e7fffffffff,1033.0,0.0,0.0
8226effffffffff,1582.0,0.0,0.0
822707fffffffff,95.0,0.0,0.0
82270ffffffffff,70.0,0.0,0.0
822717fffffffff,218.0,0.0,0.0
82271ffffffffff,103.0,0.0,0.0
822747fffffffff,2168.0,0.0,0.0
82274ffffffffff,20430.0,0.0,0.0
822757fffffffff,4242.0,0.0,0.0
82275ffffffffff,20232.0,0.0,0.0
822767fffffffff,48.0,0.0,0.0
82276ffffffffff,3436.0,0.0,0.0
822777fffffffff,38.0,0.0,0.0
8227a7fffffffff,10.0,0.0,0.0
8227affffffffff,82.0,0.0,0.0
822a07fffffffff,2591.0,14.0,0.0
822a17fffffffff,75541.0,74.0,0.0
822a37fffffffff,52619.0,358.0,0.0
822a87fffffffff,39940.0,495.0,0.0
822a8ffffffffff,56410.0,982.0,0.0
822a97fffffffff,30838.0,0.0,0.0
822a9ffffffffff,13610.0,95.0,0.0
822aa7fffffffff,35883.0,431.0,0.0
822aaffffffffff,121898.0,1572.0,0.0
822ab7fffffffff,35987.0,8.0,0.0
822ac7fffffffff,1.0,0.0,0.0
822ad7fffffffff,13134.0,2208.0,22.0
822af7fffffffff,17016.0,362.0,1.0
822b17fffffffff,8.0,0.0,0.0
822b1ffffffffff,1207.0,0.0,0.0
822b87fffffffff,829.0,50.0,0.0
822b8ffffffffff,20449.0,51.0,0.0
822b97fffffffff,19.0,0.0,0.0
822b9ffffffffff,17766.0,151.0,0.0
822baffffffffff,699.0,6.0,0.0
824417fffffffff,1957.0,0.0,40.0
82441ffffffffff,6995.0,0.0,356.0
824447fffffffff,7068.0,0.0,0.0
82444ffffffffff,2289.0,0.0,0.0
824457fffffffff,13447.0,17.0,0.0
82445ffffffffff,4666.0,0.0,0.0
824467fffffffff,119.0,0.0,0.0
82446ffffffffff,1835.0,0.0,0.0
824477fffffffff,124.0,0.0,0.0
8244a7fffffffff,979.0,0.0,88.0
8244affffffffff,12354.0,0.0,737.0
8244c7fffffffff,36114.0,133.0,39.0
8244cffffffffff,31877.0,1053.0,0.0
8244d7fffffffff,17630.0,27.0,162.0
8244dffffffffff,47232.0,3499.0,0.0
8244e7fffffffff,13379.0,23.0,200.0
8244effffffffff,7489.0,37.0,0.0
8244f7fffffffff,16389.0,39.0,727.0
824897fffffffff,98.0,0.0,0.0
82489ffffffffff,229.0,0.0,0.0
