cell_id,Hypsipetes affinis,Hypsipetes affinis affinis,Hypsipetes affinis flavicaudus
839541fffffffff,10.0,0.0,0.0
839545fffffffff,1.0,0.0,0.0
83954dfffffffff,4.0,0.0,0.0
83956afffffffff,201.0,0.0,0.0
83956bfffffffff,106.0,0.0,0.0
