cell_id,Mionectes macconnelli,Mionectes macconnelli macconnelli,Mionectes macconnelli amazonus/peruanus
835f00fffffffff,1.0,0.0,0.0
835f03fffffffff,72.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0
835f10fffffffff,11.0,0.0,0.0
835f11fffffffff,3.0,0.0,0.0
835f12fffffffff,4.0,0.0,0.0
835f13fffffffff,18.0,0.0,0.0
835f14fffffffff,17.0,1.0,0.0
835f15fffffffff,2.0,0.0,0.0
835f16fffffffff,3.0,0.0,0.0
835f1cfffffffff,6.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0
835f2bfffffffff,72.0,0.0,0.0
835f2dfffffffff,3.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0
835f42fffffffff,10.0,0.0,0.0
835f46fffffffff,1.0,1.0,0.0
835f54fffffffff,21.0,0.0,0.0
835f71fffffffff,2.0,1.0,0.0
838044fffffffff,1.0,0.0,0.0
838046fffffffff,49.0,0.0,0.0
838065fffffffff,4.0,0.0,0.0
838066fffffffff,3.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
83806bfffffffff,7.0,0.0,0.0
838071fffffffff,1.0,0.0,0.0
838072fffffffff,1.0,0.0,0.0
838074fffffffff,1.0,0.0,0.0
838075fffffffff,2.0,0.0,0.0
83814afffffffff,10.0,0.0,0.0
83814dfffffffff,8.0,0.0,0.0
83814efffffffff,4.0,0.0,0.0
83815dfffffffff,2.0,0.0,0.0
838a15fffffffff,3.0,2.0,0.0
838a73fffffffff,1.0,0.0,0.0
838a82fffffffff,4.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0
838ad8fffffffff,2.0,0.0,0.0
838adcfffffffff,3.0,0.0,0.0
838af0fffffffff,1.0,0.0,0.0
838af2fffffffff,69.0,9.0,0.0
838af4fffffffff,2.0,2.0,0.0
838af6fffffffff,294.0,10.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b21fffffffff,3.0,0.0,0.0
838b22fffffffff,20.0,0.0,0.0
838b23fffffffff,1.0,0.0,0.0
838b2cfffffffff,1.0,0.0,0.0
838b2dfffffffff,3.0,0.0,0.0
838b40fffffffff,2.0,0.0,0.0
838b44fffffffff,42.0,0.0,0.0
838b61fffffffff,141.0,0.0,1.0
838b62fffffffff,8.0,0.0,0.0
838b63fffffffff,66.0,0.0,5.0
838b6dfffffffff,1.0,0.0,0.0
838b6efffffffff,7.0,0.0,0.0
838b71fffffffff,18.0,0.0,0.0
838b74fffffffff,23.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838e64fffffffff,11.0,0.0,0.0
838e65fffffffff,11.0,0.0,0.0
838f6bfffffffff,2.0,0.0,0.0
83b324fffffffff,3.0,0.0,0.0
83b325fffffffff,11.0,0.0,0.0
