cell_id,Tauraco macrorhynchus,Tauraco macrorhynchus macrorhynchus,Tauraco macrorhynchus verreauxii
8454e9bffffffff,1.0,0.0,0.0
8458969ffffffff,3.0,0.0,0.0
8458c13ffffffff,1.0,0.0,0.0
8458d23ffffffff,12.0,0.0,0.0
8458d29ffffffff,1.0,0.0,0.0
8458d31ffffffff,2.0,0.0,2.0
8458d33ffffffff,68.0,0.0,63.0
8458d35ffffffff,20.0,0.0,15.0
8458d37ffffffff,8.0,0.0,8.0
8458d3dffffffff,1.0,0.0,0.0
8458db5ffffffff,3.0,0.0,0.0
8458de5ffffffff,12.0,0.0,12.0
8475011ffffffff,1.0,0.0,0.0
8475085ffffffff,238.0,15.0,0.0
8475087ffffffff,130.0,18.0,0.0
847508bffffffff,1.0,0.0,0.0
8475095ffffffff,1.0,0.0,0.0
847509dffffffff,1.0,0.0,0.0
84750c5ffffffff,3.0,0.0,0.0
84750d1ffffffff,433.0,60.0,0.0
84750d3ffffffff,3.0,0.0,0.0
84750d7ffffffff,3.0,0.0,0.0
84750d9ffffffff,9.0,0.0,0.0
84750dbffffffff,3.0,0.0,0.0
84750ddffffffff,11.0,0.0,0.0
847518dffffffff,4.0,0.0,0.0
8475191ffffffff,7.0,0.0,0.0
8475195ffffffff,1.0,0.0,0.0
84751d7ffffffff,5.0,0.0,0.0
8475295ffffffff,156.0,18.0,0.0
847529bffffffff,1.0,0.0,0.0
84752abffffffff,10.0,2.0,0.0
84752adffffffff,4.0,0.0,0.0
84752b5ffffffff,45.0,12.0,0.0
84752d3ffffffff,8.0,0.0,0.0
84752e9ffffffff,3.0,0.0,0.0
8475861ffffffff,3.0,0.0,0.0
8475863ffffffff,1.0,0.0,0.0
8475a07ffffffff,6.0,0.0,0.0
8475a11ffffffff,1.0,0.0,0.0
8475a81ffffffff,4.0,0.0,0.0
8475a83ffffffff,4.0,0.0,0.0
8475b01ffffffff,4.0,0.0,0.0
8475b03ffffffff,1.0,0.0,0.0
8475b07ffffffff,2.0,0.0,0.0
8475b3bffffffff,1.0,0.0,0.0
8482125ffffffff,17.0,0.0,0.0
8482181ffffffff,1.0,0.0,0.0
848218dffffffff,2.0,0.0,0.0
8482841ffffffff,1.0,0.0,0.0
8482853ffffffff,3.0,0.0,0.0
84828b7ffffffff,1.0,0.0,0.0
84828d1ffffffff,340.0,0.0,147.0
8482a09ffffffff,9.0,0.0,0.0
8482a0bffffffff,4.0,0.0,1.0
8482a17ffffffff,1.0,0.0,0.0
8482a37ffffffff,6.0,0.0,0.0
8482a81ffffffff,6.0,0.0,0.0
8482aadffffffff,11.0,0.0,6.0
8482ab3ffffffff,10.0,0.0,0.0
8482ab7ffffffff,19.0,0.0,5.0
8482d03ffffffff,18.0,0.0,16.0
8482d07ffffffff,2.0,0.0,0.0
8482d1dffffffff,54.0,0.0,35.0
8482d23ffffffff,2.0,0.0,0.0
8482d27ffffffff,21.0,0.0,1.0
8482d37ffffffff,9.0,0.0,2.0
8482d3dffffffff,38.0,0.0,22.0
8482d4dffffffff,2.0,0.0,0.0
8482f07ffffffff,3.0,0.0,3.0
8482f09ffffffff,2.0,0.0,0.0
8482f2bffffffff,1.0,0.0,1.0
8482f43ffffffff,1.0,0.0,0.0
8482f69ffffffff,4.0,0.0,0.0
84838ebffffffff,1.0,0.0,0.0
8483a89ffffffff,2.0,0.0,0.0
