cell_id,Glyphorynchus spirurus,Glyphorynchus spirurus [pectoralis Group],Glyphorynchus spirurus [spirurus Group],Glyphorynchus spirurus albigularis,Glyphorynchus spirurus [cuneatus Group]
834505fffffffff,22.0,0.0,0.0,0.0,0.0
834520fffffffff,389.0,0.0,0.0,0.0,0.0
834521fffffffff,490.0,0.0,0.0,0.0,0.0
834522fffffffff,597.0,0.0,0.0,0.0,0.0
834523fffffffff,197.0,0.0,0.0,0.0,0.0
834525fffffffff,42.0,0.0,0.0,0.0,0.0
834526fffffffff,116.0,0.0,0.0,0.0,0.0
834528fffffffff,20.0,0.0,0.0,0.0,0.0
83452afffffffff,22.0,0.0,0.0,0.0,0.0
83452cfffffffff,174.0,0.0,0.0,0.0,0.0
83452dfffffffff,104.0,1.0,0.0,0.0,0.0
83452efffffffff,1455.0,0.0,0.0,0.0,0.0
834530fffffffff,9.0,0.0,0.0,0.0,0.0
834531fffffffff,36.0,0.0,0.0,0.0,0.0
834532fffffffff,50.0,0.0,0.0,0.0,0.0
834534fffffffff,12.0,0.0,0.0,0.0,0.0
834535fffffffff,21.0,0.0,0.0,0.0,0.0
834536fffffffff,87.0,0.0,0.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0,0.0,0.0
835f00fffffffff,7.0,0.0,0.0,0.0,0.0
835f01fffffffff,11.0,0.0,0.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0,0.0,0.0
835f03fffffffff,211.0,0.0,0.0,0.0,0.0
835f06fffffffff,2.0,0.0,0.0,0.0,0.0
835f08fffffffff,1.0,0.0,0.0,0.0,0.0
835f09fffffffff,3.0,0.0,0.0,0.0,0.0
835f0dfffffffff,9.0,0.0,0.0,0.0,0.0
835f10fffffffff,32.0,0.0,0.0,0.0,0.0
835f11fffffffff,4.0,0.0,0.0,0.0,0.0
835f12fffffffff,40.0,0.0,0.0,0.0,0.0
835f13fffffffff,11.0,0.0,0.0,0.0,0.0
835f14fffffffff,41.0,0.0,0.0,0.0,0.0
