cell_id,Picumnus exilis,Picumnus exilis undulatus,Picumnus exilis buffonii,Picumnus exilis pernambucensis,Picumnus exilis exilis
8466415ffffffff,1.0,0.0,0.0,0.0,0.0
8481125ffffffff,7.0,0.0,0.0,0.0,7.0
8481363ffffffff,4.0,0.0,0.0,0.0,4.0
848180bffffffff,4.0,0.0,0.0,4.0,0.0
8481839ffffffff,2.0,0.0,0.0,2.0,0.0
8481851ffffffff,15.0,0.0,0.0,15.0,0.0
8481853ffffffff,2.0,0.0,0.0,2.0,0.0
8481857ffffffff,27.0,0.0,0.0,27.0,0.0
84819d9ffffffff,5.0,0.0,0.0,5.0,0.0
848ac41ffffffff,2.0,2.0,0.0,0.0,0.0
848ae81ffffffff,1.0,1.0,0.0,0.0,0.0
848af13ffffffff,1.0,1.0,0.0,0.0,0.0
84a5969ffffffff,11.0,0.0,0.0,0.0,11.0
