cell_id,Pterodroma brevipes,Pterodroma brevipes brevipes,Pterodroma brevipes magnificens
82791ffffffffff,1.0,1.0,0.0
828937fffffffff,2.0,0.0,0.0
8289b7fffffffff,1.0,0.0,0.0
829a07fffffffff,1.0,0.0,0.0
829a2ffffffffff,1.0,0.0,0.0
829b0ffffffffff,2.0,0.0,0.0
829b1ffffffffff,1.0,0.0,0.0
829b2ffffffffff,1.0,0.0,0.0
829b47fffffffff,5.0,2.0,0.0
829b5ffffffffff,2.0,0.0,0.0
829b6ffffffffff,1.0,1.0,0.0
829b8ffffffffff,1.0,0.0,0.0
829e07fffffffff,2.0,0.0,2.0
829e17fffffffff,3.0,0.0,2.0
829e1ffffffffff,1.0,0.0,1.0
829e27fffffffff,1.0,0.0,0.0
829e8ffffffffff,2.0,0.0,0.0
829ef7fffffffff,1.0,0.0,0.0
829f1ffffffffff,1.0,0.0,0.0
82a06ffffffffff,1.0,0.0,0.0
82a0dffffffffff,1.0,0.0,0.0
82a0effffffffff,1.0,0.0,0.0
82b4cffffffffff,1.0,0.0,0.0
82b4d7fffffffff,1.0,0.0,0.0
82b4effffffffff,1.0,1.0,0.0
82baf7fffffffff,8.0,0.0,0.0
82bb5ffffffffff,3.0,1.0,0.0
82beaffffffffff,6.0,2.0,4.0
82bfb7fffffffff,2.0,0.0,0.0
