cell_id,Leucocarbo atriceps,Leucocarbo atriceps (Blue-eyed),Leucocarbo atriceps (King)
84b2da3ffffffff,30.0,0.0,0.0
84c2053ffffffff,2.0,0.0,0.0
84c205bffffffff,8.0,0.0,0.0
84c2f11ffffffff,32.0,0.0,0.0
84c30c3ffffffff,3.0,0.0,0.0
84c3241ffffffff,1.0,1.0,0.0
84c32a7ffffffff,1.0,0.0,1.0
84c32adffffffff,2.0,2.0,0.0
84c32e1ffffffff,4.0,2.0,2.0
84ce127ffffffff,1.0,1.0,0.0
84ce145ffffffff,2.0,0.0,0.0
84ce325ffffffff,3.0,0.0,0.0
84ce80bffffffff,2.0,0.0,0.0
84ce895ffffffff,20.0,0.0,0.0
84ce8b9ffffffff,3.0,0.0,0.0
84ce8c1ffffffff,7.0,0.0,0.0
84ce8c3ffffffff,6.0,0.0,0.0
84ce8c7ffffffff,4.0,0.0,0.0
84ce8cbffffffff,8.0,0.0,0.0
84cea89ffffffff,6.0,6.0,0.0
84cea8dffffffff,11.0,4.0,0.0
84ceac1ffffffff,9.0,9.0,0.0
84ceac5ffffffff,9.0,9.0,0.0
84ceacdffffffff,8.0,6.0,0.0
84ceae3ffffffff,15.0,13.0,0.0
84ceae7ffffffff,29.0,0.0,0.0
84ceae9ffffffff,2.0,0.0,0.0
84ceaebffffffff,4.0,2.0,0.0
84cf105ffffffff,2.0,0.0,0.0
84cf107ffffffff,2.0,0.0,0.0
84cf129ffffffff,9.0,0.0,0.0
84cf16dffffffff,2.0,0.0,0.0
84cf329ffffffff,3.0,0.0,0.0
84cf88dffffffff,2.0,0.0,0.0
84cf893ffffffff,2.0,0.0,0.0
84cf897ffffffff,1.0,1.0,0.0
84cf89bffffffff,2.0,2.0,0.0
84cf8c1ffffffff,8.0,0.0,0.0
84cf943ffffffff,2.0,0.0,0.0
84cf9e9ffffffff,1.0,0.0,0.0
84cfa0dffffffff,2.0,0.0,0.0
84cfa21ffffffff,2.0,0.0,0.0
84cfa45ffffffff,2.0,0.0,0.0
84cfa47ffffffff,4.0,0.0,0.0
84de62dffffffff,1.0,0.0,1.0
84de665ffffffff,7.0,0.0,7.0
84de707ffffffff,13.0,0.0,9.0
84de709ffffffff,8.0,0.0,0.0
84de753ffffffff,4.0,0.0,0.0
84df409ffffffff,4.0,3.0,0.0
84df40dffffffff,2.0,0.0,0.0
84df423ffffffff,3.0,0.0,0.0
84df445ffffffff,9.0,0.0,0.0
84df447ffffffff,4.0,0.0,0.0
84df44dffffffff,2.0,0.0,0.0
84df451ffffffff,12.0,0.0,0.0
84df455ffffffff,15.0,0.0,0.0
84df459ffffffff,5.0,0.0,0.0
84df683ffffffff,5.0,0.0,0.0
84df68bffffffff,12.0,0.0,0.0
84df69dffffffff,5.0,0.0,0.0
84df6d7ffffffff,43.0,0.0,5.0
84df713ffffffff,7.0,0.0,0.0
