cell_id,Vireo leucophrys,Vireo leucophrys [amauronotus Group],Vireo leucophrys [leucophrys Group]
8348a2fffffffff,21.0,0.0,0.0
834990fffffffff,3.0,0.0,0.0
834996fffffffff,26.0,0.0,0.0
834998fffffffff,4.0,0.0,0.0
83499bfffffffff,1.0,0.0,0.0
836608fffffffff,6.0,0.0,0.0
836619fffffffff,9.0,0.0,0.0
836621fffffffff,2.0,0.0,0.0
8366b4fffffffff,4.0,0.0,0.0
8366b5fffffffff,5.0,0.0,0.0
8366d3fffffffff,10.0,0.0,0.0
8366d5fffffffff,2.0,0.0,0.0
8366defffffffff,4.0,0.0,0.0
8366e6fffffffff,14.0,0.0,0.0
8366f0fffffffff,1.0,0.0,0.0
836741fffffffff,4.0,0.0,0.0
83674efffffffff,2.0,0.0,0.0
83675efffffffff,4.0,0.0,0.0
836d04fffffffff,1.0,0.0,0.0
836d05fffffffff,9.0,0.0,0.0
836d23fffffffff,6.0,0.0,0.0
836d28fffffffff,18.0,0.0,0.0
836d29fffffffff,37.0,0.0,0.0
836d2afffffffff,4.0,0.0,0.0
836d2bfffffffff,11.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0
836d30fffffffff,4.0,0.0,0.0
836d69fffffffff,26.0,0.0,0.0
838b69fffffffff,8.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838f29fffffffff,7.0,0.0,0.0
