cell_id,Molothrus aeneus,Molothrus aeneus [aeneus Group],Molothrus aeneus armenti
8426d35ffffffff,10.0,0.0,0.0
8426d83ffffffff,3.0,0.0,0.0
8426d95ffffffff,2.0,0.0,0.0
8426dadffffffff,7.0,0.0,0.0
8426db7ffffffff,2.0,0.0,0.0
8426dbdffffffff,2.0,0.0,0.0
8426de3ffffffff,10.0,0.0,0.0
8426de7ffffffff,172.0,0.0,0.0
8429a6dffffffff,166.0,0.0,0.0
8429b0dffffffff,10.0,0.0,0.0
8429b29ffffffff,44.0,0.0,0.0
8429b2dffffffff,55.0,0.0,0.0
8429b55ffffffff,17.0,0.0,0.0
8429b5dffffffff,10.0,0.0,0.0
8429b61ffffffff,6.0,0.0,0.0
8429b63ffffffff,13.0,0.0,0.0
8429b65ffffffff,46.0,0.0,0.0
8429b67ffffffff,18.0,0.0,0.0
8429b69ffffffff,9.0,0.0,0.0
8429b6bffffffff,78.0,0.0,0.0
8429b6dffffffff,254.0,0.0,0.0
8444123ffffffff,3.0,0.0,0.0
8444125ffffffff,60.0,0.0,0.0
8444127ffffffff,5.0,0.0,0.0
844412dffffffff,2.0,0.0,0.0
8444135ffffffff,9.0,0.0,0.0
844413dffffffff,151.0,0.0,0.0
8444249ffffffff,149.0,0.0,0.0
844424dffffffff,5.0,2.0,0.0
8444441ffffffff,6.0,0.0,0.0
8444443ffffffff,4.0,0.0,0.0
8444445ffffffff,11.0,0.0,0.0
844444bffffffff,8.0,0.0,0.0
8444459ffffffff,38.0,0.0,0.0
844445bffffffff,6.0,0.0,0.0
8444461ffffffff,77.0,0.0,0.0
8444465ffffffff,264.0,0.0,0.0
8444467ffffffff,132.0,0.0,0.0
8444469ffffffff,40.0,0.0,0.0
844446dffffffff,14.0,0.0,0.0
8444509ffffffff,16.0,0.0,0.0
844450dffffffff,45.0,0.0,0.0
8444551ffffffff,74.0,0.0,0.0
8444555ffffffff,8.0,0.0,0.0
8444559ffffffff,23.0,0.0,0.0
844455bffffffff,117.0,0.0,0.0
8444633ffffffff,105.0,0.0,0.0
8444637ffffffff,3.0,0.0,0.0
84446c1ffffffff,9.0,0.0,0.0
84446c3ffffffff,30.0,0.0,0.0
84446c5ffffffff,780.0,0.0,0.0
84446c7ffffffff,2.0,0.0,0.0
84446c9ffffffff,35.0,0.0,0.0
84446cbffffffff,87.0,0.0,0.0
84446cdffffffff,744.0,0.0,0.0
84446d5ffffffff,2.0,0.0,0.0
84446ddffffffff,41.0,0.0,0.0
84446e1ffffffff,4.0,0.0,0.0
84446e5ffffffff,13.0,0.0,0.0
84446e9ffffffff,65.0,0.0,0.0
84446ebffffffff,3.0,0.0,0.0
84446edffffffff,110.0,0.0,0.0
8444713ffffffff,10.0,0.0,0.0
8444715ffffffff,3.0,0.0,0.0
8444717ffffffff,24.0,0.0,0.0
8444731ffffffff,120.0,0.0,0.0
8444733ffffffff,32.0,0.0,0.0
8444735ffffffff,7.0,0.0,0.0
844473bffffffff,1027.0,0.0,0.0
8444a11ffffffff,25.0,0.0,0.0
8444a13ffffffff,36.0,0.0,0.0
8444a19ffffffff,648.0,0.0,0.0
8444a1bffffffff,17.0,0.0,0.0
8444a53ffffffff,70.0,0.0,0.0
8444ac1ffffffff,17.0,0.0,0.0
8444ac5ffffffff,63.0,0.0,0.0
8444ac9ffffffff,2.0,0.0,0.0
8444ae9ffffffff,48.0,0.0,0.0
8445011ffffffff,15.0,0.0,0.0
8445013ffffffff,2.0,0.0,0.0
8445019ffffffff,41.0,1.0,0.0
844501bffffffff,41.0,4.0,0.0
8445053ffffffff,110.0,0.0,0.0
8445057ffffffff,36.0,0.0,0.0
8445059ffffffff,30.0,0.0,0.0
844505bffffffff,194.0,5.0,0.0
8445081ffffffff,8.0,0.0,0.0
8445083ffffffff,221.0,30.0,0.0
8445085ffffffff,215.0,25.0,0.0
8445087ffffffff,255.0,19.0,0.0
8445089ffffffff,12.0,0.0,0.0
844508bffffffff,8.0,0.0,0.0
844508dffffffff,69.0,0.0,0.0
8445091ffffffff,35.0,12.0,0.0
8445093ffffffff,22.0,9.0,0.0
8445095ffffffff,6.0,0.0,0.0
8445097ffffffff,20.0,4.0,0.0
8445099ffffffff,138.0,2.0,0.0
844509bffffffff,1598.0,443.0,0.0
844509dffffffff,41.0,0.0,0.0
84450a1ffffffff,280.0,6.0,0.0
84450a3ffffffff,175.0,17.0,0.0
84450a5ffffffff,93.0,1.0,0.0
84450a7ffffffff,111.0,3.0,0.0
84450a9ffffffff,153.0,10.0,0.0
84450abffffffff,75.0,2.0,0.0
84450adffffffff,121.0,5.0,0.0
84450b1ffffffff,260.0,17.0,0.0
84450b5ffffffff,299.0,27.0,0.0
84450b9ffffffff,78.0,2.0,0.0
84450bdffffffff,87.0,17.0,0.0
84450c1ffffffff,5.0,0.0,0.0
84450c3ffffffff,7.0,0.0,0.0
84450c5ffffffff,45.0,26.0,0.0
84450c7ffffffff,3.0,0.0,0.0
84450c9ffffffff,4.0,0.0,0.0
84450cbffffffff,2.0,0.0,0.0
84450cdffffffff,42.0,0.0,0.0
84450d1ffffffff,18.0,6.0,0.0
84450d3ffffffff,138.0,36.0,0.0
84450d5ffffffff,135.0,40.0,0.0
84450d7ffffffff,34.0,0.0,0.0
84450d9ffffffff,6.0,0.0,0.0
84450dbffffffff,12.0,7.0,0.0
84450ddffffffff,14.0,4.0,0.0
84450e1ffffffff,42.0,0.0,0.0
84450e3ffffffff,360.0,27.0,0.0
84450e9ffffffff,2.0,0.0,0.0
84450ebffffffff,141.0,19.0,0.0
844519bffffffff,67.0,10.0,0.0
8445201ffffffff,9.0,0.0,0.0
8445203ffffffff,15.0,2.0,0.0
8445205ffffffff,219.0,0.0,0.0
8445207ffffffff,194.0,0.0,0.0
8445209ffffffff,47.0,0.0,0.0
844520dffffffff,163.0,0.0,0.0
8445211ffffffff,6.0,0.0,0.0
8445213ffffffff,31.0,0.0,0.0
8445215ffffffff,162.0,1.0,0.0
8445217ffffffff,213.0,0.0,0.0
8445219ffffffff,6.0,4.0,0.0
844521dffffffff,12.0,1.0,0.0
8445221ffffffff,78.0,0.0,0.0
8445225ffffffff,312.0,0.0,0.0
8445229ffffffff,6.0,0.0,0.0
844522bffffffff,88.0,0.0,0.0
844522dffffffff,17.0,0.0,0.0
8445231ffffffff,27.0,0.0,0.0
8445233ffffffff,284.0,4.0,0.0
844523bffffffff,57.0,0.0,0.0
8445241ffffffff,3.0,0.0,0.0
8445243ffffffff,188.0,0.0,0.0
8445245ffffffff,11.0,0.0,0.0
8445247ffffffff,439.0,0.0,0.0
8445249ffffffff,84.0,0.0,0.0
844524bffffffff,63.0,0.0,0.0
844524dffffffff,5.0,0.0,0.0
8445251ffffffff,48.0,2.0,0.0
8445253ffffffff,18.0,18.0,0.0
8445255ffffffff,143.0,0.0,0.0
8445257ffffffff,4.0,0.0,0.0
844525bffffffff,88.0,30.0,0.0
844525dffffffff,12.0,2.0,0.0
8445261ffffffff,69.0,0.0,0.0
8445263ffffffff,241.0,0.0,0.0
8445269ffffffff,64.0,0.0,0.0
844526bffffffff,443.0,0.0,0.0
844526dffffffff,10.0,0.0,0.0
8445285ffffffff,13.0,7.0,0.0
8445287ffffffff,3.0,0.0,0.0
8445289ffffffff,97.0,0.0,0.0
844528dffffffff,42.0,0.0,0.0
8445291ffffffff,3.0,0.0,0.0
8445293ffffffff,5.0,0.0,0.0
8445297ffffffff,53.0,2.0,0.0
8445299ffffffff,2.0,0.0,0.0
844529bffffffff,17.0,3.0,0.0
84452a1ffffffff,21.0,0.0,0.0
84452a3ffffffff,33.0,8.0,0.0
84452a5ffffffff,182.0,2.0,0.0
84452a7ffffffff,25.0,5.0,0.0
84452a9ffffffff,96.0,15.0,0.0
84452abffffffff,2.0,2.0,0.0
84452adffffffff,918.0,28.0,0.0
84452b3ffffffff,2.0,0.0,0.0
84452b5ffffffff,20.0,0.0,0.0
84452b9ffffffff,15.0,2.0,0.0
84452bdffffffff,103.0,4.0,0.0
84452c1ffffffff,20.0,0.0,0.0
84452c3ffffffff,123.0,2.0,0.0
84452c5ffffffff,132.0,19.0,0.0
84452c7ffffffff,259.0,14.0,0.0
84452c9ffffffff,17.0,0.0,0.0
84452cbffffffff,16.0,0.0,0.0
84452d7ffffffff,2.0,0.0,0.0
84452d9ffffffff,47.0,0.0,0.0
84452dbffffffff,8.0,0.0,0.0
84452ddffffffff,5.0,0.0,0.0
84452e1ffffffff,1687.0,34.0,0.0
84452e3ffffffff,310.0,9.0,0.0
84452e5ffffffff,475.0,32.0,0.0
84452e7ffffffff,54.0,0.0,0.0
84452e9ffffffff,8.0,0.0,0.0
84452ebffffffff,70.0,0.0,0.0
84452edffffffff,6.0,0.0,0.0
8445301ffffffff,1.0,0.0,0.0
8445303ffffffff,11.0,0.0,0.0
8445307ffffffff,3.0,0.0,0.0
8445309ffffffff,7.0,0.0,0.0
844530dffffffff,5.0,0.0,0.0
8445319ffffffff,61.0,0.0,0.0
844531dffffffff,5.0,0.0,0.0
8445321ffffffff,18.0,0.0,0.0
844532bffffffff,32.0,0.0,0.0
8445341ffffffff,17.0,0.0,0.0
8445343ffffffff,9.0,0.0,0.0
8445349ffffffff,8.0,0.0,0.0
844534bffffffff,1.0,0.0,0.0
844534dffffffff,10.0,0.0,0.0
8445351ffffffff,6.0,0.0,0.0
8445353ffffffff,109.0,0.0,0.0
8445355ffffffff,3.0,0.0,0.0
8445357ffffffff,10.0,0.0,0.0
8445359ffffffff,2.0,0.0,0.0
844535dffffffff,18.0,0.0,0.0
8445363ffffffff,4.0,0.0,0.0
8445367ffffffff,9.0,0.0,0.0
8445649ffffffff,14.0,0.0,0.0
84456d9ffffffff,2.0,0.0,0.0
84456dbffffffff,8.0,0.0,0.0
8445721ffffffff,203.0,39.0,0.0
8445723ffffffff,3.0,2.0,0.0
8445725ffffffff,93.0,2.0,0.0
8445727ffffffff,52.0,26.0,0.0
844572dffffffff,11.0,4.0,0.0
8445749ffffffff,125.0,4.0,0.0
844574dffffffff,10.0,0.0,0.0
8445761ffffffff,59.0,2.0,0.0
8445765ffffffff,29.0,6.0,0.0
8445767ffffffff,46.0,0.0,0.0
8445769ffffffff,6.0,0.0,0.0
