cell_id,Upucerthia validirostris,Upucerthia validirostris jelskii/saturata,Upucerthia validirostris validirostris
838e60fffffffff,1.0,1.0,0.0
838f5efffffffff,4.0,2.0,0.0
83b272fffffffff,2.0,0.0,2.0
83b2e3fffffffff,1.0,0.0,1.0
83b2eefffffffff,6.0,0.0,6.0
83b308fffffffff,2.0,0.0,0.0
83b32cfffffffff,2.0,0.0,0.0
83b32dfffffffff,2.0,0.0,0.0
83b342fffffffff,6.0,2.0,0.0
83b351fffffffff,3.0,2.0,1.0
83b353fffffffff,6.0,6.0,0.0
83b354fffffffff,5.0,5.0,0.0
83b355fffffffff,3.0,1.0,2.0
83b35afffffffff,11.0,0.0,9.0
83b35efffffffff,1.0,1.0,0.0
83b373fffffffff,26.0,21.0,4.0
