cell_id,Entomyzon cyanotis,Entomyzon cyanotis albipennis,Entomyzon cyanotis [cyanotis Group]
8394edfffffffff,3.0,2.0,0.0
839c23fffffffff,3.0,0.0,0.0
839d0bfffffffff,2.0,0.0,2.0
839d21fffffffff,3.0,0.0,3.0
83be08fffffffff,2.0,0.0,0.0
83be09fffffffff,3.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0
83be42fffffffff,2.0,0.0,2.0
83be46fffffffff,4.0,0.0,4.0
83be4cfffffffff,2.0,0.0,0.0
83be4efffffffff,2.0,0.0,0.0
83be50fffffffff,1.0,0.0,1.0
83be55fffffffff,1.0,0.0,1.0
83be63fffffffff,6.0,0.0,0.0
83be72fffffffff,14.0,0.0,0.0
83be73fffffffff,1.0,0.0,0.0
83be8dfffffffff,35.0,0.0,0.0
83beabfffffffff,2.0,0.0,0.0
83bee1fffffffff,2.0,0.0,0.0
83beecfffffffff,1.0,0.0,1.0
83bef5fffffffff,2.0,0.0,0.0
