cell_id,Sclerurus mexicanus,Sclerurus mexicanus mexicanus,Sclerurus mexicanus pullus
8445201ffffffff,4.0,0.0,0.0
8445207ffffffff,1.0,0.0,0.0
844520dffffffff,27.0,0.0,0.0
8445225ffffffff,6.0,0.0,0.0
8445243ffffffff,2.0,0.0,0.0
8445247ffffffff,22.0,0.0,0.0
844524bffffffff,2.0,0.0,0.0
8445251ffffffff,1.0,0.0,0.0
8445253ffffffff,1.0,0.0,0.0
844525bffffffff,8.0,0.0,0.0
8445261ffffffff,2.0,0.0,0.0
8445263ffffffff,7.0,0.0,0.0
844526bffffffff,3.0,0.0,0.0
8445343ffffffff,4.0,0.0,0.0
8445351ffffffff,104.0,0.0,0.0
8449917ffffffff,10.0,0.0,0.0
844991dffffffff,6.0,0.0,0.0
8449963ffffffff,30.0,9.0,0.0
8449969ffffffff,1.0,0.0,0.0
844996bffffffff,5.0,0.0,0.0
84499c5ffffffff,1.0,0.0,0.0
8466131ffffffff,3.0,0.0,0.0
8466139ffffffff,9.0,0.0,0.0
8466165ffffffff,2.0,0.0,0.0
8466a01ffffffff,1.0,0.0,0.0
8466a0bffffffff,3.0,0.0,0.0
8466a2dffffffff,4.0,0.0,2.0
8466a51ffffffff,58.0,0.0,9.0
8466a57ffffffff,11.0,0.0,0.0
8466a5bffffffff,1.0,0.0,0.0
8466a5dffffffff,2.0,0.0,0.0
8466b41ffffffff,29.0,0.0,0.0
8466b43ffffffff,6.0,0.0,0.0
8466b45ffffffff,2.0,0.0,0.0
8466b47ffffffff,7.0,0.0,0.0
8466b49ffffffff,301.0,0.0,0.0
8466b4dffffffff,328.0,0.0,0.0
8466b51ffffffff,33.0,0.0,6.0
8466b55ffffffff,45.0,0.0,0.0
8466b5bffffffff,3.0,0.0,0.0
8466b5dffffffff,14.0,0.0,0.0
8467961ffffffff,6.0,0.0,0.0
84679a7ffffffff,6.0,0.0,0.0
846d04bffffffff,2.0,0.0,0.0
846d059ffffffff,21.0,0.0,0.0
846d05bffffffff,399.0,186.0,0.0
846d207ffffffff,5.0,0.0,0.0
846d223ffffffff,2.0,2.0,0.0
846d23dffffffff,19.0,14.0,0.0
846d287ffffffff,21.0,0.0,0.0
846d295ffffffff,14.0,0.0,0.0
846d2a9ffffffff,5.0,3.0,0.0
846d2abffffffff,1.0,0.0,0.0
846d2b9ffffffff,89.0,0.0,0.0
846d2c7ffffffff,11.0,0.0,0.0
846d2d1ffffffff,30.0,0.0,0.0
846d2d3ffffffff,133.0,0.0,0.0
846d2d7ffffffff,175.0,0.0,0.0
846d2e5ffffffff,5.0,0.0,0.0
846d2ebffffffff,7.0,3.0,0.0
846d305ffffffff,28.0,17.0,0.0
846d307ffffffff,4.0,0.0,0.0
846d361ffffffff,2.0,0.0,0.0
846d36dffffffff,17.0,2.0,0.0
846d64dffffffff,68.0,0.0,0.0
846d66dffffffff,24.0,0.0,0.0
846d681ffffffff,5.0,0.0,0.0
846d689ffffffff,3.0,0.0,0.0
846d68bffffffff,27.0,0.0,0.0
846d68dffffffff,4.0,0.0,0.0
846d691ffffffff,85.0,0.0,0.0
846d69bffffffff,129.0,0.0,0.0
846d69dffffffff,547.0,0.0,0.0
846d749ffffffff,20.0,0.0,0.0
