cell_id,Tringa solitaria,Tringa solitaria solitaria,Tringa solitaria cinnamomea
820747fffffffff,1.0,0.0,0.0
82075ffffffffff,2.0,0.0,0.0
820c17fffffffff,14.0,0.0,0.0
820c47fffffffff,83.0,0.0,0.0
820c57fffffffff,4.0,0.0,0.0
820c5ffffffffff,29.0,0.0,0.0
820c77fffffffff,6.0,0.0,2.0
820d5ffffffffff,6.0,0.0,0.0
820d77fffffffff,2.0,0.0,0.0
820e47fffffffff,1.0,0.0,0.0
820e4ffffffffff,2.0,0.0,0.0
820e5ffffffffff,1.0,0.0,0.0
820e67fffffffff,1.0,0.0,0.0
820e6ffffffffff,7.0,0.0,0.0
820ed7fffffffff,2.0,0.0,0.0
820eeffffffffff,8.0,0.0,0.0
82120ffffffffff,2.0,0.0,0.0
821237fffffffff,2.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0
821257fffffffff,2.0,2.0,0.0
82125ffffffffff,6.0,0.0,0.0
82128ffffffffff,11.0,0.0,0.0
82129ffffffffff,4.0,0.0,0.0
8212b7fffffffff,2.0,0.0,0.0
8212c7fffffffff,1.0,0.0,0.0
8212cffffffffff,57.0,0.0,11.0
8212d7fffffffff,8.0,0.0,0.0
8212dffffffffff,23.0,0.0,1.0
8212effffffffff,8.0,0.0,0.0
821387fffffffff,26.0,0.0,0.0
82138ffffffffff,4.0,0.0,0.0
82139ffffffffff,4.0,0.0,0.0
82180ffffffffff,3.0,0.0,0.0
821827fffffffff,3.0,0.0,0.0
821877fffffffff,9.0,0.0,0.0
82194ffffffffff,2.0,0.0,0.0
821aa7fffffffff,34.0,2.0,0.0
821b9ffffffffff,9.0,0.0,0.0
821bb7fffffffff,8.0,0.0,0.0
8222dffffffffff,37.0,0.0,0.0
822607fffffffff,17.0,5.0,0.0
82260ffffffffff,19.0,0.0,0.0
822617fffffffff,10.0,0.0,2.0
82261ffffffffff,3.0,0.0,0.0
822627fffffffff,8.0,0.0,0.0
82262ffffffffff,18.0,0.0,0.0
822637fffffffff,8.0,0.0,0.0
822647fffffffff,83.0,0.0,0.0
82264ffffffffff,154.0,14.0,0.0
822657fffffffff,31.0,6.0,0.0
82265ffffffffff,56.0,11.0,0.0
822667fffffffff,82.0,0.0,0.0
82266ffffffffff,42.0,0.0,0.0
822677fffffffff,23.0,3.0,0.0
822687fffffffff,103.0,0.0,2.0
82268ffffffffff,240.0,6.0,0.0
822697fffffffff,195.0,0.0,4.0
82269ffffffffff,232.0,0.0,10.0
8226a7fffffffff,8.0,0.0,0.0
8226affffffffff,110.0,4.0,10.0
