cell_id,Coracina striata,Coracina striata [sumatrensis Group],Coracina striata [striata Group]
826507fffffffff,59.0,1.0,0.0
826527fffffffff,11.0,0.0,0.0
826557fffffffff,2.0,0.0,0.0
826577fffffffff,12.0,0.0,0.0
826817fffffffff,6.0,0.0,0.0
82681ffffffffff,35.0,0.0,0.0
82682ffffffffff,187.0,0.0,15.0
82689ffffffffff,1.0,0.0,0.0
8268a7fffffffff,4.0,0.0,0.0
8268affffffffff,1.0,0.0,0.0
826947fffffffff,606.0,0.0,31.0
82694ffffffffff,132.0,0.0,8.0
82695ffffffffff,4.0,0.0,0.0
82696ffffffffff,49.0,0.0,13.0
828caffffffffff,21.0,0.0,0.0
828cc7fffffffff,6.0,0.0,0.0
828cdffffffffff,2.0,1.0,0.0
828ce7fffffffff,3.0,0.0,0.0
