cell_id,Myiarchus nuttingi,Myiarchus nuttingi nuttingi/inquietus,Myiarchus nuttingi flavidior
8445249ffffffff,27.0,0.0,0.0
844524bffffffff,8.0,0.0,0.0
8445251ffffffff,28.0,2.0,0.0
8445257ffffffff,10.0,0.0,0.0
844525bffffffff,120.0,30.0,0.0
8445269ffffffff,24.0,0.0,0.0
844526bffffffff,8.0,0.0,0.0
8448017ffffffff,2.0,0.0,0.0
8448021ffffffff,7.0,0.0,0.0
844802bffffffff,29.0,0.0,0.0
8448061ffffffff,1.0,0.0,0.0
8448065ffffffff,51.0,0.0,0.0
8448067ffffffff,6.0,0.0,0.0
844806dffffffff,18.0,0.0,0.0
8448097ffffffff,29.0,0.0,0.0
84480a1ffffffff,6.0,0.0,0.0
84480a3ffffffff,4.0,0.0,0.0
84480a5ffffffff,12.0,0.0,0.0
84480a9ffffffff,12.0,0.0,0.0
84480adffffffff,1225.0,0.0,0.0
84480b3ffffffff,1.0,0.0,0.0
84480bbffffffff,3.0,0.0,0.0
84480bdffffffff,6.0,0.0,0.0
84480e1ffffffff,2.0,0.0,0.0
84480e5ffffffff,25.0,0.0,0.0
84480e7ffffffff,1.0,0.0,0.0
84480edffffffff,2.0,0.0,0.0
844814dffffffff,7.0,0.0,0.0
8448159ffffffff,1.0,0.0,0.0
844815bffffffff,50.0,0.0,0.0
84481d7ffffffff,1.0,0.0,0.0
84481dbffffffff,14.0,0.0,0.0
8448323ffffffff,4.0,0.0,0.0
8448331ffffffff,41.0,0.0,0.0
8448333ffffffff,84.0,0.0,0.0
8448337ffffffff,132.0,0.0,0.0
844833bffffffff,105.0,0.0,0.0
844833dffffffff,5.0,0.0,0.0
8448361ffffffff,278.0,0.0,0.0
8448363ffffffff,175.0,0.0,0.0
8448365ffffffff,44.0,0.0,0.0
8448367ffffffff,33.0,0.0,0.0
8448369ffffffff,268.0,0.0,0.0
844836dffffffff,38.0,2.0,0.0
844856dffffffff,2.0,0.0,0.0
8448e09ffffffff,2.0,0.0,0.0
8448e0bffffffff,2.0,0.0,0.0
8448e11ffffffff,5.0,0.0,0.0
8448e19ffffffff,27.0,0.0,0.0
8448e1bffffffff,5.0,0.0,0.0
8448e41ffffffff,2.0,0.0,0.0
8448e43ffffffff,2.0,0.0,0.0
8448e49ffffffff,58.0,0.0,0.0
8448e4bffffffff,21.0,0.0,0.0
8448e53ffffffff,25.0,0.0,0.0
8448e55ffffffff,44.0,0.0,0.0
8448e57ffffffff,15.0,0.0,0.0
8448e59ffffffff,1.0,0.0,0.0
8448e5bffffffff,3.0,0.0,0.0
8448e5dffffffff,13.0,0.0,0.0
8449801ffffffff,39.0,0.0,0.0
8449803ffffffff,1.0,0.0,0.0
8449809ffffffff,43.0,0.0,0.0
844980bffffffff,10.0,0.0,0.0
844980dffffffff,24.0,0.0,0.0
8449815ffffffff,5.0,0.0,0.0
8449819ffffffff,2.0,0.0,0.0
8449827ffffffff,2.0,0.0,0.0
8449831ffffffff,2.0,0.0,0.0
8449839ffffffff,4.0,0.0,0.0
844983dffffffff,11.0,0.0,0.0
8449845ffffffff,2.0,0.0,0.0
8449855ffffffff,17.0,0.0,0.0
8449857ffffffff,2.0,0.0,0.0
8449865ffffffff,5.0,4.0,0.0
8449869ffffffff,10.0,0.0,0.0
844986dffffffff,19.0,3.0,0.0
8449889ffffffff,7.0,0.0,0.0
844988dffffffff,6.0,0.0,0.0
84498c9ffffffff,33.0,2.0,0.0
84498dbffffffff,1.0,0.0,0.0
84498ebffffffff,2.0,2.0,0.0
8449911ffffffff,1.0,0.0,0.0
8449941ffffffff,5.0,0.0,0.0
844994bffffffff,3.0,0.0,0.0
8449959ffffffff,49.0,0.0,0.0
84499c5ffffffff,1.0,0.0,0.0
84499cdffffffff,3.0,0.0,0.0
84499d5ffffffff,2.0,0.0,0.0
8449a21ffffffff,17.0,0.0,0.0
8449a23ffffffff,9.0,0.0,0.0
8449a2bffffffff,42.0,2.0,0.0
8449a3dffffffff,19.0,2.0,0.0
8449a81ffffffff,9.0,0.0,0.0
8449a83ffffffff,54.0,8.0,0.0
8449a85ffffffff,104.0,4.0,0.0
8449a89ffffffff,59.0,2.0,0.0
8449a8bffffffff,45.0,0.0,0.0
8449a8dffffffff,16.0,0.0,0.0
8449a91ffffffff,157.0,15.0,0.0
8449a93ffffffff,79.0,4.0,0.0
8449a95ffffffff,1.0,0.0,0.0
8449a97ffffffff,74.0,0.0,0.0
8449a9bffffffff,55.0,6.0,0.0
8449a9dffffffff,1.0,0.0,0.0
8449aa1ffffffff,4.0,0.0,0.0
8449aa3ffffffff,42.0,0.0,0.0
8449aa5ffffffff,2.0,0.0,0.0
8449aa7ffffffff,6.0,0.0,0.0
8449aa9ffffffff,4.0,0.0,0.0
8449aabffffffff,4.0,0.0,0.0
8449ab1ffffffff,60.0,0.0,0.0
8449ab3ffffffff,11.0,0.0,0.0
8449ab5ffffffff,22.0,7.0,0.0
8449ab9ffffffff,2.0,0.0,0.0
8449ad5ffffffff,26.0,0.0,0.0
8449ad7ffffffff,25.0,0.0,0.0
8449ae3ffffffff,43.0,0.0,0.0
8449aedffffffff,1.0,0.0,0.0
8449b03ffffffff,6.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0
8449b15ffffffff,9.0,0.0,0.0
8449b17ffffffff,1.0,0.0,0.0
8449b1dffffffff,1.0,0.0,0.0
8449b21ffffffff,12.0,0.0,0.0
8449b23ffffffff,5.0,0.0,0.0
8449b27ffffffff,2.0,0.0,0.0
8449b2bffffffff,3.0,0.0,0.0
8449b31ffffffff,43.0,0.0,0.0
8449b33ffffffff,266.0,0.0,0.0
8449b35ffffffff,9.0,0.0,0.0
8449b37ffffffff,29.0,2.0,0.0
8449b39ffffffff,1.0,0.0,0.0
8449b3bffffffff,19.0,0.0,0.0
8449b3dffffffff,6.0,0.0,0.0
8449b55ffffffff,6.0,0.0,0.0
8449b57ffffffff,3.0,0.0,0.0
8449b65ffffffff,1.0,0.0,0.0
8449b69ffffffff,2.0,0.0,0.0
8466b47ffffffff,2.0,0.0,0.0
846d041ffffffff,8.0,0.0,4.0
846d043ffffffff,23.0,0.0,12.0
846d049ffffffff,111.0,13.0,0.0
846d04bffffffff,103.0,4.0,6.0
846d04dffffffff,18.0,0.0,0.0
846d051ffffffff,15.0,0.0,15.0
846d053ffffffff,17.0,0.0,9.0
846d05bffffffff,17.0,0.0,4.0
846d05dffffffff,13.0,0.0,10.0
846d069ffffffff,9.0,0.0,0.0
846d06dffffffff,18.0,0.0,0.0
846d141ffffffff,1.0,0.0,0.0
846d143ffffffff,11.0,4.0,0.0
846d14bffffffff,4.0,0.0,0.0
846d159ffffffff,360.0,7.0,0.0
846d15dffffffff,45.0,0.0,0.0
846d231ffffffff,102.0,2.0,0.0
846d235ffffffff,2.0,2.0,0.0
846d239ffffffff,105.0,4.0,0.0
846d23dffffffff,15.0,4.0,0.0
846d299ffffffff,18.0,3.0,0.0
846d2a1ffffffff,4.0,0.0,0.0
846d2a3ffffffff,8.0,0.0,0.0
846d2adffffffff,2.0,0.0,0.0
846d2ebffffffff,14.0,0.0,0.0
846d305ffffffff,22.0,0.0,0.0
846d311ffffffff,19.0,0.0,0.0
846d313ffffffff,373.0,0.0,0.0
846d317ffffffff,62.0,9.0,0.0
846d319ffffffff,2.0,0.0,0.0
846d31bffffffff,17.0,0.0,0.0
846d323ffffffff,2.0,0.0,0.0
846d329ffffffff,2.0,0.0,0.0
846d32bffffffff,626.0,21.0,0.0
846d333ffffffff,31.0,0.0,0.0
846d337ffffffff,8.0,0.0,0.0
846d339ffffffff,2.0,0.0,0.0
846d33bffffffff,3.0,0.0,0.0
846d33dffffffff,300.0,10.0,0.0
846d361ffffffff,4.0,0.0,0.0
846d365ffffffff,54.0,0.0,0.0
846d367ffffffff,21.0,0.0,0.0
846d36dffffffff,2.0,0.0,0.0
846d601ffffffff,30.0,0.0,0.0
846d603ffffffff,7.0,0.0,0.0
846d605ffffffff,77.0,0.0,0.0
846d607ffffffff,13.0,0.0,0.0
846d609ffffffff,1.0,0.0,0.0
846d60bffffffff,1.0,0.0,0.0
846d60dffffffff,113.0,0.0,0.0
846d613ffffffff,8.0,0.0,0.0
846d615ffffffff,2.0,0.0,0.0
846d617ffffffff,108.0,0.0,0.0
846d639ffffffff,2.0,0.0,0.0
846d641ffffffff,543.0,0.0,0.0
846d645ffffffff,116.0,0.0,0.0
846d647ffffffff,4.0,0.0,0.0
846d64bffffffff,3.0,0.0,0.0
846d64dffffffff,11.0,0.0,0.0
846d661ffffffff,5.0,0.0,0.0
846d663ffffffff,18.0,0.0,0.0
846d665ffffffff,2.0,0.0,0.0
846d667ffffffff,16.0,0.0,0.0
846d669ffffffff,4.0,0.0,0.0
846d66bffffffff,21.0,0.0,0.0
846d66dffffffff,2.0,0.0,0.0
846d681ffffffff,237.0,0.0,0.0
846d683ffffffff,331.0,0.0,0.0
846d685ffffffff,113.0,0.0,0.0
846d687ffffffff,133.0,0.0,0.0
846d689ffffffff,5.0,0.0,0.0
846d68bffffffff,10.0,0.0,0.0
846d68dffffffff,61.0,0.0,0.0
846d691ffffffff,58.0,0.0,0.0
846d693ffffffff,198.0,0.0,0.0
846d695ffffffff,278.0,0.0,0.0
846d697ffffffff,463.0,0.0,0.0
846d69bffffffff,9.0,0.0,0.0
846d69dffffffff,19.0,0.0,0.0
846d6abffffffff,20.0,0.0,0.0
846d6b1ffffffff,8.0,0.0,0.0
846d6b9ffffffff,76.0,0.0,0.0
846d6bbffffffff,351.0,0.0,0.0
846d6bdffffffff,53.0,0.0,0.0
846d6c7ffffffff,3.0,0.0,0.0
846d6cdffffffff,2.0,0.0,0.0
846d6e9ffffffff,55.0,0.0,0.0
846d6ebffffffff,13.0,0.0,0.0
846d6edffffffff,37.0,0.0,0.0
846d741ffffffff,2.0,0.0,0.0
846d743ffffffff,11.0,0.0,0.0
846d745ffffffff,7.0,0.0,0.0
846d747ffffffff,9.0,0.0,0.0
846d749ffffffff,4.0,0.0,0.0
846d74bffffffff,22.0,0.0,0.0
846d751ffffffff,16.0,0.0,0.0
846d759ffffffff,4.0,0.0,0.0
846d75bffffffff,6.0,0.0,0.0
846d769ffffffff,11.0,0.0,0.0
