cell_id,Rynchops niger,Rynchops niger niger,Rynchops niger cinerascens,Rynchops niger intercedens
830e4dfffffffff,6.0,0.0,0.0,0.0
832646fffffffff,1.0,0.0,0.0,0.0
83264bfffffffff,4.0,0.0,0.0,0.0
83266afffffffff,1.0,0.0,0.0,0.0
8326e6fffffffff,3.0,0.0,0.0,0.0
832802fffffffff,11.0,0.0,0.0,0.0
832806fffffffff,2.0,0.0,0.0,0.0
83281cfffffffff,1.0,0.0,0.0,0.0
832830fffffffff,279.0,1.0,0.0,0.0
832831fffffffff,16.0,0.0,0.0,0.0
832832fffffffff,5.0,0.0,0.0,0.0
832834fffffffff,427.0,0.0,0.0,0.0
832912fffffffff,62.0,0.0,0.0,0.0
83291afffffffff,3.0,0.0,0.0,0.0
8329a0fffffffff,14.0,0.0,0.0,0.0
8329a1fffffffff,27.0,0.0,0.0,0.0
8329a2fffffffff,1.0,0.0,0.0,0.0
8329a4fffffffff,16.0,0.0,0.0,0.0
8329a5fffffffff,257.0,4.0,0.0,0.0
8329a6fffffffff,185.0,2.0,0.0,0.0
8329a8fffffffff,14.0,0.0,0.0,0.0
8329adfffffffff,82.0,0.0,0.0,0.0
8329b0fffffffff,2.0,0.0,0.0,0.0
832a06fffffffff,27.0,3.0,0.0,0.0
832a10fffffffff,445.0,15.0,0.0,0.0
832a12fffffffff,1.0,0.0,0.0,0.0
832a13fffffffff,57.0,0.0,0.0,0.0
832a14fffffffff,81.0,1.0,0.0,0.0
832a15fffffffff,37.0,0.0,0.0,0.0
832a1afffffffff,174.0,6.0,0.0,0.0
832a30fffffffff,229.0,0.0,0.0,0.0
832a31fffffffff,299.0,0.0,0.0,0.0
832a33fffffffff,45.0,0.0,0.0,0.0
832a34fffffffff,68.0,0.0,0.0,0.0
832a84fffffffff,2.0,0.0,0.0,0.0
832a89fffffffff,1.0,0.0,0.0,0.0
832aa1fffffffff,6.0,0.0,0.0,0.0
832aa8fffffffff,48.0,0.0,0.0,0.0
832aa9fffffffff,225.0,0.0,0.0,0.0
832aaafffffffff,1.0,0.0,0.0,0.0
832aacfffffffff,24.0,0.0,0.0,0.0
832aadfffffffff,459.0,6.0,0.0,0.0
832aaefffffffff,2.0,0.0,0.0,0.0
832ab0fffffffff,2.0,0.0,0.0,0.0
832ac6fffffffff,9.0,0.0,0.0,0.0
832ad0fffffffff,44.0,0.0,0.0,0.0
832ad3fffffffff,59.0,0.0,0.0,0.0
832ad5fffffffff,44.0,0.0,0.0,0.0
832ad6fffffffff,5.0,0.0,0.0,0.0
832af0fffffffff,4.0,0.0,0.0,0.0
832af1fffffffff,224.0,0.0,0.0,0.0
832af3fffffffff,35.0,0.0,0.0,0.0
832af4fffffffff,1.0,0.0,0.0,0.0
832af6fffffffff,147.0,0.0,0.0,0.0
832b05fffffffff,2.0,0.0,0.0,0.0
832b0afffffffff,8.0,0.0,0.0,0.0
832b0cfffffffff,239.0,0.0,0.0,0.0
832b0efffffffff,2.0,0.0,0.0,0.0
832b12fffffffff,8.0,0.0,0.0,0.0
832b18fffffffff,10.0,0.0,0.0,0.0
832b19fffffffff,4.0,0.0,0.0,0.0
832b1bfffffffff,5.0,0.0,0.0,0.0
832b1cfffffffff,7.0,0.0,0.0,0.0
832b1dfffffffff,5.0,0.0,0.0,0.0
832b2afffffffff,4.0,0.0,0.0,0.0
832bacfffffffff,11.0,0.0,0.0,0.0
834412fffffffff,12.0,0.0,0.0,0.0
834413fffffffff,13.0,0.0,0.0,0.0
834414fffffffff,23.0,0.0,0.0,0.0
83441afffffffff,61.0,18.0,0.0,0.0
83441bfffffffff,14.0,0.0,0.0,0.0
83441efffffffff,154.0,14.0,0.0,0.0
834432fffffffff,9.0,0.0,0.0,0.0
834440fffffffff,30.0,0.0,0.0,0.0
834444fffffffff,13.0,0.0,0.0,0.0
834446fffffffff,12.0,0.0,0.0,0.0
834450fffffffff,9.0,0.0,0.0,0.0
834451fffffffff,1.0,0.0,0.0,0.0
834454fffffffff,2.0,0.0,0.0,0.0
834455fffffffff,41.0,0.0,0.0,0.0
834456fffffffff,16.0,0.0,0.0,0.0
83445cfffffffff,2.0,0.0,0.0,0.0
83446cfffffffff,85.0,2.0,0.0,0.0
83446dfffffffff,9.0,0.0,0.0,0.0
83446efffffffff,99.0,0.0,0.0,0.0
834471fffffffff,9.0,0.0,0.0,0.0
834473fffffffff,65.0,0.0,0.0,0.0
834485fffffffff,59.0,0.0,0.0,0.0
834486fffffffff,5.0,0.0,0.0,0.0
8344a1fffffffff,7.0,0.0,0.0,0.0
8344a3fffffffff,15.0,0.0,0.0,0.0
8344a8fffffffff,8.0,0.0,0.0,0.0
8344a9fffffffff,118.0,2.0,0.0,0.0
8344abfffffffff,12.0,2.0,0.0,0.0
8344acfffffffff,27.0,1.0,0.0,0.0
8344adfffffffff,1.0,0.0,0.0,0.0
8344b1fffffffff,8.0,4.0,0.0,0.0
8344b5fffffffff,3.0,0.0,0.0,0.0
8344c8fffffffff,2.0,0.0,0.0,0.0
8344d0fffffffff,187.0,0.0,0.0,0.0
8344d2fffffffff,97.0,0.0,0.0,0.0
8344d3fffffffff,2.0,0.0,0.0,0.0
8344d5fffffffff,56.0,0.0,0.0,0.0
8344dbfffffffff,4.0,0.0,0.0,0.0
8344e5fffffffff,2.0,0.0,0.0,0.0
8344e6fffffffff,6.0,6.0,0.0,0.0
8344f0fffffffff,38.0,0.0,0.0,0.0
8344f3fffffffff,111.0,0.0,0.0,0.0
8344f4fffffffff,17.0,0.0,0.0,0.0
8344f5fffffffff,8.0,0.0,0.0,0.0
8344f6fffffffff,44.0,0.0,0.0,0.0
834505fffffffff,37.0,0.0,0.0,0.0
83450afffffffff,2.0,0.0,0.0,0.0
83450efffffffff,1.0,0.0,0.0,0.0
834520fffffffff,19.0,0.0,0.0,0.0
834521fffffffff,12.0,0.0,0.0,0.0
