cell_id,Leptopogon superciliaris,Leptopogon superciliaris transandinus,Leptopogon superciliaris superciliaris,Leptopogon superciliaris albidiventer
825f4ffffffffff,1.0,0.0,0.0,0.0
826607fffffffff,1.0,0.0,1.0,0.0
826617fffffffff,3.0,0.0,0.0,0.0
82661ffffffffff,6.0,1.0,3.0,0.0
82662ffffffffff,1.0,0.0,1.0,0.0
8266a7fffffffff,9.0,0.0,0.0,0.0
8266b7fffffffff,2.0,0.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0,0.0
8266d7fffffffff,26.0,26.0,0.0,0.0
8266dffffffffff,25.0,0.0,2.0,0.0
8266e7fffffffff,5.0,0.0,3.0,0.0
826747fffffffff,1.0,0.0,1.0,0.0
82675ffffffffff,4.0,0.0,0.0,0.0
826d6ffffffffff,8.0,1.0,0.0,0.0
828b67fffffffff,26.0,0.0,0.0,10.0
828b6ffffffffff,3.0,0.0,0.0,0.0
828e6ffffffffff,3.0,0.0,0.0,0.0
828f0ffffffffff,5.0,0.0,0.0,0.0
828f47fffffffff,4.0,0.0,0.0,0.0
828f4ffffffffff,13.0,0.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0,0.0
