cell_id,Heliodoxa schreibersii,Heliodoxa schreibersii schreibersii,Heliodoxa schreibersii whitelyana
83665bfffffffff,2.0,0.0,0.0
8366c0fffffffff,26.0,0.0,0.0
8366defffffffff,4.0,1.0,0.0
838b61fffffffff,1.0,0.0,0.0
838b6efffffffff,9.0,0.0,0.0
