cell_id,Milvus migrans,Milvus migrans [migrans Group],Milvus migrans lineatus/formosanus,Milvus migrans aegyptius/parasitus
82088ffffffffff,2.0,0.0,0.0,0.0
82089ffffffffff,13.0,1.0,0.0,0.0
8208d7fffffffff,4.0,0.0,0.0,0.0
8208dffffffffff,7.0,2.0,0.0,0.0
8208effffffffff,1.0,0.0,0.0,0.0
820a37fffffffff,14.0,0.0,13.0,0.0
820a97fffffffff,2.0,0.0,0.0,0.0
820ab7fffffffff,2.0,0.0,0.0,0.0
820b8ffffffffff,1.0,0.0,1.0,0.0
820b97fffffffff,16.0,0.0,0.0,0.0
820b9ffffffffff,9.0,0.0,3.0,0.0
820bb7fffffffff,46.0,0.0,6.0,0.0
821017fffffffff,16.0,0.0,0.0,0.0
821027fffffffff,5.0,1.0,0.0,0.0
821087fffffffff,1.0,0.0,0.0,0.0
82108ffffffffff,4.0,0.0,0.0,0.0
821097fffffffff,2.0,0.0,0.0,0.0
82109ffffffffff,1.0,0.0,0.0,0.0
8210a7fffffffff,12.0,0.0,0.0,0.0
8210b7fffffffff,4.0,0.0,0.0,0.0
8210c7fffffffff,186.0,0.0,0.0,0.0
8210d7fffffffff,10.0,0.0,0.0,0.0
8210dffffffffff,57.0,0.0,0.0,0.0
8210effffffffff,8.0,0.0,0.0,0.0
8210f7fffffffff,21.0,2.0,0.0,0.0
821107fffffffff,19.0,0.0,0.0,0.0
821117fffffffff,3.0,0.0,0.0,0.0
82111ffffffffff,2.0,0.0,0.0,0.0
821127fffffffff,3.0,2.0,0.0,0.0
82112ffffffffff,5.0,0.0,0.0,0.0
821137fffffffff,2.0,0.0,0.0,0.0
821187fffffffff,107.0,18.0,0.0,0.0
82118ffffffffff,378.0,63.0,0.0,0.0
821197fffffffff,3.0,0.0,0.0,0.0
82119ffffffffff,14.0,2.0,0.0,0.0
8211a7fffffffff,4.0,0.0,0.0,0.0
8211affffffffff,551.0,157.0,0.0,0.0
8211b7fffffffff,6.0,0.0,0.0,0.0
821437fffffffff,2.0,0.0,0.0,0.0
8214affffffffff,181.0,0.0,181.0,0.0
82154ffffffffff,7.0,0.0,7.0,0.0
82155ffffffffff,15.0,0.0,15.0,0.0
82158ffffffffff,1.0,0.0,0.0,0.0
821597fffffffff,41.0,0.0,32.0,0.0
82159ffffffffff,12.0,0.0,11.0,0.0
8215b7fffffffff,13.0,0.0,4.0,0.0
821847fffffffff,40.0,0.0,0.0,0.0
82184ffffffffff,3311.0,32.0,0.0,0.0
82185ffffffffff,312.0,0.0,0.0,0.0
821867fffffffff,7.0,0.0,0.0,0.0
82186ffffffffff,309.0,28.0,0.0,0.0
821877fffffffff,2.0,0.0,0.0,0.0
82194ffffffffff,5.0,2.0,0.0,0.0
82196ffffffffff,7.0,0.0,0.0,0.0
821e07fffffffff,311.0,9.0,0.0,0.0
821e0ffffffffff,100.0,0.0,0.0,0.0
821e17fffffffff,137.0,1.0,0.0,0.0
821e1ffffffffff,125.0,8.0,0.0,0.0
821e27fffffffff,34.0,0.0,0.0,0.0
821e2ffffffffff,4.0,0.0,0.0,0.0
821e37fffffffff,306.0,0.0,0.0,0.0
821e47fffffffff,36.0,0.0,0.0,0.0
821e4ffffffffff,9.0,0.0,0.0,0.0
821e57fffffffff,15.0,0.0,0.0,0.0
821e5ffffffffff,76.0,0.0,0.0,0.0
821e67fffffffff,22.0,0.0,0.0,0.0
821e6ffffffffff,70.0,0.0,0.0,0.0
821e77fffffffff,13.0,0.0,0.0,0.0
821e87fffffffff,82.0,0.0,0.0,0.0
821e8ffffffffff,19.0,0.0,0.0,0.0
821e97fffffffff,8.0,0.0,0.0,0.0
821e9ffffffffff,7.0,0.0,0.0,0.0
821ea7fffffffff,36.0,8.0,0.0,0.0
821eaffffffffff,27.0,2.0,0.0,0.0
821eb7fffffffff,19.0,2.0,0.0,0.0
821ec7fffffffff,155.0,7.0,0.0,0.0
821ecffffffffff,647.0,45.0,0.0,0.0
821ed7fffffffff,25.0,3.0,0.0,0.0
821edffffffffff,37.0,2.0,0.0,0.0
821ee7fffffffff,3.0,0.0,0.0,0.0
821eeffffffffff,302.0,16.0,0.0,0.0
821ef7fffffffff,16.0,2.0,0.0,0.0
821f07fffffffff,108.0,16.0,0.0,0.0
821f0ffffffffff,16.0,0.0,0.0,0.0
821f17fffffffff,186.0,4.0,0.0,0.0
821f1ffffffffff,502.0,37.0,0.0,0.0
821f27fffffffff,22.0,10.0,0.0,0.0
821f2ffffffffff,22.0,8.0,0.0,0.0
821f37fffffffff,4.0,0.0,0.0,0.0
821f47fffffffff,16.0,0.0,0.0,0.0
821f4ffffffffff,26.0,0.0,0.0,0.0
821f57fffffffff,15.0,0.0,0.0,0.0
821f5ffffffffff,11.0,0.0,0.0,0.0
821f67fffffffff,8.0,0.0,0.0,0.0
821f6ffffffffff,1.0,0.0,0.0,0.0
821f77fffffffff,34.0,0.0,0.0,0.0
821f87fffffffff,1281.0,75.0,0.0,0.0
821f8ffffffffff,622.0,195.0,0.0,0.0
821f97fffffffff,569.0,151.0,0.0,0.0
821f9ffffffffff,441.0,46.0,0.0,0.0
821fa7fffffffff,138.0,3.0,0.0,0.0
821faffffffffff,959.0,16.0,0.0,0.0
821fb7fffffffff,180.0,26.0,0.0,0.0
82200ffffffffff,166.0,0.0,64.0,0.0
822017fffffffff,13.0,0.0,5.0,0.0
82201ffffffffff,210.0,0.0,51.0,0.0
82202ffffffffff,2.0,0.0,0.0,0.0
822037fffffffff,3.0,0.0,1.0,0.0
822047fffffffff,2.0,0.0,2.0,0.0
82204ffffffffff,292.0,0.0,147.0,0.0
822057fffffffff,1.0,0.0,0.0,0.0
82205ffffffffff,79.0,0.0,25.0,0.0
82206ffffffffff,23.0,0.0,21.0,0.0
822087fffffffff,1.0,0.0,0.0,0.0
82209ffffffffff,91.0,0.0,1.0,0.0
8220a7fffffffff,13.0,0.0,0.0,0.0
8220affffffffff,20.0,0.0,0.0,0.0
8220b7fffffffff,16.0,0.0,0.0,0.0
8220c7fffffffff,4.0,0.0,0.0,0.0
8220e7fffffffff,404.0,0.0,127.0,0.0
8220effffffffff,30.0,0.0,0.0,0.0
8220f7fffffffff,26.0,0.0,2.0,0.0
822107fffffffff,6.0,0.0,0.0,0.0
822117fffffffff,2.0,0.0,0.0,0.0
822127fffffffff,42.0,0.0,0.0,0.0
82212ffffffffff,4.0,0.0,0.0,0.0
82214ffffffffff,33.0,0.0,0.0,0.0
822157fffffffff,61.0,0.0,26.0,0.0
8221affffffffff,1.0,0.0,1.0,0.0
8221b7fffffffff,2.0,0.0,0.0,0.0
822407fffffffff,80.0,0.0,53.0,0.0
82240ffffffffff,30.0,0.0,13.0,0.0
82241ffffffffff,3.0,0.0,0.0,0.0
822427fffffffff,121.0,0.0,92.0,0.0
82242ffffffffff,263.0,0.0,143.0,0.0
822437fffffffff,29.0,0.0,19.0,0.0
822447fffffffff,21.0,0.0,9.0,0.0
82244ffffffffff,43.0,0.0,26.0,0.0
822457fffffffff,221.0,0.0,153.0,0.0
822467fffffffff,335.0,0.0,197.0,0.0
82246ffffffffff,14.0,0.0,11.0,0.0
822477fffffffff,79.0,0.0,48.0,0.0
822487fffffffff,3.0,0.0,0.0,0.0
82248ffffffffff,20.0,0.0,15.0,0.0
822497fffffffff,3.0,0.0,0.0,0.0
82249ffffffffff,8.0,0.0,3.0,0.0
8224affffffffff,1.0,0.0,0.0,0.0
8224d7fffffffff,13.0,0.0,1.0,0.0
8224e7fffffffff,2.0,0.0,1.0,0.0
822507fffffffff,49.0,0.0,0.0,0.0
82250ffffffffff,26.0,0.0,23.0,0.0
822517fffffffff,405.0,0.0,299.0,0.0
82251ffffffffff,14.0,0.0,10.0,0.0
822537fffffffff,1.0,0.0,0.0,0.0
822547fffffffff,122.0,0.0,118.0,0.0
822557fffffffff,24.0,0.0,16.0,0.0
82255ffffffffff,430.0,0.0,192.0,0.0
82256ffffffffff,2.0,0.0,2.0,0.0
822577fffffffff,23.0,0.0,15.0,0.0
