cell_id,Apteryx australis,Apteryx australis australis,Apteryx australis lawryi
82bb2ffffffffff,3.0,2.0,0.0
82da87fffffffff,8.0,3.0,0.0
82da8ffffffffff,7.0,2.0,0.0
82daaffffffffff,33.0,0.0,20.0
