cell_id,Colaptes melanochloros,Colaptes melanochloros melanochloros/nattereri,Colaptes melanochloros [melanolaimus Group]
838002fffffffff,3.0,0.0,0.0
838005fffffffff,3.0,0.0,0.0
83800efffffffff,1.0,1.0,0.0
838010fffffffff,173.0,3.0,0.0
838011fffffffff,13.0,0.0,0.0
838013fffffffff,2.0,0.0,0.0
838014fffffffff,71.0,10.0,0.0
838016fffffffff,25.0,2.0,0.0
83801cfffffffff,1.0,0.0,0.0
838024fffffffff,2.0,0.0,0.0
83802bfffffffff,2.0,0.0,0.0
838030fffffffff,64.0,0.0,0.0
838034fffffffff,1.0,0.0,0.0
838035fffffffff,4.0,0.0,0.0
838036fffffffff,4.0,0.0,0.0
838044fffffffff,6.0,0.0,0.0
838046fffffffff,2.0,0.0,0.0
8380a4fffffffff,2.0,0.0,0.0
838100fffffffff,4.0,0.0,0.0
838102fffffffff,34.0,1.0,0.0
838105fffffffff,7.0,0.0,0.0
838106fffffffff,2.0,0.0,0.0
838109fffffffff,3.0,0.0,0.0
838111fffffffff,3.0,0.0,0.0
838112fffffffff,13.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0
838116fffffffff,6.0,0.0,0.0
838118fffffffff,7.0,0.0,0.0
838119fffffffff,5.0,0.0,0.0
83811afffffffff,9.0,0.0,0.0
83811efffffffff,5.0,0.0,0.0
838121fffffffff,32.0,1.0,0.0
838124fffffffff,27.0,0.0,0.0
83812bfffffffff,3.0,0.0,0.0
83812dfffffffff,4.0,0.0,0.0
838130fffffffff,41.0,0.0,0.0
838131fffffffff,1.0,0.0,0.0
838132fffffffff,27.0,0.0,0.0
838133fffffffff,82.0,4.0,0.0
838134fffffffff,17.0,0.0,0.0
838136fffffffff,23.0,1.0,0.0
838140fffffffff,11.0,0.0,0.0
838143fffffffff,3.0,0.0,0.0
838145fffffffff,4.0,0.0,0.0
83814afffffffff,54.0,1.0,0.0
83814dfffffffff,38.0,0.0,0.0
83814efffffffff,10.0,0.0,0.0
838151fffffffff,1.0,0.0,0.0
83815dfffffffff,16.0,0.0,0.0
838162fffffffff,15.0,0.0,0.0
838163fffffffff,2.0,0.0,0.0
838164fffffffff,1.0,0.0,0.0
838171fffffffff,30.0,0.0,0.0
838172fffffffff,2.0,0.0,0.0
838176fffffffff,2.0,0.0,0.0
838180fffffffff,18.0,2.0,0.0
838181fffffffff,10.0,2.0,0.0
838183fffffffff,36.0,0.0,0.0
838185fffffffff,31.0,0.0,0.0
838188fffffffff,22.0,0.0,0.0
83818afffffffff,5.0,0.0,0.0
83818bfffffffff,23.0,7.0,0.0
83819dfffffffff,10.0,0.0,0.0
8381a1fffffffff,10.0,2.0,0.0
8381a3fffffffff,3.0,1.0,0.0
8381a8fffffffff,4.0,0.0,0.0
8381adfffffffff,27.0,1.0,0.0
838b0cfffffffff,6.0,0.0,0.0
838b0dfffffffff,1.0,0.0,0.0
838b10fffffffff,4.0,0.0,0.0
838b20fffffffff,45.0,0.0,0.0
838b21fffffffff,6.0,0.0,0.0
838b22fffffffff,73.0,0.0,0.0
838b24fffffffff,7.0,0.0,0.0
838b25fffffffff,59.0,0.0,0.0
838b26fffffffff,1.0,0.0,0.0
838b2afffffffff,15.0,0.0,0.0
838b2cfffffffff,200.0,0.0,0.0
838b2dfffffffff,10.0,0.0,0.0
838b31fffffffff,12.0,0.0,0.0
838b34fffffffff,4.0,0.0,0.0
838b42fffffffff,1.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0
838ba4fffffffff,4.0,0.0,0.0
838ba6fffffffff,66.0,0.0,0.0
838bb5fffffffff,250.0,11.0,0.0
83a596fffffffff,25.0,0.0,0.0
83a800fffffffff,4.0,0.0,0.0
83a801fffffffff,127.0,0.0,0.0
83a802fffffffff,12.0,2.0,0.0
83a803fffffffff,4.0,0.0,0.0
83a804fffffffff,35.0,0.0,0.0
83a805fffffffff,22.0,0.0,0.0
83a806fffffffff,175.0,17.0,0.0
83a808fffffffff,4.0,0.0,0.0
83a80afffffffff,2.0,0.0,0.0
83a80bfffffffff,5.0,0.0,0.0
83a80cfffffffff,36.0,0.0,0.0
83a80dfffffffff,6.0,0.0,0.0
83a80efffffffff,8.0,0.0,0.0
83a810fffffffff,1238.0,7.0,0.0
83a811fffffffff,310.0,14.0,0.0
83a812fffffffff,449.0,10.0,0.0
83a813fffffffff,566.0,47.0,0.0
83a814fffffffff,112.0,1.0,0.0
83a815fffffffff,98.0,0.0,0.0
83a816fffffffff,5.0,0.0,0.0
83a818fffffffff,111.0,0.0,0.0
83a819fffffffff,40.0,0.0,0.0
83a81afffffffff,33.0,0.0,0.0
83a81bfffffffff,22.0,2.0,0.0
83a81cfffffffff,246.0,0.0,0.0
83a81dfffffffff,42.0,0.0,0.0
83a81efffffffff,1436.0,1.0,0.0
83a820fffffffff,13.0,0.0,0.0
83a821fffffffff,12.0,0.0,0.0
83a822fffffffff,18.0,0.0,0.0
83a823fffffffff,11.0,4.0,0.0
83a824fffffffff,20.0,0.0,0.0
83a825fffffffff,8.0,0.0,0.0
83a826fffffffff,16.0,0.0,0.0
83a828fffffffff,4.0,0.0,0.0
83a829fffffffff,40.0,0.0,0.0
83a82afffffffff,19.0,0.0,0.0
83a82bfffffffff,10.0,0.0,0.0
83a82cfffffffff,16.0,0.0,0.0
83a82dfffffffff,9.0,0.0,0.0
83a82efffffffff,27.0,0.0,0.0
83a831fffffffff,69.0,6.0,0.0
83a833fffffffff,15.0,0.0,0.0
83a835fffffffff,10.0,0.0,0.0
83a840fffffffff,146.0,0.0,0.0
83a841fffffffff,6.0,0.0,0.0
83a842fffffffff,26.0,0.0,0.0
83a843fffffffff,3.0,0.0,0.0
83a844fffffffff,38.0,0.0,0.0
83a845fffffffff,23.0,0.0,0.0
83a846fffffffff,143.0,6.0,0.0
83a84efffffffff,1.0,0.0,0.0
83a851fffffffff,2.0,0.0,0.0
83a855fffffffff,49.0,0.0,0.0
83a856fffffffff,1.0,0.0,0.0
83a859fffffffff,496.0,13.0,0.0
83a85bfffffffff,9.0,0.0,0.0
83a85dfffffffff,62.0,2.0,0.0
83a860fffffffff,14.0,0.0,0.0
83a862fffffffff,18.0,0.0,0.0
83a863fffffffff,5.0,0.0,0.0
83a864fffffffff,5.0,0.0,0.0
83a865fffffffff,8.0,0.0,0.0
83a866fffffffff,2.0,0.0,0.0
83a869fffffffff,4.0,0.0,0.0
83a86cfffffffff,6.0,0.0,0.0
83a86efffffffff,3.0,0.0,0.0
83a870fffffffff,8.0,0.0,0.0
83a871fffffffff,4.0,0.0,0.0
83a872fffffffff,4.0,0.0,0.0
83a873fffffffff,24.0,6.0,0.0
83a875fffffffff,16.0,0.0,0.0
83a876fffffffff,21.0,0.0,0.0
83a880fffffffff,5.0,0.0,0.0
83a881fffffffff,65.0,0.0,0.0
83a882fffffffff,24.0,0.0,0.0
83a883fffffffff,5.0,0.0,0.0
83a884fffffffff,103.0,5.0,0.0
83a885fffffffff,6.0,0.0,0.0
83a886fffffffff,4.0,0.0,0.0
83a889fffffffff,1.0,0.0,0.0
83a88bfffffffff,11.0,0.0,0.0
83a88cfffffffff,17.0,0.0,0.0
83a88dfffffffff,72.0,4.0,0.0
83a88efffffffff,42.0,1.0,0.0
83a891fffffffff,2.0,0.0,0.0
83a895fffffffff,5.0,0.0,0.0
83a8a0fffffffff,80.0,0.0,0.0
83a8a1fffffffff,243.0,3.0,0.0
83a8a2fffffffff,80.0,2.0,0.0
83a8a3fffffffff,68.0,0.0,0.0
83a8a5fffffffff,4.0,0.0,0.0
83a8a8fffffffff,10.0,0.0,0.0
83a8a9fffffffff,89.0,10.0,0.0
