cell_id,Oxyura ferruginea,Oxyura ferruginea andina,Oxyura ferruginea ferruginea
8466083ffffffff,2.0,0.0,0.0
8466095ffffffff,6.0,0.0,0.0
846609dffffffff,3.0,0.0,0.0
84660b1ffffffff,25.0,0.0,0.0
84660b5ffffffff,19.0,0.0,0.0
84660b9ffffffff,7.0,0.0,0.0
84660bbffffffff,140.0,5.0,0.0
84660bdffffffff,2.0,0.0,0.0
84660d5ffffffff,6.0,0.0,0.0
846619bffffffff,4.0,0.0,0.0
8466c25ffffffff,115.0,0.0,17.0
8466c61ffffffff,10.0,0.0,0.0
8466c67ffffffff,1.0,0.0,0.0
8466c69ffffffff,2.0,1.0,0.0
8466d11ffffffff,3.0,0.0,0.0
8466d15ffffffff,57.0,0.0,9.0
8466d19ffffffff,2.0,0.0,0.0
8466d1dffffffff,17.0,3.0,2.0
8466d31ffffffff,1.0,0.0,0.0
8466d33ffffffff,112.0,0.0,32.0
8466d39ffffffff,3.0,0.0,2.0
8466d3bffffffff,206.0,0.0,49.0
8466d53ffffffff,41.0,0.0,2.0
8466de5ffffffff,1096.0,0.0,311.0
8466dedffffffff,22.0,0.0,3.0
8466e01ffffffff,11.0,0.0,0.0
8466e07ffffffff,10.0,0.0,2.0
8466e09ffffffff,758.0,135.0,9.0
8466e0dffffffff,8.0,0.0,0.0
8466e2dffffffff,1.0,0.0,0.0
8466e41ffffffff,8.0,0.0,0.0
8466e43ffffffff,2488.0,259.0,0.0
8466e47ffffffff,23.0,1.0,0.0
8466e4bffffffff,23.0,0.0,0.0
8466e55ffffffff,57.0,2.0,0.0
8466e5dffffffff,1.0,0.0,0.0
8466e61ffffffff,137.0,23.0,0.0
8466e65ffffffff,7.0,2.0,0.0
8466e67ffffffff,4.0,0.0,0.0
8466e6dffffffff,1511.0,210.0,0.0
8466f11ffffffff,2.0,0.0,0.0
848b20bffffffff,4.0,0.0,0.0
848b211ffffffff,2.0,0.0,0.0
848b21bffffffff,10.0,0.0,0.0
848b2c1ffffffff,10.0,0.0,0.0
848b2c9ffffffff,240.0,0.0,0.0
848b2cbffffffff,6.0,0.0,0.0
848b2cdffffffff,54.0,0.0,0.0
848b603ffffffff,5.0,0.0,2.0
848b60bffffffff,10.0,0.0,2.0
848b60dffffffff,2.0,0.0,0.0
848b611ffffffff,263.0,0.0,40.0
848b613ffffffff,7.0,0.0,1.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,2.0,0.0,0.0
848b619ffffffff,7.0,0.0,0.0
848b61bffffffff,774.0,0.0,143.0
848b61dffffffff,379.0,0.0,29.0
848b645ffffffff,2.0,0.0,0.0
848b647ffffffff,12.0,0.0,4.0
848b649ffffffff,12.0,0.0,0.0
848b657ffffffff,13.0,0.0,1.0
848b65dffffffff,1.0,0.0,0.0
848b665ffffffff,6.0,0.0,0.0
848b66dffffffff,1.0,0.0,0.0
848b6c9ffffffff,3.0,0.0,0.0
848b6cdffffffff,5.0,0.0,0.0
848b759ffffffff,1.0,0.0,0.0
848e45dffffffff,18.0,0.0,0.0
848e601ffffffff,7.0,0.0,0.0
848e603ffffffff,17.0,0.0,5.0
848e607ffffffff,12.0,0.0,0.0
848e609ffffffff,8.0,0.0,0.0
848e60bffffffff,50.0,0.0,10.0
848e60dffffffff,11.0,0.0,2.0
848e617ffffffff,4.0,0.0,0.0
848e621ffffffff,43.0,0.0,2.0
848e623ffffffff,6.0,0.0,0.0
848e62dffffffff,1431.0,0.0,152.0
848e645ffffffff,30.0,0.0,10.0
848e647ffffffff,15.0,0.0,4.0
848e64bffffffff,1.0,0.0,1.0
848e655ffffffff,11.0,0.0,2.0
848e657ffffffff,8.0,0.0,2.0
848e663ffffffff,124.0,0.0,24.0
848e669ffffffff,4.0,0.0,0.0
848e66bffffffff,171.0,0.0,37.0
848e683ffffffff,4.0,0.0,0.0
848e687ffffffff,4.0,0.0,2.0
848e68bffffffff,3.0,0.0,0.0
848e691ffffffff,7.0,0.0,0.0
848e6abffffffff,2.0,0.0,0.0
848e6b5ffffffff,4.0,0.0,0.0
